Entity,Year,number_employed_agri
Belgium,1846,681000
Belgium,1856,712000
Belgium,1866,705000
Belgium,1880,674000
Belgium,1890,640000
Belgium,1900,616000
Belgium,1910,585000
Belgium,1920,525000
Belgium,1930,505000
Belgium,1947,364000
Belgium,1961,213000
Belgium,1970,197477.8225
Belgium,1971,184101.572
Belgium,1972,172728.0139
Belgium,1973,165111.1874
Belgium,1974,160353.8201
Belgium,1975,155935.2554
Belgium,1976,147979.635
Belgium,1977,141885.2497
Belgium,1978,138862.5693
Belgium,1979,138367.4551
Belgium,1980,132237.6211
Belgium,1981,129056.875
Belgium,1982,127686.875
Belgium,1983,127287.875
Belgium,1984,127051
Belgium,1985,126152.375
Finland,1805,702000
Finland,1880,358000
Finland,1900,429000
Finland,1910,897000
Finland,1920,1032000
Finland,1930,1107000
Finland,1940,1158000
Finland,1950,912000
Finland,1960,721000
Finland,1970,471500
Finland,1971,444900
Finland,1972,419200
Finland,1973,394300
Finland,1974,369900
Finland,1975,348300
Finland,1976,336900
Finland,1977,316500
Finland,1978,304000
Finland,1979,306100
Finland,1980,308600
Finland,1981,305800
Finland,1982,310500
Finland,1983,300500
Finland,1984,298000
Finland,1985,281900
France,1856,7305000
France,1866,7536000
France,1886,7846000
France,1896,8501000
France,1901,8245000
France,1906,8855000
France,1911,8572000
France,1921,9023000
France,1926,8200000
France,1931,7704000
France,1936,7204000
France,1946,7484000
France,1954,5195000
France,1962,3907000
France,1968,3133000
France,1970,2842823.419
France,1971,2699836.65
France,1972,2553243.488
France,1973,2425554.341
France,1974,2319525.058
France,1975,2227155.572
France,1976,2143763.904
France,1977,2063989.497
France,1978,2002053.295
France,1979,1950420.626
France,1980,1890627.592
France,1981,1822389.621
France,1982,1757923.365
France,1983,1698831.12
France,1984,1642774.112
France,1985,1585639.773
Japan,1872,14495000
Japan,1880,16076000
Japan,1890,17198000
Japan,1900,17331000
Japan,1910,16489000
Japan,1920,14441000
Japan,1930,14489000
Japan,1940,15417000
Japan,1950,17158000
Japan,1953,17081689.87
Japan,1954,16569955.6
Japan,1955,16928169.58
Japan,1956,16560275.46
Japan,1957,16309301.1
Japan,1958,15737805.29
Japan,1959,15167317.41
Japan,1960,15057453.14
Japan,1961,14645210.13
Japan,1962,14220871.97
Japan,1963,13442750.68
Japan,1964,12898468.96
Japan,1965,12433813.63
Japan,1966,12127403.18
Japan,1967,11889531.91
Japan,1968,11609327.61
Japan,1969,11335170.89
Japan,1970,10821127.04
Japan,1971,10036958.19
Japan,1972,9553152.208
Japan,1973,9104623.749
Japan,1974,8878847.626
Japan,1975,8686333.164
Japan,1976,8509945.567
Japan,1977,8432335.025
Japan,1978,8328518.326
Japan,1979,8039242.668
Japan,1980,7625991.728
Japan,1981,7387112.527
Japan,1982,7245980.583
Japan,1983,7009441.55
Japan,1984,6743482.115
Japan,1985,6651197.537
Netherlands,1807,374533
Netherlands,1849,506002
Netherlands,1859,536130
Netherlands,1889,633448
Netherlands,1899,681674
Netherlands,1909,699689
Netherlands,1920,641000
Netherlands,1930,656000
Netherlands,1947,747000
Netherlands,1949,637150.1541
Netherlands,1960,479205.6808
Netherlands,1961,475982.3242
Netherlands,1962,453418.828
Netherlands,1963,439450.9494
Netherlands,1964,422259.7143
Netherlands,1965,397547.3137
Netherlands,1966,386802.7917
Netherlands,1967,358867.0345
Netherlands,1968,334154.6339
Netherlands,1969,320186.7553
Netherlands,1970,314265.6206
Netherlands,1971,311506.9316
Netherlands,1972,307090.6187
Netherlands,1973,304864.3572
Netherlands,1974,302065.2152
Netherlands,1975,300760.282
Netherlands,1976,296322.1576
Netherlands,1977,292738.3572
Netherlands,1978,288440.9417
Netherlands,1979,288319.713
Netherlands,1980,284889.2852
Netherlands,1981,285604.4921
Netherlands,1982,288611.5464
Netherlands,1983,291394.5601
Netherlands,1984,292195.5953
Netherlands,1985,290888.0028
South Korea,1955,6436000
South Korea,1963,4609264.821
South Korea,1964,4597829.804
South Korea,1965,4583536.032
South Korea,1966,4646428.627
South Korea,1967,4584488.95
South Korea,1968,4574959.77
South Korea,1969,4597829.804
South Korea,1970,4617841.084
South Korea,1971,4646428.627
South Korea,1972,5094300.131
South Korea,1973,5306800.866
South Korea,1974,5321094.637
South Korea,1975,5169580.66
South Korea,1976,5337294.245
South Korea,1977,5150522.298
South Korea,1978,4937068.645
South Korea,1979,4656910.726
South Korea,1980,4438692.482
South Korea,1981,4574959.77
South Korea,1982,4394858.25
South Korea,1983,4111841.576
South Korea,1984,3729721.42
South Korea,1985,3557243.245
Spain,1860,5266000
Spain,1877,5045000
Spain,1887,4854000
Spain,1900,5139000
Spain,1910,4220000
Spain,1920,4538000
Spain,1940,4781000
Spain,1950,5271000
Spain,1964,4177000
Spain,1970,3160771.598
Spain,1971,3058917.387
Spain,1972,2942314.398
Spain,1973,2830162.442
Spain,1974,2715208.049
Spain,1975,2604944.001
Spain,1976,2490941.67
Spain,1977,2382016.445
Spain,1978,2291891.181
Spain,1979,2205355.891
Spain,1980,2098217.244
Spain,1981,1976066.976
Spain,1982,1929406.976
Spain,1983,1920926.557
Spain,1984,1851519.781
Spain,1985,1791303.9
Sweden,1850,949014.5182
Sweden,1851,941801.0892
Sweden,1852,942600.9453
Sweden,1853,952253.268
Sweden,1854,968336.5435
Sweden,1855,994020.18
Sweden,1856,979349.1708
Sweden,1857,992546.645
Sweden,1858,1019169.198
Sweden,1859,1033733.698
Sweden,1860,1038088.109
Sweden,1861,1036222.432
Sweden,1862,1013372.76
Sweden,1863,1042558.362
Sweden,1864,1044893.669
Sweden,1865,1061723.866
Sweden,1866,1047317.584
Sweden,1867,1062745.96
Sweden,1868,1005346.821
Sweden,1869,1038368.235
Sweden,1870,1087476.746
Sweden,1871,1091748.663
Sweden,1872,1096117.249
Sweden,1873,1100452.339
Sweden,1874,1104654.621
Sweden,1875,1108484.796
Sweden,1876,1112051.65
Sweden,1877,1115879.328
Sweden,1878,1119287.845
Sweden,1879,1123244.243
Sweden,1880,1127084.772
Sweden,1881,1124352.062
Sweden,1882,1121342.138
Sweden,1883,1119577.294
Sweden,1884,1118272.361
Sweden,1885,1117235.862
Sweden,1886,1115347.139
Sweden,1887,1112178.93
Sweden,1888,1108623.165
Sweden,1889,1106844.316
Sweden,1890,1104386.416
Sweden,1891,1102416.498
Sweden,1892,1099825.19
Sweden,1893,1097665.121
Sweden,1894,1097145.931
Sweden,1895,1095930.13
Sweden,1896,1094438.033
Sweden,1897,1093579.302
Sweden,1898,1092754.477
Sweden,1899,1091614.925
Sweden,1900,1089129.469
Sweden,1901,1081737.499
Sweden,1902,1072822.16
Sweden,1903,1063764.923
Sweden,1904,1055527.862
Sweden,1905,1047198.753
Sweden,1906,1038571.983
Sweden,1907,1029974.309
Sweden,1908,1025798.24
Sweden,1909,1022593.321
Sweden,1910,1014042.884
Sweden,1911,1011133.288
Sweden,1912,1007969.316
Sweden,1913,1004187.221
Sweden,1914,1001257.265
Sweden,1915,998446.945
Sweden,1916,995969.3323
Sweden,1917,995559.8046
Sweden,1918,994435.8484
Sweden,1919,992434.729
Sweden,1920,989865.5053
Sweden,1921,980042.8862
Sweden,1922,969797.9863
Sweden,1923,962957.4735
Sweden,1924,956587.809
Sweden,1925,949777.3414
Sweden,1926,947277.831
Sweden,1927,946072.9254
Sweden,1928,943097.9491
Sweden,1929,941182.9851
Sweden,1930,938712.567
Sweden,1931,916700.239
Sweden,1932,900921.175
Sweden,1933,890592.0142
Sweden,1934,901675.791
Sweden,1935,902058.2281
Sweden,1936,898458.8263
Sweden,1937,887236.1495
Sweden,1938,884169.5164
Sweden,1939,873846.5419
Sweden,1940,853515.3207
Sweden,1941,819354.4061
Sweden,1942,784944.2311
Sweden,1943,750736.5479
Sweden,1944,746217.5227
Sweden,1945,739857.3553
Sweden,1946,710892.6587
Sweden,1947,694151.9389
Sweden,1948,679245.3645
Sweden,1949,667745.6205
Sweden,1950,644945.6123
Sweden,1951,625013.3693
Sweden,1952,604885.3403
Sweden,1953,584561.5253
Sweden,1954,564041.9243
Sweden,1955,543326.5373
Sweden,1956,522415.3643
Sweden,1957,501308.4053
Sweden,1958,480005.6604
Sweden,1959,458507.1294
Sweden,1960,436812.8124
Sweden,1961,419537.0227
Sweden,1962,401845.2203
Sweden,1963,383737.1554
Sweden,1964,365212.578
Sweden,1965,346271.2381
Sweden,1966,331559.1451
Sweden,1967,316827.9333
Sweden,1968,302077.6145
Sweden,1969,287308.1999
Sweden,1970,272519.731
Sweden,1971,256776.9828
Sweden,1972,241035.4132
Sweden,1973,227589.1952
Sweden,1974,224695.2346
Sweden,1975,217433.7295
Sweden,1976,208491.509
Sweden,1977,202055.0843
Sweden,1978,202291.6192
Sweden,1979,197791.3277
Sweden,1980,193126.4643
Sweden,1981,186188.0301
Sweden,1982,182868.85
Sweden,1983,179142.3881
Sweden,1984,177255.771
Sweden,1985,173318.7736
United Kingdom,1801,1426000
United Kingdom,1841,1539000
United Kingdom,1851,1539000
United Kingdom,1861,3520000
United Kingdom,1871,3120000
United Kingdom,1881,2860000
United Kingdom,1891,2620000
United Kingdom,1901,2420000
United Kingdom,1911,2400000
United Kingdom,1920,1741000
United Kingdom,1921,1669000
United Kingdom,1922,1620000
United Kingdom,1923,1571000
United Kingdom,1924,1582000
United Kingdom,1925,1576000
United Kingdom,1926,1552000
United Kingdom,1927,1523000
United Kingdom,1928,1511000
United Kingdom,1929,1502000
United Kingdom,1930,1460000
United Kingdom,1931,1425000
United Kingdom,1932,1413000
United Kingdom,1933,1413000
United Kingdom,1934,1394000
United Kingdom,1935,1370000
United Kingdom,1936,1335000
United Kingdom,1937,1313000
United Kingdom,1938,1272000
United Kingdom,1948,1371840.521
United Kingdom,1949,1368419.473
United Kingdom,1950,1352454.579
United Kingdom,1951,1317103.742
United Kingdom,1952,1288595.003
United Kingdom,1953,1264647.663
United Kingdom,1954,1252103.817
United Kingdom,1955,1246402.07
United Kingdom,1956,1211051.233
United Kingdom,1957,1204209.136
United Kingdom,1958,1187103.892
United Kingdom,1959,1177981.096
United Kingdom,1960,1157454.804
United Kingdom,1961,1120963.618
United Kingdom,1962,1082191.733
United Kingdom,1963,1073068.936
United Kingdom,1964,1030876.003
United Kingdom,1965,972718.1751
United Kingdom,1966,935265.9245
United Kingdom,1967,900934.6948
United Kingdom,1968,871805.1665
United Kingdom,1969,835393.2562
United Kingdom,1970,801062.0265
United Kingdom,1971,764439.2076
United Kingdom,1972,756799.9969
United Kingdom,1973,768303.0982
United Kingdom,1974,735608.3836
United Kingdom,1975,708163.6888
United Kingdom,1976,700817.8681
United Kingdom,1977,694235.9684
United Kingdom,1978,680883.9567
United Kingdom,1979,665667.5347
United Kingdom,1980,670837.841
United Kingdom,1981,677300.1704
United Kingdom,1982,675547.5805
United Kingdom,1983,671863.0453
United Kingdom,1984,694933.4616
United Kingdom,1985,661113.9008
United States,1840,3570000
United States,1850,4520000
United States,1860,5880000
United States,1870,6790000
United States,1880,8920000
United States,1890,9960000
United States,1900,11680000
United States,1910,11770000
United States,1920,10790000
United States,1929,8627000
United States,1930,8441000
United States,1931,8471000
United States,1932,8370000
United States,1933,8438000
United States,1934,8523000
United States,1935,8651000
United States,1936,8544000
United States,1937,8367000
United States,1938,8066000
United States,1939,7810000
United States,1940,7589000
United States,1941,7486000
United States,1942,7341000
United States,1943,7154000
United States,1944,6931000
United States,1945,6766000
United States,1946,6713000
United States,1947,6657000
United States,1948,6625000
United States,1949,6440000
United States,1950,6402000
United States,1951,6022000
United States,1952,5879000
United States,1953,5696000
United States,1954,5713000
United States,1955,5525000
United States,1956,5251000
United States,1957,5010000
United States,1958,4848000
United States,1959,4704000
United States,1960,4531000
United States,1961,4442000
United States,1962,4310000
United States,1963,4079000
United States,1964,3862000
United States,1965,3713000
United States,1966,3432000
United States,1967,3338000
United States,1968,3303000
United States,1969,3193000
United States,1970,3118000
United States,1971,3065000
United States,1972,3116000
United States,1973,3181000
United States,1974,3255000
United States,1975,3191000
United States,1976,3210000
United States,1977,3105000
United States,1978,3158000
United States,1979,3183000
United States,1980,3275000
United States,1981,3260000
United States,1982,3140000
United States,1983,3166000
United States,1984,3074000
United States,1985,2889000
