entity_name,year,number_closedaut_row_owid,number_electaut_row_owid,number_electdem_18_row_owid,number_electdem_30_row_owid,number_electdem_60_row_owid,number_electdem_90_row_owid,number_electdem_91plus_row_owid,number_electdem_row_owid,number_libdem_18_row_owid,number_libdem_30_row_owid,number_libdem_60_row_owid,number_libdem_90_row_owid,number_libdem_91plus_row_owid,number_nondem_bmr_owid,number_electdem_18_bmr_owid,number_electdem_30_bmr_owid,number_electdem_60_bmr_owid,number_electdem_90_bmr_owid,number_electdem_91plus_bmr_owid
World,1789,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1790,66,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1791,67,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1792,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1793,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1794,66,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1795,68,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1796,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1797,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1798,64,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1799,67,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
World,1800,68,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1801,69,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1802,71,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1803,70,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1804,70,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1805,70,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1806,70,3,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0
World,1807,71,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1808,70,3,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0
World,1809,70,3,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0
World,1810,70,3,0,0,0,0,0,0,0,0,0,0,0,23,1,0,0,0,0
World,1811,70,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1812,70,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1813,72,3,0,0,0,0,0,0,0,0,0,0,0,24,1,0,0,0,0
World,1814,73,3,0,0,0,0,0,0,0,0,0,0,0,25,1,0,0,0,0
World,1815,78,3,0,0,0,0,0,0,0,0,0,0,0,31,1,0,0,0,0
World,1816,78,3,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0
World,1817,79,3,0,0,0,0,0,0,0,0,0,0,0,32,1,0,0,0,0
World,1818,79,3,0,0,0,0,0,0,0,0,0,0,0,33,0,1,0,0,0
World,1819,79,3,0,0,0,0,0,0,0,0,0,0,0,34,0,1,0,0,0
World,1820,78,3,0,0,0,0,0,0,0,0,0,0,0,36,0,1,0,0,0
World,1821,81,4,0,0,0,0,0,0,0,0,0,0,0,41,0,1,0,0,0
World,1822,81,4,0,0,0,0,0,0,0,0,0,0,0,42,0,1,0,0,0
World,1823,79,6,0,0,0,0,0,0,0,0,0,0,0,43,0,1,0,0,0
World,1824,79,5,0,0,0,0,0,0,0,0,0,0,0,50,0,1,0,0,0
World,1825,81,5,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0
World,1826,82,5,0,0,0,0,0,0,0,0,0,0,0,52,0,1,0,0,0
World,1827,82,5,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0
World,1828,82,5,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0
World,1829,82,5,0,0,0,0,0,0,0,0,0,0,0,53,0,1,0,0,0
World,1830,84,5,0,0,0,0,0,0,0,0,0,0,0,55,0,0,1,0,0
World,1831,84,6,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0
World,1832,84,7,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1833,84,7,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1834,85,7,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1835,84,8,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1836,82,10,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1837,81,11,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1838,85,10,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1839,85,11,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1,0,0
World,1840,87,9,0,0,0,0,0,0,0,0,0,0,0,51,0,0,1,0,0
World,1841,90,7,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0
World,1842,88,9,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0
World,1843,88,9,0,0,0,0,0,0,0,0,0,0,0,52,0,0,1,0,0
World,1844,88,10,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1845,88,10,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1846,90,9,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1,0,0
World,1847,88,9,0,0,0,0,0,0,0,0,0,0,0,54,0,0,1,0,0
World,1848,85,15,0,0,0,0,0,0,0,0,0,0,0,52,2,0,1,0,0
World,1849,85,13,1,0,0,0,0,0,1,0,0,0,0,52,2,0,1,0,0
World,1850,85,13,1,0,0,0,0,0,1,0,0,0,0,53,2,0,1,0,0
World,1851,84,14,1,0,0,0,0,0,1,0,0,0,0,53,2,0,1,0,0
