Entity,Year,Gini – equiv_disposable,Gini – equiv_market,Gini – percap_disposable,Gini – percap_market,Top 10pc share – equiv_disposable,Top 10pc share – equiv_market,Top 10pc share – percap_disposable,Top 10pc share – percap_market
Australia,1981,28.199999999999996,40.400000000000006,31.3,44.0,20.7114,25.3814,23.3191,28.5571
Australia,1985,29.299999999999997,43.7,32.5,47.4,21.633,27.6839,24.2772,31.0192
Australia,1989,30.4,43.1,33.1,46.300000000000004,22.4356,27.752,24.6904,30.4024
Australia,1995,31.1,47.0,32.9,49.7,22.7384,29.0784,24.6306,31.8406
Australia,2001,32.0,48.1,33.7,50.5,23.5894,30.1565,25.1233,32.1857
Australia,2003,31.6,46.9,33.7,49.6,23.0152,29.1615,25.1594,31.8081
Australia,2004,31.1,45.7,32.7,48.1,23.5554,29.0491,25.0199,31.064
Australia,2008,33.5,46.9,35.5,49.4,25.7203,31.2839,27.4164,33.4444
Australia,2010,33.300000000000004,47.3,34.9,49.4,24.8845,30.3982,26.3605,32.2021
Australia,2014,32.9,48.1,34.2,49.9,25.5024,32.6434,26.7302,34.2069
Australia,2016,32.6,45.9,33.7,47.5,24.7741,30.7677,25.8249,32.0977
Australia,2018,32.9,46.9,34.2,48.6,25.1997,31.7626,26.4557,33.126
Austria,1994,27.800000000000004,43.8,30.8,47.599999999999994,21.777,27.268,24.003,30.8752
Austria,1995,26.6,43.7,29.9,47.3,21.1158,27.6185,23.3414,30.8417
Austria,1996,25.8,43.5,29.299999999999997,47.5,20.3351,27.1217,23.1278,30.8086
Austria,1997,25.5,43.4,29.099999999999998,47.4,20.0592,26.7349,22.644,30.769
Austria,1998,27.500000000000004,44.9,31.3,48.8,22.2563,28.5377,24.9982,32.0512
Austria,1999,26.200000000000003,44.0,29.7,47.699999999999996,21.2059,27.4915,23.7468,31.0896
Austria,2000,25.4,43.6,28.9,47.3,20.6036,27.2789,22.9367,30.4035
Austria,2003,26.5,45.1,29.599999999999998,48.3,21.3393,28.4883,23.5392,31.6812
Austria,2004,26.8,45.6,29.9,48.8,22.0364,28.9304,23.8801,31.705
Austria,2005,26.0,46.2,28.799999999999997,49.5,21.0588,28.376,22.868,31.8437
Austria,2006,26.8,47.699999999999996,29.7,50.7,21.7931,29.7501,23.7801,32.9382
Austria,2007,28.4,48.6,30.599999999999998,51.4,22.1949,30.7191,23.8709,33.8121
Austria,2008,28.000000000000004,49.0,30.4,52.0,22.2378,31.1528,24.1139,34.5851
Austria,2009,28.9,50.6,31.4,53.300000000000004,22.9112,32.3594,24.7046,35.3334
Austria,2010,28.000000000000004,49.8,30.3,52.400000000000006,22.1773,30.9039,23.6672,33.614
Austria,2011,28.199999999999996,49.6,30.9,52.400000000000006,22.2599,31.0864,23.8736,33.7161
Austria,2012,27.700000000000003,49.5,30.599999999999998,52.400000000000006,21.7198,30.7545,23.6161,33.7899
Austria,2013,28.000000000000004,49.7,31.1,52.900000000000006,22.4941,31.1161,24.4794,34.429
Austria,2014,27.500000000000004,49.5,30.7,52.800000000000004,22.1878,31.0075,24.2447,34.4169
Austria,2015,27.6,49.7,30.8,52.900000000000006,22.0004,31.0976,24.0319,34.4022
Austria,2016,28.499999999999996,50.3,31.0,53.0,22.4421,31.8777,24.0239,34.5245
Austria,2017,27.700000000000003,48.8,30.0,51.5,21.8421,30.1465,23.2091,32.9157
Austria,2018,28.000000000000004,49.7,31.0,52.800000000000004,22.3748,31.0995,24.0545,34.1201
Austria,2019,27.400000000000002,49.1,30.4,52.2,21.7319,30.7803,23.3517,33.7121
Belgium,1985,22.8,41.699999999999996,25.2,44.6,19.0669,24.17,19.1502,27.0821
Belgium,1988,23.5,42.4,25.7,45.300000000000004,19.652,24.9415,19.8434,27.6163
Belgium,1992,22.8,45.6,24.9,48.3,18.6798,26.3068,20.0608,28.8443
Belgium,1995,26.8,46.9,28.4,49.3,21.5448,28.4432,22.8487,31.0852
Belgium,1997,25.1,48.3,26.900000000000002,50.6,19.7236,28.4608,21.5896,31.0239
Belgium,2000,28.9,51.300000000000004,29.9,54.400000000000006,23.6319,34.1729,24.8682,37.5867
Belgium,2003,26.1,48.5,28.299999999999997,51.5,20.5639,28.1923,22.3801,31.4302
Belgium,2004,27.1,50.2,28.799999999999997,53.400000000000006,21.9555,30.4583,23.174,34.0239
Belgium,2005,27.0,49.0,28.299999999999997,52.0,21.6756,29.9344,22.6702,33.2622
Belgium,2006,27.200000000000003,48.199999999999996,29.099999999999998,51.1,21.5829,28.6299,23.3013,31.7736
Belgium,2007,27.500000000000004,48.3,29.4,51.300000000000004,21.9729,29.0006,23.5485,32.0799
Belgium,2008,26.200000000000003,47.199999999999996,28.4,50.4,20.6228,27.6019,22.5599,31.0509
Belgium,2009,26.700000000000003,47.9,28.4,50.5,20.9649,27.7206,22.3047,30.4557
Belgium,2010,26.3,48.699999999999996,28.199999999999996,51.6,20.5291,28.252,22.3755,31.7627
Belgium,2011,26.8,49.0,28.299999999999997,51.7,20.9416,28.6037,22.4024,31.4911
Belgium,2012,26.6,48.5,27.900000000000002,51.0,20.8603,28.12,22.2817,30.8774
Belgium,2013,26.400000000000002,49.3,27.900000000000002,51.800000000000004,20.438,28.4085,21.925,31.2616
Belgium,2014,26.200000000000003,49.7,27.900000000000002,52.300000000000004,20.4844,28.6665,22.0139,31.4924
