Year,Entity,Gini – posttax_dis,Gini – posttax_nat,Gini – pretax,Top 1pc share – posttax_dis,Top 1pc share – posttax_nat,Top 1pc share – pretax,Top 10pc share – posttax_dis,Top 10pc share – posttax_nat,Top 10pc share – pretax,Bottom 50pc share – posttax_dis,Bottom 50pc share – posttax_nat,Bottom 50pc share – pretax,Ratio Top 10 Bottom 50 share – posttax_dis,Ratio Top 10 Bottom 50 share – posttax_nat,Ratio Top 10 Bottom 50 share – pretax
2008,Afghanistan,,,52.4523890288169,,,16.220000000000002,,,41.94,,,17.16,,,244.40559440559437
2012,Afghanistan,,,49.2655841152544,,,13.82,,,38.76,,,19.0,,,204.0
2017,Afghanistan,,,51.5393122176032,,,15.079999999999998,,,41.010000000000005,,,17.79,,,230.52276559865095
2018,Afghanistan,,47.6858799228904,,,12.69,,,38.07,,,19.93,,,191.01856497742097,
2019,Afghanistan,,47.602312410693095,,,12.68,,,38.05,,,19.98,,,190.44044044044043,
2020,Afghanistan,,47.602297755732096,,,12.68,,,38.05,,,19.98,,,190.44044044044043,
2021,Afghanistan,,47.6023056105831,,,12.68,,,38.05,,,19.98,,,190.44044044044043,
1996,Albania,44.3677878977831,41.414439869780004,46.762983546215494,6.79,6.370000000000001,8.14,29.97,28.65,32.57,20.11,22.1,18.8,149.03033316757833,129.63800904977373,173.2446808510638
2002,Albania,45.7921484827258,42.288218285183,48.169804657594604,7.24,6.72,8.63,31.130000000000003,29.51,33.64,19.19,21.54,17.96,162.21990620114644,137.0009285051068,187.30512249443208
2005,Albania,45.0607962239929,41.5015832468348,47.4481877113181,7.12,6.59,8.42,30.630000000000003,29.0,33.12,19.71,22.1,18.43,155.40334855403347,131.22171945701356,179.7069994574064
2008,Albania,44.9408555750216,41.2779737904676,47.2131626400237,7.290000000000001,6.72,8.58,30.53,28.860000000000003,33.07,19.77,22.23,18.59,154.42589782498737,129.82456140350877,177.89133942980098
2012,Albania,44.8045082865738,40.9757319508619,46.7515321284942,7.46,6.8500000000000005,8.55,30.91,29.12,33.0,20.0,22.56,19.05,154.55,129.07801418439718,173.22834645669292
