,dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
0,at94,dhi,0,8000456, 19122.38, 16170.28,    0.308,     5.28,     9.12,    15.77,     1.76,     2.79,     4.36,   0.0089,   0.0139,   0.0205,  4317.45,  5610.38,  7020.65,  2150.66,  2474.76,  2681.52
1,at94,dhci,0,8000456, 19122.38, 16170.28,    0.308,     5.28,     9.12,    15.77,     1.76,     2.79,     4.36,   0.0089,   0.0139,   0.0205,  4317.45,  5610.38,  7020.65,  2150.66,  2474.76,  2681.52
2,at94,mi,0,8000456, 19076.78, 14964.98,    0.476,    23.46,    27.37,    31.79,    17.58,    19.10,    20.83,   0.1568,   0.1664,   0.1766,  1623.12,  2443.52,  3345.35,  4844.99,  5641.63,  6356.83
3,at94,hcexp,0,8000456,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,at95,dhi,0,8030307, 18715.91, 16164.98,    0.299,     5.10,     9.58,    16.27,     1.51,     2.62,     4.32,   0.0074,   0.0121,   0.0190,  4546.58,  5869.35,  7121.76,  1919.41,  2213.14,  2577.23
5,at95,dhci,0,8030307, 18715.91, 16164.98,    0.299,     5.10,     9.58,    16.27,     1.51,     2.62,     4.32,   0.0074,   0.0121,   0.0190,  4546.58,  5869.35,  7121.76,  1919.41,  2213.14,  2577.23
6,at95,mi,0,8030307, 18420.41, 14755.01,    0.473,    24.05,    28.31,    32.85,    17.66,    19.32,    21.25,   0.1559,   0.1664,   0.1776,  1719.51,  2565.61,  3426.05,  4746.48,  5516.88,  6272.94
7,at95,hcexp,0,8030307,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,at96,dhi,0,8037450, 17956.15, 15510.31,    0.293,     4.31,     8.54,    15.52,     1.15,     2.16,     3.77,   0.0050,   0.0091,   0.0153,  4547.24,  5797.66,  7045.29,  1656.89,  1957.49,  2260.90
9,at96,dhci,0,8037450, 17956.15, 15510.31,    0.293,     4.31,     8.54,    15.52,     1.15,     2.16,     3.77,   0.0050,   0.0091,   0.0153,  4547.24,  5797.66,  7045.29,  1656.89,  1957.49,  2260.90
10,at96,mi,0,8037450, 18085.49, 14522.55,    0.475,    23.38,    27.85,    32.36,    17.68,    19.21,    20.99,   0.1593,   0.1684,   0.1784,  1511.91,  2406.81,  3270.06,  4692.21,  5348.34,  6036.13
11,at96,hcexp,0,8037450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,at97,dhi,0,8061858, 17939.02, 15659.81,    0.291,     5.24,     9.15,    15.86,     1.45,     2.53,     4.14,   0.0069,   0.0116,   0.0182,  4527.77,  5661.03,  6941.88,  1736.16,  2168.88,  2454.00
13,at97,dhci,0,8061858, 17939.02, 15659.81,    0.291,     5.24,     9.15,    15.86,     1.45,     2.53,     4.14,   0.0069,   0.0116,   0.0182,  4527.77,  5661.03,  6941.88,  1736.16,  2168.88,  2454.00
14,at97,mi,0,8061858, 17955.24, 14625.65,    0.474,    24.33,    28.38,    32.18,    18.45,    19.99,    21.71,   0.1653,   0.1750,   0.1853,  1514.71,  2315.85,  3055.56,  4749.21,  5514.06,  6340.33
