"","Entity","Year","Gini.coefficient","Palma.ratio..S90.S40.ratio.","S90.S10.ratio","S80.S20.ratio","S90.S50.ratio","P90.P10.ratio","P90.P50.ratio","P50.P10.ratio","P0.P10...share.of.the.bottom.10.","P0.P40...share.of.the.bottom.40.","P0.P50...share.of.the.bottom.50.","P10.P20...share.of.national.income","P20.P30...share.of.national.income","P30.P40...share.of.national.income","P40.P50...share.of.national.income","P50.P60...share.of.national.income","P50.P90...share.of.the.middle.40.","P60.P70...share.of.national.income","P70.P80...share.of.national.income","P80.P90...share.of.national.income","P90.P100...share.of.the.top.10.","P99.999.P100...share.of.the.top.0.001.","P99.99.P100...share.of.the.top.0.01.","P99.9.P100...share.of.the.top.0.1.","P99.P100...share.of.the.top.1.","Mean.income","P0.P10...mean.income.of.the.bottom.10.","P10.P20...mean.income","P20.P30...mean.income","P30.P40...mean.income","P40.P50...mean.income","P50.P60...mean.income","P60.P70...mean.income","P70.P80...mean.income","P80.P90...mean.income","P90.P100...mean.income.of.the.top.10.","P99.999.P100...mean.income.of.the.top.0.001.","P99.99.P100...mean.income.of.the.top.0.01.","P99.9.P100...mean.income.of.the.top.0.1.","P99.P100...mean.income.of.the.top.1.","P0...income.threshold.of.the.bottom.10.","P10...income.threshold","P20...income.threshold","P30...income.threshold","P40...income.threshold","P50...income.threshold..median.","P60...income.threshold","P70...income.threshold","P80...income.threshold","P90...income.threshold.of.the.top.10.","P99.999...income.threshold.of.the.top.0.001.","P99.99...income.threshold.of.the.top.0.01.","P99.9...income.threshold.of.the.top.0.1.","P99...income.threshold.of.the.top.1."
"1","United Arab Emirates",1998,0.656802051963233,9.0016613,338.6875,49.707142,5.4353061,35.410675,5.3313556,6.6419649,0.16,6.02,9.97,1.24,2.14,2.8,3.64,4.84,35.84,6.52,9.08,15.4,54.19,0.6,1.69,5.29,19.04,160830.353054968,2494.63181208337,19957.0080857758,34341.2748234074,45003.4344988954,58507.2866307481,77863.4593192433,104836.030538322,146006.064658012,247745.050016669,871549.382988309,96941100.2930542,27119690.4953723,8514577.27625028,3062691.09543492,0,9978.52724833348,29436.6182538708,39136.0304026179,50268.4716384833,66277.0267458065,88614.588673133,119767.017574112,172167.373499177,353346.396150631,64263571.914915,11690534.9870182,4160853.35017843,1455019.63481228
"2","United Arab Emirates",2009,0.676088348550998,10.216364,351.1875,51.198582,6.3563347,38.374195,6.7901239,5.6514716,0.16,5.5,8.84,1.25,2,2.36,3.08,4.21,34.96,5.96,8.8,16,56.19,0.49,1.34,4.19,17.21,74062.2216876294,1156.83787367658,9254.79581119504,14776.8100552741,17469.9876598467,22848.1745521435,31192.527910963,44112.855907947,65145.7148622816,118477.769427885,416186.510760626,36507591.4893918,9917204.16652365,3105174.14007712,1274692.25201407,0,4627.39790559752,13650.8354242355,15633.2766412015,19409.1275153372,26151.6089649074,35887.4072523435,53121.2562978411,78085.4890226722,177572.664351926,24046455.4952127,4059072.40937414,1642941.27814598,660284.546537089
"3","United Arab Emirates",2013,0.617477285610356,7.7532053,372.15384,54.677967,4.3429084,42.446743,4.2653403,9.9515486,0.13,6.24,11.14,1.05,2.19,3.24,4.53,5.91,40.48,7.84,10.6,16.14,48.38,0.47,1.35,4.32,15.96,77475.3250362634,1013.89232882687,8111.37068507091,16958.957337009,25114.1399033586,35117.496978476,45764.2946489819,60750.4178235002,82100.2167537369,125014.41857505,374807.998917733,36690172.7242986,10447609.0407628,3350765.214223,1236605.2933958,0,4055.66213708987,11964.2636385736,21556.3273960099,29022.8187480656,40360.1176576215,51398.0663190343,70316.7699472199,93444.1988316234,172149.644538744,24543356.486338,4610959.16793981,1672793.45951952,609801.470937766
"4","United Arab Emirates",2014,0.620527349231921,7.9379086,373.69232,56.304348,4.4324818,43.226902,4.292594,10.070112,0.13,6.12,10.96,1.02,2.14,3.19,4.48,5.86,40.46,7.82,10.61,16.17,48.58,0.52,1.46,4.56,16.3,80702.3207112456,1033.01361599508,8263.78405172236,17290.0526347226,25713.9078501419,36122.2463617394,47301.4233650281,63095.6529768591,85659.3287660387,130481.343091292,392062.315166243,42101560.3901788,11782672.5800302,3679703.10165985,1315512.39442512,0,4131.91523130677,12189.1244063648,22010.1330900165,29794.1677595598,41608.8490958443,53266.9864961619,73196.3801016826,97763.6140633174,178609.901359019,28047787.1866457,5088861.39664969,1788879.16520484,635847.495125228
"5","United Arab Emirates",2018,0.594405844538134,6.5812674,251.47368,36.08046,3.7298985,27.5142,3.6214116,7.5976448,0.19,7.26,12.81,1.55,2.58,3.33,5.15,6.46,39.41,7.94,10.01,15,47.78,0.51,1.39,4.23,15.31,87095.6994373224,1686.85025100895,13495.2661169835,22514.1089573941,29023.6077332158,44819.7401915853,56257.843556795,69136.7266279508,87218.8739425273,130621.503982671,416182.38019131,44464018.3932021,12086305.6716227,3687963.21925117,1333633.24842294,0,6747.63305849173,19905.4919965604,24616.4759171821,35089.6968546562,51266.1201553954,61267.249507736,76626.3306038167,96070.0342330867,185655.724393374,29275041.5208638,5053842.52281498,1773198.87433087,664236.433921489
"6","Afghanistan",2008,0.524523890288169,3.8833334,144.6207,21.515385,2.444056,14.330679,2.6858401,5.3356409,0.29,10.8,17.16,2.31,3.88,4.85,5.83,7.24,40.9,9.16,10.5,14,41.94,0.54,1.73,5.66,16.22,3552.84041634349,102.594204763971,820.733275048249,1379.23101812599,1724.44603392782,2071.44790855327,2570.56186764988,3254.93388785727,3730.90522526693,4974.62005568802,14898.9205050217,1914370.90193541,616151.201190352,201097.536247355,57617.5223962705,0,410.366637524124,1210.57903531323,1510.25205955954,1860.78183493928,2189.56894924887,2984.04405389208,3362.49668011936,4087.4573766818,5880.8323806143,1321406.53573366,285377.008235131,91362.325826261,22012.2018511664
"7","Afghanistan",2012,0.492655841152544,3.1718495,121.125,18.358622,2.04,13.028391,2.5982683,5.0142593,0.32,12.22,19,2.58,4.48,5.42,6.21,7.42,42.24,9.33,11.02,14.48,38.76,0.42,1.35,4.54,13.82,4934.49972979387,158.959164578722,1271.66313509802,2209.4789346025,2673.33424921962,3063.04764957174,3659.81777052947,4602.05235481712,5438.41937188047,7143.32704636383,19124.8976212772,2094447.04191314,667318.718126882,224082.354373576,68185.504374139,0,635.831567549009,1875.70286973128,2424.33470853509,2794.8406492249,3188.22449177594,4165.36645769742,4806.0800697246,5959.97342697269,8283.86223394484,1432690.8814841,312354.809304848,106226.822572408,28073.5273360286
"8","Afghanistan",2017,0.515393122176032,3.5785341,132.29033,19.938848,2.3052278,13.699659,2.8200912,4.8578782,0.31,11.46,17.79,2.47,4.18,5.04,5.79,6.94,41.21,9.05,10.8,14.42,41.01,0.43,1.46,5.02,15.08,4635.38159902839,143.187971884891,1145.51395661088,1936.28807445991,2337.45569804028,2682.92016137019,3219.24761904392,4194.85217366988,5004.126134724,6682.28692527793,19007.9321844362,2001292.60868365,675867.503817181,232654.801943682,69902.2582608233,0,572.756978305442,1689.6353768457,2106.29420099654,2450.01762239577,2782.38354511844,3773.94765077576,4382.57925623208,5529.7018948608,7846.57562645138,1397795.61587307,326760.454959236,110593.238646973,28001.009376079
"9","Albania",1996,0.467629835462155,2.9501812,232.64285,24.690001,1.7324468,28.873638,2.5141823,11.484305,0.14,11.04,18.8,1.86,4.04,5.64,7.12,8.54,48.63,10.45,12.83,16.81,32.57,0.13,0.51,2.04,8.14,8511.80810177097,119.474262177562,1581.20753283683,3440.06662574718,4797.50511045253,6061.9852533723,7266.00269274493,8896.79184422753,10917.8088756588,14310.7933547806,27726.4429637374,1082683.93530013,433111.586610949,173259.837639159,69310.0238595762,0,579.885014641392,2676.60177124534,4202.81091173866,5472.75286388807,6659.57673797161,8100.63619751568,9735.37846790934,12467.3113940394,16743.3901122282,653809.03883078,261546.578649632,104627.81870836,41854.7998807729
"10","Albania",2002,0.481698046575946,3.2253115,224.26666,27.983425,1.8730512,28.861563,2.6103082,11.056765,0.15,10.43,17.96,1.66,3.77,5.45,6.92,8.36,48.39,10.18,12.84,17.01,33.64,0.15,0.57,2.21,8.63,10522.1091785845,161.407346322644,1744.52138334316,3971.00552313737,5736.74864990049,7286.46633804461,8793.58541696114,10715.391673595,13513.4342585775,17898.4764461936,35400.0622556916,1529484.16690651,596567.679342804,232688.275176519,90758.9014826933,0,726.911014444589,2796.32122687434,5045.76348004058,6462.11594639058,8037.28371400508,9733.33185318197,11836.4886908473,15549.0302924737,20979.7875228669,906446.26322476,353554.870870085,137902.326455189,53788.1199691491
