,dataset,variable,eq,percentile,thr,share
0,at94,dhi,1,10,        14676.63,   3.2272
1,at94,dhi,1,20,        19322.92,   5.3116
2,at94,dhi,1,30,        22616.88,   6.5765
3,at94,dhi,1,40,        25679.00,   7.5028
4,at94,dhi,1,50,        28635.50,   8.4509
5,at94,dhi,1,60,        32207.18,   9.4345
6,at94,dhi,1,70,        37055.09,  10.7995
7,at94,dhi,1,80,        42715.34,  12.3546
8,at94,dhi,1,90,        51556.85,  14.5655
9,at94,dhi,1,100,               .,  21.7770
10,at94,dhci,1,10,        14676.63,   3.2272
11,at94,dhci,1,20,        19322.92,   5.3116
12,at94,dhci,1,30,        22616.88,   6.5765
13,at94,dhci,1,40,        25679.00,   7.5028
14,at94,dhci,1,50,        28635.50,   8.4509
15,at94,dhci,1,60,        32207.18,   9.4345
16,at94,dhci,1,70,        37055.09,  10.7995
17,at94,dhci,1,80,        42715.34,  12.3546
18,at94,dhci,1,90,        51556.85,  14.5655
19,at94,dhci,1,100,               .,  21.7770
20,at94,mi,1,10,          228.25,   0.0126
21,at94,mi,1,20,         8748.44,   0.9453
22,at94,mi,1,30,        17972.31,   4.2357
23,at94,mi,1,40,        23568.35,   6.3335
24,at94,mi,1,50,        28808.79,   7.9762
25,at94,mi,1,60,        35030.96,   9.7412
26,at94,mi,1,70,        41901.27,  11.7000
27,at94,mi,1,80,        51165.97,  14.0947
28,at94,mi,1,90,        65251.06,  17.6927
29,at94,mi,1,100,               .,  27.2680
30,at94,hcexp,1,10,.,.
31,at94,hcexp,1,20,.,.
32,at94,hcexp,1,30,.,.
33,at94,hcexp,1,40,.,.
34,at94,hcexp,1,50,.,.
35,at94,hcexp,1,60,.,.
36,at94,hcexp,1,70,.,.
37,at94,hcexp,1,80,.,.
38,at94,hcexp,1,90,.,.
39,at94,hcexp,1,100,.,.
40,at95,dhi,1,10,        14840.88,   3.4539
41,at95,dhi,1,20,        18988.85,   5.4784
