,dataset,variable,eq,percentile,thr,share
0,at94,dhi,0,10,         8317.57,   3.0607
1,at94,dhi,0,20,        10618.47,   4.9951
2,at94,dhi,0,30,        12566.88,   6.0631
3,at94,dhi,0,40,        14417.48,   7.0298
4,at94,dhi,0,50,        16170.28,   7.9614
5,at94,dhi,0,60,        18650.96,   9.0864
6,at94,dhi,0,70,        21591.01,  10.5037
7,at94,dhi,0,80,        25725.45,  12.3356
8,at94,dhi,0,90,        32678.15,  14.9612
9,at94,dhi,0,100,               .,  24.0030
10,at94,dhci,0,10,         8317.57,   3.0607
11,at94,dhci,0,20,        10618.47,   4.9951
12,at94,dhci,0,30,        12566.88,   6.0631
13,at94,dhci,0,40,        14417.48,   7.0298
14,at94,dhci,0,50,        16170.28,   7.9614
15,at94,dhci,0,60,        18650.96,   9.0864
16,at94,dhci,0,70,        21591.01,  10.5037
17,at94,dhci,0,80,        25725.45,  12.3356
18,at94,dhci,0,90,        32678.15,  14.9612
19,at94,dhci,0,100,               .,  24.0030
20,at94,mi,0,10,          180.73,   0.0167
21,at94,mi,0,20,         4711.96,   0.9525
22,at94,mi,0,30,         9189.01,   3.7344
23,at94,mi,0,40,        12082.22,   5.5912
24,at94,mi,0,50,        14964.98,   7.1608
25,at94,mi,0,60,        18607.76,   8.6447
26,at94,mi,0,70,        23341.77,  10.9894
27,at94,mi,0,80,        29552.14,  13.9276
28,at94,mi,0,90,        40192.50,  18.1075
29,at94,mi,0,100,               .,  30.8752
30,at94,hcexp,0,10,.,.
31,at94,hcexp,0,20,.,.
32,at94,hcexp,0,30,.,.
33,at94,hcexp,0,40,.,.
34,at94,hcexp,0,50,.,.
35,at94,hcexp,0,60,.,.
36,at94,hcexp,0,70,.,.
37,at94,hcexp,0,80,.,.
38,at94,hcexp,0,90,.,.
39,at94,hcexp,0,100,.,.
40,at95,dhi,0,10,         8162.84,   3.1894
41,at95,dhi,0,20,        10651.29,   5.0550
42,at95,dhi,0,30,        12570.23,   6.1993
43,at95,dhi,0,40,        14118.72,   7.1343
44,at95,dhi,0,50,        16164.98,   8.0578
45,at95,dhi,0,60,        18553.09,   9.2305
46,at95,dhi,0,70,        21313.23,  10.5757
47,at95,dhi,0,80,        25161.00,  12.4215
48,at95,dhi,0,90,        31525.06,  14.7950
49,at95,dhi,0,100,               .,  23.3414
50,at95,dhci,0,10,         8162.84,   3.1894
51,at95,dhci,0,20,        10651.29,   5.0550
52,at95,dhci,0,30,        12570.23,   6.1993
53,at95,dhci,0,40,        14118.72,   7.1343
54,at95,dhci,0,50,        16164.98,   8.0578
55,at95,dhci,0,60,        18553.09,   9.2305
56,at95,dhci,0,70,        21313.23,  10.5757
57,at95,dhci,0,80,        25161.00,  12.4215
58,at95,dhci,0,90,        31525.06,  14.7950
59,at95,dhci,0,100,               .,  23.3414
60,at95,mi,0,10,          187.30,   0.0168
61,at95,mi,0,20,         4628.08,   1.0026
62,at95,mi,0,30,         8599.15,   3.6874
63,at95,mi,0,40,        11873.58,   5.6241
64,at95,mi,0,50,        14755.01,   7.2298
65,at95,mi,0,60,        18233.08,   8.9463
66,at95,mi,0,70,        22615.87,  10.9546
67,at95,mi,0,80,        28468.45,  13.7824
68,at95,mi,0,90,        38439.72,  17.9142
69,at95,mi,0,100,               .,  30.8417
70,at95,hcexp,0,10,.,.
71,at95,hcexp,0,20,.,.
72,at95,hcexp,0,30,.,.
73,at95,hcexp,0,40,.,.
74,at95,hcexp,0,50,.,.
75,at95,hcexp,0,60,.,.
76,at95,hcexp,0,70,.,.
77,at95,hcexp,0,80,.,.
78,at95,hcexp,0,90,.,.
79,at95,hcexp,0,100,.,.
80,at96,dhi,0,10,         8036.37,   3.4060
81,at96,dhi,0,20,        10129.98,   5.1302
82,at96,dhi,0,30,        12069.73,   6.1952
83,at96,dhi,0,40,        13814.63,   7.2244
84,at96,dhi,0,50,        15510.31,   8.1397
85,at96,dhi,0,60,        17638.50,   9.2248
86,at96,dhi,0,70,        20246.26,  10.4854
87,at96,dhi,0,80,        24070.80,  12.2256
88,at96,dhi,0,90,        30104.48,  14.8410
89,at96,dhi,0,100,               .,  23.1278
90,at96,dhci,0,10,         8036.37,   3.4060
91,at96,dhci,0,20,        10129.98,   5.1302
92,at96,dhci,0,30,        12069.73,   6.1952
93,at96,dhci,0,40,        13814.63,   7.2244
94,at96,dhci,0,50,        15510.31,   8.1397
95,at96,dhci,0,60,        17638.50,   9.2248
96,at96,dhci,0,70,        20246.26,  10.4854
97,at96,dhci,0,80,        24070.80,  12.2256
98,at96,dhci,0,90,        30104.48,  14.8410
99,at96,dhci,0,100,               .,  23.1278
100,at96,mi,0,10,          151.23,   0.0123
101,at96,mi,0,20,         4823.14,   0.9060
102,at96,mi,0,30,         8553.04,   3.7794
103,at96,mi,0,40,        11657.19,   5.5826
104,at96,mi,0,50,        14522.55,   7.2212
105,at96,mi,0,60,        17718.07,   8.9127
106,at96,mi,0,70,        21770.38,  10.9127
107,at96,mi,0,80,        28267.10,  13.6560
108,at96,mi,0,90,        38170.04,  18.2085
109,at96,mi,0,100,               .,  30.8086
110,at96,hcexp,0,10,.,.
111,at96,hcexp,0,20,.,.
112,at96,hcexp,0,30,.,.
113,at96,hcexp,0,40,.,.
114,at96,hcexp,0,50,.,.
115,at96,hcexp,0,60,.,.
116,at96,hcexp,0,70,.,.
117,at96,hcexp,0,80,.,.
118,at96,hcexp,0,90,.,.
119,at96,hcexp,0,100,.,.
120,at97,dhi,0,10,         8016.37,   3.2664
121,at97,dhi,0,20,        10325.40,   5.1558
122,at97,dhi,0,30,        12073.54,   6.2825
123,at97,dhi,0,40,        13831.49,   7.2231
124,at97,dhi,0,50,        15659.81,   8.4538
125,at97,dhi,0,60,        17875.08,   9.1081
126,at97,dhi,0,70,        20380.73,  10.6456
127,at97,dhi,0,80,        23933.04,  12.2674
128,at97,dhi,0,90,        30497.95,  14.9532
129,at97,dhi,0,100,               .,  22.6440
130,at97,dhci,0,10,         8016.37,   3.2664
131,at97,dhci,0,20,        10325.40,   5.1558
132,at97,dhci,0,30,        12073.54,   6.2825
133,at97,dhci,0,40,        13831.49,   7.2231
