,dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
0,at94,dhi,1,8000456, 32089.41, 28635.50,    0.278,     4.98,     9.39,    15.00,     1.74,     2.78,     4.35,   0.0093,   0.0140,   0.0206,  7463.55, 10071.27, 12196.30,  3990.65,  4246.48,  4985.00
1,at94,dhci,1,8000456, 32089.41, 28635.50,    0.278,     4.98,     9.39,    15.00,     1.74,     2.78,     4.35,   0.0093,   0.0140,   0.0206,  7463.55, 10071.27, 12196.30,  3990.65,  4246.48,  4985.00
2,at94,mi,1,8000456, 32829.81, 28808.79,    0.438,    22.42,    24.99,    29.12,    17.56,    18.77,    20.12,   0.1584,   0.1668,   0.1753,  2484.09,  3566.10,  5312.93,  8970.11, 10751.65, 11868.37
3,at94,hcexp,1,8000456,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
4,at95,dhi,1,8030307, 31197.92, 28205.60,    0.266,     4.39,     8.69,    14.80,     1.51,     2.43,     3.94,   0.0081,   0.0122,   0.0181,  7416.10, 10152.48, 12414.76,  3866.14,  3950.32,  4508.60
5,at95,dhci,1,8030307, 31197.92, 28205.60,    0.266,     4.39,     8.69,    14.80,     1.51,     2.43,     3.94,   0.0081,   0.0122,   0.0181,  7416.10, 10152.48, 12414.76,  3866.14,  3950.32,  4508.60
6,at95,mi,1,8030307, 31680.88, 28477.95,    0.437,    22.36,    25.27,    29.75,    17.46,    18.69,    20.13,   0.1572,   0.1657,   0.1744,  2475.89,  3670.03,  5471.66,  8806.35, 10432.77, 11451.70
7,at95,hcexp,1,8030307,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
8,at96,dhi,1,8037450, 29868.35, 27636.02,    0.258,     4.30,     8.92,    14.69,     1.20,     2.21,     3.77,   0.0059,   0.0098,   0.0159,  7968.51, 10400.90, 12322.05,  3085.90,  3417.11,  4259.56
9,at96,dhci,1,8037450, 29868.35, 27636.02,    0.258,     4.30,     8.92,    14.69,     1.20,     2.21,     3.77,   0.0059,   0.0098,   0.0159,  7968.51, 10400.90, 12322.05,  3085.90,  3417.11,  4259.56
10,at96,mi,1,8037450, 31095.73, 28001.65,    0.435,    21.98,    25.00,    29.69,    17.76,    18.89,    20.33,   0.1624,   0.1700,   0.1779,  2120.42,  3375.36,  5225.15,  8933.99, 10442.65, 11356.46
11,at96,hcexp,1,8037450,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
12,at97,dhi,1,8061858, 29719.00, 27511.97,    0.255,     4.47,     8.69,    14.79,     1.41,     2.43,     3.96,   0.0071,   0.0114,   0.0176,  7531.66,  9908.11, 12083.94,  3473.13,  3847.88,  4423.24
13,at97,dhci,1,8061858, 29719.00, 27511.97,    0.255,     4.47,     8.69,    14.79,     1.41,     2.43,     3.96,   0.0071,   0.0114,   0.0176,  7531.66,  9908.11, 12083.94,  3473.13,  3847.88,  4423.24
14,at97,mi,1,8061858, 30779.33, 28209.60,    0.434,    23.44,    26.02,    29.54,    18.49,    19.72,    21.06,   0.1677,   0.1762,   0.1847,  2324.40,  3328.57,  4741.12,  8680.39, 10427.43, 11766.06
15,at97,hcexp,1,8061858,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
16,at98,dhi,1,8069819, 30786.04, 27653.60,    0.275,     4.71,     7.95,    13.89,     1.63,     2.52,     3.91,   0.0089,   0.0131,   0.0188,  7238.66,  9451.34, 11928.15,  3822.78,  4375.46,  4664.01
17,at98,dhci,1,8069819, 30786.04, 27653.60,    0.275,     4.71,     7.95,    13.89,     1.63,     2.52,     3.91,   0.0089,   0.0131,   0.0188,  7238.66,  9451.34, 11928.15,  3822.78,  4375.46,  4664.01
18,at98,mi,1,8069819, 31769.44, 28026.30,    0.449,    23.22,    26.60,    29.72,    18.66,    19.85,    21.25,   0.1696,   0.1779,   0.1864,  2173.93,  3509.36,  4727.19,  8887.51, 10317.44, 11864.97
19,at98,hcexp,1,8069819,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
20,at99,dhi,1,8077461, 31804.03, 28590.88,    0.262,     3.32,     7.02,    13.13,     1.13,     1.91,     3.24,   0.0061,   0.0093,   0.0142,  7539.41, 10408.76, 12924.42,  3896.94,  3886.68,  4230.11
21,at99,dhci,1,8077461, 31804.03, 28590.88,    0.262,     3.32,     7.02,    13.13,     1.13,     1.91,     3.24,   0.0061,   0.0093,   0.0142,  7539.41, 10408.76, 12924.42,  3896.94,  3886.68,  4230.11
22,at99,mi,1,8077461, 32279.07, 28746.93,    0.440,    23.16,    24.87,    29.18,    18.43,    19.57,    20.81,   0.1689,   0.1766,   0.1843,  2336.95,  3046.84,  4922.30,  9099.40, 11248.60, 12232.23
23,at99,hcexp,1,8077461,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
