Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,186085.99936920303,,,,,
Albania,2002,,253219.2193672859,,,,
Albania,2005,,153911.82851827337,,,,
Albania,2008,,56648.22767487421,,,,
Albania,2012,,109191.61472460772,,,,
Albania,2014,,,218770.85823518716,,,
Albania,2015,,,69892.5906964343,,,
Albania,2016,,,71067.36350604366,,,
Albania,2017,,,77206.55588571372,,,
Albania,2018,,,,48809.49341047853,,
Albania,2019,,,,11653.761422054686,,
Algeria,1988,6161078.357698201,,,,,
Algeria,1995,,7019075.506743067,,,,
Algeria,2011,,,1048594.8242542553,,,
Angola,2000,10619160.092419758,,,,,
Angola,2008,,10453474.21961308,,,,
Angola,2018,,,27588187.10030202,,,
Armenia,1999,,1512674.4216393633,,,,
Armenia,2001,,1590217.7219598985,,,,
Armenia,2002,,1341974.2224105932,,,,
Armenia,2003,,1076995.046406458,,,,
Armenia,2004,,776652.2638924742,,,,
Armenia,2005,,462971.0143357773,,,,
Armenia,2006,,357242.9917394012,,,,
Armenia,2007,,295981.3563896892,,,,
Armenia,2008,,183407.25970755256,,,,
Armenia,2009,,263729.4099400228,,,,
Armenia,2010,,268729.2760443897,,,,
Armenia,2011,,261238.25755254217,,,,
Armenia,2012,,232430.8453686525,,,,
Armenia,2013,,253724.6781957507,,,,
Armenia,2014,,245350.9988692868,,,,
Armenia,2015,,219565.25864393255,,,,
Armenia,2016,,205226.87516982344,,,,
Armenia,2017,,174659.43962718532,,,,
Armenia,2018,,222096.93796484492,,,,
Armenia,2019,,,204167.1655763668,,,
Armenia,2020,,,133481.5680153159,,,
Azerbaijan,1995,3452373.4411256188,,,,,
Azerbaijan,2001,,2207850.439930273,,,,
Azerbaijan,2002,,95781.09936206332,,,,
Azerbaijan,2003,,128925.9300082801,,,,
Azerbaijan,2004,,29757.06821839833,,,,
Azerbaijan,2005,,8835.067922187276,,,,
Bangladesh,1983,99708236.83510976,,,,,
Bangladesh,1985,92181600.9892334,,,,,
Bangladesh,1988,118805389.85458024,,,,,
Bangladesh,1991,,128359152.12198289,,,,
Bangladesh,1995,,118303485.21983927,,,,
Bangladesh,2000,,,125893876.32937483,,,
Bangladesh,2005,,,111708596.30093165,,,
Bangladesh,2010,,,98537120.9942306,,,
Bangladesh,2016,,,86291023.94180721,,,
Belarus,1998,,7262547.984890338,,,,
Belarus,1999,,6467086.63832207,,,,
Belarus,2000,,4983167.49988721,,,,
Belarus,2001,,2757658.3199482663,,,,
Belarus,2002,,2043616.6863513005,,,,
Belarus,2003,,1673231.1120048456,,,,
Belarus,2004,,808741.3295045416,,,,
Belarus,2005,,458128.0133059072,,,,
Belarus,2006,,230664.14020969675,,,,
Belarus,2007,,183208.411238,,,,
Belarus,2008,,99359.27289092736,,,,
Belarus,2009,,102078.2972105582,,,,
Belarus,2010,,37958.85939902115,,,,
Belarus,2011,,22774.885251488988,,,,
Belarus,2012,,10628.582686674035,,,,
Belarus,2013,,4533.712989598409,,,,
Belarus,2014,,2479.453497648108,,,,
Belarus,2015,,5354.330491962699,,,,
Belarus,2016,,2844.962813259568,,,,
Belarus,2017,,5882.179248582509,,,,
Belarus,2018,,2637.844536517,,,,
Belarus,2019,,451.59373842706447,,,,
Belarus,2020,,3687.3183595885953,,,,
Belize,1995,,95901.2284940933,,,,
Benin,2003,10803915.179052468,,,,,
Benin,2011,,13691253.167701429,,,,
Benin,2015,,15686627.084435957,,,,
Benin,2018,,,7623033.828845456,,,
Bhutan,2003,297024.5949295503,,,,,
Bhutan,2007,,174197.89560174284,,,,
Bhutan,2012,,66261.20603552627,,,,
Bhutan,2017,,52656.81465093486,,,,
Bosnia and Herzegovina,2001,47893.8372281222,,,,,
Bosnia and Herzegovina,2004,29080.69291888624,,,,,
Bosnia and Herzegovina,2007,,15421.673628248318,,,,
Bosnia and Herzegovina,2011,,21459.76085680266,,,,
Botswana,1985,1260025.4471827303,,,,,
Botswana,1993,1351536.6570011545,,,,,
Botswana,2002,,1441289.0262799354,,,,
Botswana,2009,,1027924.0900226816,,,,
Botswana,2015,,1051294.7943052452,,,,
Bulgaria,1989,21194.11135992766,,,,,
Bulgaria,1994,95412.21208881254,,,,,
Bulgaria,1995,,,,320157.9014282415,,
Bulgaria,1997,,,351725.0765535756,,,
Bulgaria,2001,,,,737529.4422110429,,
Bulgaria,2003,,,,,351153.7693463157,
Bulgaria,2007,,,,,175086.9581720523,
Burkina Faso,1994,22834387.29821416,,,,,
Burkina Faso,1998,,23934094.27379376,,,,
Burkina Faso,2003,,19130173.083723057,,,,
Burkina Faso,2009,,,21464641.284789678,,,
Burkina Faso,2014,,,,19473224.59699731,,
Burkina Faso,2018,,,,,17474066.16919558,
Burundi,1992,11193716.484042617,,,,,
Burundi,1998,,13548800.27523074,,,,
Burundi,2006,,13979972.48999077,,,,
Burundi,2013,,16361166.726217335,,,,
Cameroon,1996,18730270.03995461,,,,,
Cameroon,2001,,12336600.53470467,,,,
Cameroon,2007,,16764820.99402443,,,,
Cameroon,2014,,16613351.599618984,,,,
Cape Verde,2001,258990.9754129504,,,,,
Cape Verde,2007,,173161.20132021428,,,,
Cape Verde,2015,,,101087.51490292432,,,
Central African Republic,1992,7456947.364077639,,,,,
Central African Republic,2008,,7396646.187384562,,,,
Chad,2003,14811312.76769195,,,,,
Chad,2011,13338037.952994784,,,,,
Chad,2018,,14308138.196474869,,,,
China,1990,,2135751243.6813135,,,,
China,1993,,1974329611.2254896,,,,
China,1996,,1607682815.6939108,,,,
China,1999,,1582370017.5263746,,,,
China,2002,,1319264986.4448743,,,,
China,2005,,883193789.1609769,,,,
China,2008,,721120773.6422472,,,,
China,2010,,576287887.5057129,,,,
China,2011,,454257535.3362397,,,,
China,2012,,385739980.7805589,,,,
China,2013,,,195832008.41855448,,,
China,2014,,,152359578.79761088,,,
China,2015,,,106152279.59130009,,,
China,2016,,,81149378.9414538,,,
China,2017,,,68990448.7521722,,,
China,2018,,,46838943.73474644,,,
China,2019,,,23310124.898487806,,,
China - rural,1990,,1779526562.682217,,,,
China - rural,1993,,1675520139.128779,,,,
China - rural,1996,,1354097101.3962164,,,,
China - rural,1999,,1352515533.8731842,,,,
China - rural,2002,,1167614893.6702416,,,,
China - rural,2005,,778927379.4349294,,,,
China - rural,2008,,657175460.6313002,,,,
China - rural,2010,,534050238.7108284,,,,
China - rural,2011,,421123871.2275328,,,,
China - rural,2012,,359485510.9055456,,,,
China - rural,2013,,,164100995.82495135,,,
China - rural,2014,,,123448534.35212314,,,
China - rural,2015,,,85805872.94256042,,,
