Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
Albania,1996,4.196121834139307,,,,,
Albania,2002,,3.9401481840129735,,,,
Albania,2005,,4.509758921310796,,,,
Albania,2008,,5.156387398425239,,,,
Albania,2012,,4.942388263072276,,,,
Albania,2014,,,4.23274654298238,,,
Albania,2015,,,5.481334413124364,,,
Albania,2016,,,5.456021828853027,,,
Albania,2017,,,5.535332512205446,,,
Albania,2018,,,,6.34954318417032,,
Albania,2019,,,,7.575465190491056,,
Algeria,1988,2.86526229005524,,,,,
Algeria,1995,,2.911495636439277,,,,
Algeria,2011,,,4.902949628280492,,,
Angola,2000,1.6188997701258534,,,,,
Angola,2008,,2.1864636439743625,,,,
Angola,2018,,,1.3311159208156156,,,
Armenia,1999,,2.30459138572176,,,,
Armenia,2001,,2.1995199557634875,,,,
Armenia,2002,,2.3947045520110124,,,,
Armenia,2003,,2.6029212002351096,,,,
Armenia,2004,,2.921064115417749,,,,
Armenia,2005,,3.3686161890309974,,,,
Armenia,2006,,3.582765177952429,,,,
Armenia,2007,,3.7574613603232,,,,
Armenia,2008,,4.131721170579956,,,,
Armenia,2009,,3.7543374322583394,,,,
Armenia,2010,,3.7113214602598745,,,,
Armenia,2011,,3.7840542110396833,,,,
Armenia,2012,,3.916668830468555,,,,
Armenia,2013,,3.9526624988812378,,,,
Armenia,2014,,3.952130672188755,,,,
Armenia,2015,,4.159686625358289,,,,
Armenia,2016,,4.146508808992178,,,,
Armenia,2017,,4.294452552016268,,,,
Armenia,2018,,4.227860752514308,,,,
Armenia,2019,,,4.0968994079343135,,,
Armenia,2020,,,4.368929877090902,,,
Azerbaijan,1995,2.3156417827848763,,,,,
Azerbaijan,2001,,2.824769691273373,,,,
Azerbaijan,2002,,4.966572718926298,,,,
Azerbaijan,2003,,4.86980879762138,,,,
Azerbaijan,2004,,5.1357905702714906,,,,
Azerbaijan,2005,,5.760497302607808,,,,
Bangladesh,1983,1.5375069355897557,,,,,
Bangladesh,1988,1.4735390493987317,,,,,
Bangladesh,1991,,1.5000546075863153,,,,
Bangladesh,1995,,1.659265198648693,,,,
Bangladesh,2000,,,1.6787181908635245,,,
Bangladesh,2005,,,1.8730042552373467,,,
Bangladesh,2010,,,2.042002126456557,,,
Bangladesh,2016,,,2.209075111571209,,,
Belarus,1998,,1.868153065376712,,,,
Belarus,1999,,1.943649874152976,,,,
Belarus,2000,,2.2189029950264803,,,,
Belarus,2001,,2.827901527773925,,,,
Belarus,2002,,3.1262971587217034,,,,
Belarus,2003,,3.3399761251320497,,,,
Belarus,2004,,4.0517258987542855,,,,
Belarus,2005,,4.729885543532746,,,,
Belarus,2006,,5.3723880580761305,,,,
Belarus,2007,,6.093937588397762,,,,
Belarus,2008,,6.614063086447199,,,,
Belarus,2009,,6.7402019595940805,,,,
Belarus,2010,,7.336102494904761,,,,
Belarus,2011,,7.824423042911254,,,,
Belarus,2012,,9.002293309506005,,,,
Belarus,2013,,10.10311550634452,,,,
Belarus,2014,,10.234117759784722,,,,
Belarus,2015,,9.562479139472137,,,,
Belarus,2016,,9.332029058732676,,,,
Belarus,2017,,9.493787131683792,,,,
Belarus,2018,,10.49891288756455,,,,
Belarus,2019,,11.129662767105144,,,,
Belarus,2020,,11.28409575451307,,,,
Belize,1995,,2.076534918106184,,,,
Benin,2003,1.1350425666839483,,,,,
Benin,2011,,1.0773065827560229,,,,
Benin,2015,,0.6723371739134754,,,,
Benin,2018,,,1.922418362339412,,,
Bhutan,2003,2.2272955833756627,,,,,
Bhutan,2007,,2.844114068659898,,,,
Bhutan,2012,,3.9437455748878048,,,,
Bhutan,2017,,4.238840137902337,,,,
Bosnia and Herzegovina,2001,7.000237845870504,,,,,
Bosnia and Herzegovina,2004,9.079482012499328,,,,,
Bosnia and Herzegovina,2007,,9.935011434875843,,,,
Bosnia and Herzegovina,2011,,9.576301238869991,,,,
Botswana,1985,1.0036047780456976,,,,,
Botswana,1993,1.2170365418530713,,,,,
Botswana,2002,,1.3844337739040926,,,,
Botswana,2009,,1.9696552776890743,,,,
Botswana,2015,,2.1303681604874254,,,,
Bulgaria,1989,14.886297696723538,,,,,
Bulgaria,1994,8.511548794439419,,,,,
Bulgaria,1995,,,,6.476079111383353,,
Bulgaria,1997,,,4.25344063210279,,,
Bulgaria,2001,,,,4.808583927187354,,
Bulgaria,2003,,,,,5.333325615903704,
Bulgaria,2007,,,,,7.006943388721864,
Burkina Faso,1994,0.5241380848466682,,,,,
Burkina Faso,1998,,0.6083500324852716,,,,
Burkina Faso,2003,,0.9805477791486636,,,,
Burkina Faso,2009,,,1.1258717456247356,,,
Burkina Faso,2014,,,,1.5430822768078862,,
Burkina Faso,2018,,,,,1.5953486720363097,
Burundi,1992,0.8161951072273393,,,,,
Burundi,1998,,0.5646424759296195,,,,
Burundi,2006,,0.9876328230123148,,,,
Burundi,2013,,0.938345396001224,,,,
Cameroon,1996,1.1953189553456152,,,,,
Cameroon,2001,,1.7217060312155836,,,,
Cameroon,2007,,1.488631088190738,,,,
Cameroon,2014,,1.6062502055318977,,,,
Cape Verde,2001,1.8961295632453392,,,,,
Cape Verde,2007,,2.496264709618089,,,,
Cape Verde,2015,,,3.269054353703663,,,
Central African Republic,1992,0.1903194185502378,,,,,
Central African Republic,2008,,0.6456691981366194,,,,
Chad,2003,0.9617429689254288,,,,,
Chad,2011,1.174037446610046,,,,,
Chad,2018,,1.5914476406395064,,,,
China,1990,,0.9093586996013412,,,,
China,1993,,1.0161800537711327,,,,
China,1996,,1.199802791139992,,,,
China,1999,,1.1765290103947246,,,,
China,2002,,1.313399816530127,,,,
China,2005,,1.7979434545024582,,,,
China,2008,,1.995578216352364,,,,
China,2010,,2.2772214539075133,,,,
China,2011,,2.610607017143267,,,,
China,2012,,2.83993778267016,,,,
China,2013,,,3.5686579243664758,,,
China,2014,,,3.871451238541198,,,
China,2015,,,4.24262920697323,,,
China,2016,,,4.553190603385146,,,
China,2017,,,4.71857766800522,,,
China,2018,,,5.110323215555803,,,
China,2019,,,5.523154386143042,,,
China - rural,1990,,0.8244499754947583,,,,
China - rural,1993,,0.8762179852204385,,,,
China - rural,1996,,1.052531783120867,,,,
China - rural,1999,,1.0067905158077584,,,,
China - rural,2002,,1.0831564652907324,,,,
China - rural,2005,,1.4460736578211923,,,,
China - rural,2008,,1.5087798363942542,,,,
China - rural,2010,,1.6796987729721742,,,,
China - rural,2011,,1.8997495750838715,,,,
China - rural,2012,,2.029393979597238,,,,
China - rural,2013,,,2.841603598603321,,,
China - rural,2014,,,3.113748143715651,,,
China - rural,2015,,,3.4206974584403693,,,
China - rural,2016,,,3.6394294112866303,,,
China - rural,2017,,,3.794664634725576,,,
China - rural,2018,,,4.185426049494634,,,
China - rural,2019,,,4.618061013706124,,,
China - urban,1990,,1.4846689775708417,,,,
China - urban,1993,,1.725801590055849,,,,
China - urban,1996,,1.977963837347984,,,,
China - urban,1999,,2.131374722762574,,,,
China - urban,2002,,2.7025757215666792,,,,
China - urban,2005,,3.236048151193752,,,,
China - urban,2008,,3.8316211267213935,,,,
China - urban,2010,,4.365322746743239,,,,
China - urban,2011,,4.638810009960095,,,,
China - urban,2012,,4.978392439411758,,,,
China - urban,2013,,,5.039971355970234,,,
China - urban,2014,,,5.308145120854897,,,
China - urban,2015,,,5.6878502713159245,,,
China - urban,2016,,,6.016091744678796,,,
China - urban,2017,,,6.093716261976632,,,
China - urban,2018,,,6.340765018275445,,,
China - urban,2019,,,6.670604195362733,,,
Comoros,2004,2.146686569952025,,,,,
Comoros,2014,,1.8398674028278248,,,,
Congo,2005,0.9949693251232636,,,,,
Congo,2011,1.2099502896135503,,,,,
Cote d'Ivoire,1985,2.836734605509064,,,,,
Cote d'Ivoire,1986,3.0333452267800745,,,,,
Cote d'Ivoire,1987,2.6070655831272465,,,,,
Cote d'Ivoire,1988,2.2161195619515097,,,,,
Cote d'Ivoire,1992,,1.6021137190678918,,,,
Cote d'Ivoire,1995,,1.7449869885906235,,,,
Cote d'Ivoire,1998,,1.4840374386159096,,,,
Cote d'Ivoire,2002,,,1.5639716415166671,,,
Cote d'Ivoire,2008,,,1.3056975523485257,,,
Cote d'Ivoire,2015,,,1.413274289102895,,,
Cote d'Ivoire,2018,,,,2.344859717643373,,
Croatia,1998,,20.234606191964065,,,,
Croatia,1999,,,10.692601968701158,,,
Croatia,2000,,,10.517298325804498,,,
Croatia,2001,,,9.890137114819176,,,
Croatia,2004,,16.71471189096853,,,,
