Entity,Year,consumption_spell_1,consumption_spell_2,consumption_spell_3,consumption_spell_4,consumption_spell_5,consumption_spell_6
China,1999,,62.780228771418464,,,,
China,2002,,58.702349430716126,,,,
China,2005,,51.93983828386,,,,
China,2008,,49.3350863071718,,,,
China,2010,,46.91978638398039,,,,
China,2011,,43.97281238507226,,,,
China,2012,,42.42549563189155,,,,
China,2013,,,36.11090999921088,,,
China,2014,,,34.34461858870353,,,
China,2015,,,32.19531190962781,,,
China,2016,,,30.79430267823653,,,
China,2017,,,30.18120503452405,,,
China,2018,,,28.43887834737045,,,
China,2019,,,25.887196759320325,,,
China - rural,1990,,77.62940094810276,,,,
China - rural,1993,,75.64250482662291,,,,
China - rural,1996,,69.71254814526543,,,,
China - rural,1999,,70.08435184272474,,,,
China - rural,2002,,67.12028780277099,,,,
China - rural,2005,,59.08043417369824,,,,
China - rural,2008,,56.85680426807187,,,,
China - rural,2010,,53.97367550538841,,,,
China - rural,2011,,50.27676567271428,,,,
China - rural,2012,,48.33706575199514,,,,
China - rural,2013,,,39.13333160421815,,,
China - rural,2014,,,36.84906702804744,,,
China - rural,2015,,,34.569312759327914,,,
China - rural,2016,,,33.21588781944605,,,
China - rural,2017,,,32.475340985639804,,,
China - rural,2018,,,30.44135530067488,,,
China - rural,2019,,,27.445917060507774,,,
China - urban,1990,,62.091236191796575,,,,
China - urban,1993,,55.922476019971576,,,,
China - urban,1996,,50.839618737907976,,,,
China - urban,1999,,47.24921076116608,,,,
China - urban,2002,,40.9404631703198,,,,
China - urban,2005,,36.864328175596896,,,,
China - urban,2008,,32.87255805897182,,,,
China - urban,2010,,30.48951591837509,,,,
China - urban,2011,,29.1350975992252,,,,
China - urban,2012,,27.977485922292782,,,,
China - urban,2013,,,29.579445288357952,,,
China - urban,2014,,,29.11770465120332,,,
China - urban,2015,,,27.330324574932984,,,
China - urban,2016,,,25.9565323700449,,,
China - urban,2017,,,25.9783201755175,,,
China - urban,2018,,,25.176903764020352,,,
China - urban,2019,,,23.48852109320668,,,
Comoros,2004,48.04212148350438,,,,,
Comoros,2014,,51.09098290291673,,,,
Congo,2005,65.4434875248798,,,,,
Congo,2011,58.89515330948954,,,,,
