Entity,Year,larger_than_1km,between_140m_and_1km,smaller_than_140m
World,2023,858,9843,22986
World,2022,855,9452,20558
World,2021,851,9017,17849
World,2020,847,8528,15129
World,2019,844,8001,12762
World,2018,836,7496,10875
World,2017,831,7057,9430
World,2016,824,6548,7977
World,2015,818,5994,6569
World,2014,808,5487,5605
World,2013,801,5021,4613
World,2012,789,4638,3965
World,2011,771,4271,3386
World,2010,755,3894,2851
World,2009,721,3214,1945
World,2008,701,2848,1526
World,2007,676,2536,1213
World,2006,646,2197,941
World,2005,599,1865,688
World,2004,551,1569,493
World,2003,501,1301,371
World,2002,437,982,266
World,2001,377,695,171
World,2000,297,468,116
World,1990,88,46,0
World,1980,43,8,0
World,1970,24,3,0
World,1960,18,2,0
World,1950,12,1,0
World,1940,8,1,0
World,1930,5,0,0
World,1920,3,0,0
World,1910,1,0,0
World,1900,1,0,0
