"Date","NEC","Atira","Aten","Apollo","Amor","PHA-km","PHA","NEA-km","NEA-140m","NEA","NEO"
"2024-01-01","122","33","2679","19193","12056","153","2390","858","10742","33961","34083"
"2024-01-01","122","33","2679","19198","12056","153","2390","858","10742","33966","34088"
"2023-12-01","122","33","2656","19000","11998","153","2382","858","10701","33687","33809"
"2023-11-01","122","32","2624","18818","11927","153","2371","857","10666","33401","33523"
"2023-10-01","122","32","2593","18575","11801","153","2368","857","10618","33001","33123"
"2023-09-01","121","32","2558","18378","11643","153","2362","857","10571","32611","32732"
"2023-08-01","121","32","2545","18297","11567","153","2355","857","10540","32441","32562"
"2023-07-01","121","32","2533","18245","11511","153","2348","857","10507","32321","32442"
"2023-06-01","121","32","2519","18154","11458","153","2341","857","10481","32163","32284"
"2023-05-01","121","31","2500","18027","11386","153","2336","857","10458","31944","32065"
"2023-04-01","121","31","2478","17864","11323","153","2329","855","10424","31696","31817"
"2023-03-01","121","29","2460","17719","11242","153","2321","855","10389","31450","31571"
"2023-02-01","121","29","2447","17613","11211","153","2317","855","10373","31300","31421"
"2023-01-01","121","29","2429","17476","11149","153","2312","855","10339","31083","31204"
"2022-12-01","120","29","2409","17325","11102","153","2305","855","10307","30865","30985"
"2022-11-01","120","29","2384","17121","11014","153","2301","855","10272","30548","30668"
"2022-10-01","120","29","2340","16822","10879","153","2287","855","10212","30070","30190"
"2022-09-01","120","29","2318","16601","10709","152","2277","854","10152","29657","29777"
"2022-08-01","120","29","2299","16494","10594","152","2274","853","10109","29416","29536"
"2022-07-01","120","29","2283","16419","10527","152","2267","853","10077","29258","29378"
"2022-06-01","120","29","2269","16357","10466","152","2262","853","10050","29121","29241"
"2022-05-01","120","29","2255","16237","10413","152","2257","852","10022","28934","29054"
"2022-04-01","120","29","2239","16080","10360","152","2250","852","9985","28708","28828"
"2022-03-01","120","29","2215","15911","10291","152","2245","852","9962","28446","28566"
"2022-02-01","120","29","2188","15734","10218","152","2238","852","9933","28169","28289"
"2022-01-01","120","28","2159","15548","10134","151","2224","851","9884","27869","27989"
"2021-12-01","120","28","2143","15442","10104","151","2219","851","9868","27717","27837"
"2021-11-01","120","27","2109","15209","10006","151","2209","851","9816","27351","27471"
"2021-10-01","120","27","2076","14971","9877","151","2197","850","9778","26951","27071"
"2021-09-01","120","27","2052","14770","9742","151","2190","850","9730","26591","26711"
"2021-08-01","118","25","2034","14665","9619","151","2179","849","9669","26343","26461"
"2021-07-01","118","25","2024","14602","9565","151","2172","849","9636","26216","26334"
"2021-06-01","117","24","2006","14522","9492","151","2165","848","9592","26044","26161"
"2021-05-01","117","24","1980","14382","9409","151","2159","848","9559","25795","25912"
"2021-04-01","116","24","1955","14198","9312","150","2150","847","9518","25489","25605"
"2021-03-01","116","24","1932","14072","9262","150","2146","847","9499","25290","25406"
"2021-02-01","116","24","1906","13901","9191","150","2138","847","9465","25022","25138"
"2021-01-01","116","23","1876","13728","9144","150","2131","847","9429","24771","24887"
"2020-12-01","116","23","1846","13572","9063","150","2120","847","9375","24504","24620"
"2020-11-01","116","23","1824","13404","8988","150","2110","847","9327","24239","24355"
"2020-10-01","116","23","1802","13202","8873","150","2101","846","9277","23900","24016"
"2020-09-01","116","23","1782","13027","8735","149","2092","845","9238","23567","23683"
"2020-08-01","116","23","1762","12902","8625","149","2077","845","9173","23312","23428"
"2020-07-01","116","22","1752","12837","8549","149","2071","845","9130","23160","23276"
"2020-06-01","115","22","1740","12787","8492","149","2066","845","9096","23041","23156"
"2020-05-01","115","22","1719","12660","8410","149","2057","845","9058","22811","22926"
"2020-04-01","114","21","1695","12491","8319","149","2054","845","9016","22526","22640"
"2020-03-01","114","21","1688","12375","8281","149","2043","845","8987","22365","22479"
"2020-02-01","114","21","1670","12232","8250","149","2034","845","8966","22173","22287"
"2020-01-01","114","20","1631","12019","8138","149","2019","844","8890","21808","21922"
"2019-12-01","113","20","1614","11899","8074","149","2011","844","8845","21607","21720"
"2019-11-01","113","20","1598","11744","8027","149","1998","844","8808","21389","21502"
"2019-10-01","113","20","1571","11524","7907","149","1989","844","8745","21022","21135"
"2019-09-01","113","20","1558","11377","7799","149","1984","843","8704","20754","20867"
"2019-08-01","113","20","1549","11294","7725","149","1977","842","8652","20588","20701"
"2019-07-01","113","20","1531","11215","7650","149","1965","842","8598","20416","20529"
"2019-06-01","112","19","1524","11145","7593","149","1958","841","8565","20281","20393"
"2019-05-01","112","19","1516","11043","7512","149","1954","841","8524","20090","20202"
"2019-04-01","112","19","1494","10947","7433","149","1949","838","8486","19893","20005"
"2019-03-01","112","19","1474","10877","7404","149","1943","838","8470","19774","19886"
"2019-02-01","112","19","1463","10782","7366","149","1936","838","8445","19630","19742"
"2019-01-01","112","18","1437","10616","7278","149","1923","837","8370","19349","19461"
"2018-12-01","112","18","1429","10522","7238","148","1916","836","8332","19207","19319"
"2018-11-01","112","18","1409","10385","7175","148","1912","836","8285","18987","19099"
"2018-10-01","112","18","1398","10290","7122","148","1905","836","8251","18828","18940"
"2018-09-01","112","18","1379","10174","7055","148","1900","836","8220","18626","18738"
"2018-08-01","112","18","1370","10119","6980","148","1894","836","8188","18487","18599"
"2018-07-01","112","18","1364","10082","6941","148","1890","835","8163","18405","18517"
"2018-06-01","112","18","1350","10022","6884","148","1878","835","8116","18274","18386"
"2018-05-01","112","17","1339","9945","6851","148","1873","834","8083","18152","18264"
"2018-04-01","112","17","1327","9844","6813","148","1868","833","8049","18001","18113"
"2018-03-01","112","17","1318","9748","6762","148","1858","833","8013","17845","17957"
"2018-02-01","112","17","1301","9655","6723","148","1855","833","7980","17696","17808"
"2018-01-01","112","17","1290","9535","6671","148","1843","832","7938","17513","17625"
"2017-12-01","111","15","1272","9410","6621","148","1833","831","7888","17318","17429"
"2017-11-01","111","15","1251","9274","6539","148","1818","829","7832","17079","17190"
"2017-10-01","111","15","1235","9098","6452","148","1808","829","7780","16800","16911"
"2017-09-01","111","15","1219","8990","6342","148","1798","829","7731","16566","16677"
"2017-08-01","111","15","1204","8928","6275","148","1791","829","7692","16422","16533"
"2017-07-01","111","15","1199","8897","6226","148","1783","829","7658","16337","16448"
"2017-06-01","111","15","1193","8846","6185","148","1773","828","7616","16239","16350"
"2017-05-01","111","15","1182","8786","6159","148","1767","827","7585","16142","16253"
"2017-04-01","111","15","1165","8714","6122","148","1759","827","7551","16016","16127"
"2017-03-01","111","15","1146","8561","6054","148","1751","826","7501","15776","15887"
"2017-02-01","111","15","1140","8482","6015","148","1747","826","7470","15652","15763"
"2017-01-01","111","15","1126","8355","5966","148","1730","825","7416","15462","15573"
"2016-12-01","111","15","1121","8284","5929","148","1716","824","7372","15349","15460"
"2016-11-01","111","14","1107","8164","5877","148","1709","824","7321","15162","15273"
"2016-10-01","111","14","1089","8043","5802","148","1700","824","7274","14948","15059"
"2016-09-01","111","14","1076","7962","5726","148","1697","823","7233","14778","14889"
"2016-08-01","111","14","1073","7911","5647","148","1687","823","7188","14645","14756"
"2016-07-01","111","14","1067","7875","5590","148","1678","823","7150","14546","14657"
"2016-06-01","111","14","1061","7817","5550","148","1674","822","7109","14442","14553"
"2016-05-01","110","14","1045","7751","5508","148","1666","822","7072","14318","14428"
"2016-04-01","110","14","1031","7665","5448","148","1658","821","7031","14158","14268"
"2016-03-01","110","14","1006","7521","5384","148","1650","820","6976","13925","14035"
"2016-02-01","110","14","992","7419","5322","148","1636","820","6932","13747","13857"
"2016-01-01","110","14","979","7324","5256","148","1621","818","6869","13573","13683"
"2015-12-01","108","14","959","7206","5202","148","1613","818","6812","13381","13489"
"2015-11-01","108","14","950","7115","5153","148","1608","817","6774","13232","13340"
"2015-10-01","108","14","947","7043","5087","148","1593","817","6719","13091","13199"
"2015-09-01","108","14","940","6990","5021","148","1588","817","6686","12965","13073"
"2015-08-01","108","14","939","6950","4984","148","1584","817","6655","12887","12995"
"2015-07-01","108","14","935","6924","4951","148","1577","816","6620","12824","12932"
"2015-06-01","108","14","932","6883","4913","148","1571","816","6583","12742","12850"
"2015-05-01","108","14","920","6819","4852","148","1562","816","6549","12605","12713"
"2015-04-01","107","14","915","6735","4794","147","1556","815","6512","12458","12565"
"2015-03-01","107","14","904","6625","4752","147","1543","812","6457","12295","12402"
"2015-02-01","106","13","896","6542","4713","147","1530","811","6418","12164","12270"
"2015-01-01","105","13","887","6459","4650","147","1514","810","6348","12009","12114"
"2014-12-01","105","13","878","6396","4613","147","1505","808","6295","11900","12005"
"2014-11-01","105","13","872","6322","4544","147","1495","805","6248","11751","11856"
"2014-10-01","104","13","865","6230","4481","147","1490","805","6207","11589","11693"
"2014-09-01","104","13","859","6175","4428","147","1485","805","6176","11475","11579"
