Country,Our World In Data Name
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Afghanistan,Afghanistan
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Albania,Albania
Algeria,Algeria
Algeria,Algeria
Algeria,Algeria
Algeria,Algeria
Algeria,Algeria
Algeria,Algeria
Algeria,Algeria
Algeria,Algeria
Angola,Angola
Angola,Angola
Angola,Angola
Angola,Angola
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Argentina,Argentina
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Armenia,Armenia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Australia,Australia
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Austria,Austria
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
Azerbaijan,Azerbaijan
