entity,year,cost_per_genome,cost_per_gb
World,2001,95263071.92,5292392.88
World,2002,61448421.5,3413801.19
World,2003,40157554.23,2230975.24
World,2004,18519312.16,1028850.68
World,2005,13801124.19,766729.12
World,2006,10474556.36,581919.8
World,2007,7147571.39,397087.3
World,2008,342502.06,3805.58
World,2009,70333.33,781.48
World,2010,29091.73,323.24
World,2011,7743.44,86.04
World,2012,5901.29,65.57
World,2013,5096.08,56.62
World,2014,4008.11,44.53
World,2015,1245.31,13.84
World,2016,1175.74,13.06
World,2017,1015.38,11.28
World,2018,1232.28,13.69
World,2019,606.32,6.74
World,2020,511.97,5.69
World,2021,454.05,5.04
