"survey_code","gini_coef","percentile_1","percentile_2","percentile_3","percentile_4","percentile_5","percentile_6","percentile_7","percentile_8","percentile_9","lisppp_2011","lisppp_2017"
"AU14",0.325,23387.137,29961.99,36220.795,43252.733,49884.252,57401.919,65969.997,77424.233,99384.897,1.63121071845883,1.49118503260624
"AU10",0.33,18934.581,24427.994,30518.309,36182.693,41996.374,49031.113,57425.167,67724.598,85509.341,1.4778161682196,1.35095811108612
"AU08",0.333,17873.872,23561.651,29320.364,34673.446,40349.715,46163.017,53222.18,63502.754,80367.599,1.4109223042055,1.28980652125028
"AU04",0.314,13556.4,16959.532,20776.596,24813.995,28872.725,33035.991,38056.616,45088.007,56213.364,1.24253430168724,1.13587320890488
"AU03",0.312,11960,15210,18458.315,22048,25580.838,30060.138,34918,41255.438,50719.388,1.21408518710653,1.10986621092871
"AU01",0.317,11154,13820.021,16940.671,20076.176,23842,27944.86,32292,37762.331,47359.184,1.14757577058676,1.04906606701147
"AU95",0.308,8916.598,10972,13234,15663.829,18538,21684,25138.771,29640,35880,0.999563485268199,0.913759388351695
"AU89",0.302,7737,10120.819,12215.5,14299.655,16586.604,19281.767,22306.12,26158.509,32005.067,0.823102085368928,0.752445711715761
"AU85",0.292,5690,7290.271,8885,10370,12034.518,13850,15805,18495,22485.996,0.603198118609925,0.551418646278388
"AU81",0.281,4225,5555,6743.451,7750,8881.662,10175,11750,13732.014,16532.157,0.443652408461346,0.405568590060713
"AT16",0.281,14097.829,18358.974,21670.151,24623.123,27674.387,30976.972,34864.347,40825.043,49447.402,0.919947032703618,0.820406140391845
"AT13",0.279,13527.696,17350.156,20424.476,22987.596,25702.382,29229.436,32834.89,37930.981,46193.721,0.8894323573972,0.793193239970964
"AT10",0.279,12630.176,16130.417,19028.99,21694.343,24421.225,27512.247,31019.111,36069.192,44069.347,0.823768205910481,0.734634136926735
"AT07",0.284,11086.416,14362.98,16921.89,19300.181,21916.663,24647.727,28058.26,32525.591,40088.561,0.779936729373846,0.695545351143693
"AT04",0.269,11144.272,13818.611,16047.365,17973.193,20153.913,22254.243,25062.2,29244,36020.931,0.735621267995189,0.656024949058695
"AT00",0.257,9577.932,11882.009,13764.235,15704.6,17542.423,19475.846,21821.687,24824.605,30199.779,0.680448261324446,0.606821819044208
"AT97",0.266,8386.082,10787.192,12443.382,14260.019,15894.14,17817.204,20159.299,23124.355,28228.979,0.655053990357373,0.584175280611518
"AT95",0.277,6725.816,8963.468,10581.165,12302.157,13984.434,15719.135,18036.768,20860.665,25094.05,0.634796038824104,0.566109297202874
"AT94",0.28,8092.883,10524.917,12345.979,13895.105,15519.012,17470.193,20130.316,22805.753,28132.763,0.620867701938055,0.553688046086733
"AT87",0.227,6613.228,8190.071,9507.611,10682.907,11748.151,12949.639,14388.488,16187.048,19076.62,0.501525248041539,0.447258786025544
"BE17",0.259,13174,16440,19888.03,23202.144,26480,29759.296,33112.77,37374.449,44050.248,0.962352146601849,0.857157
"BE16",0.263,12807.136,15931,19071.956,21924.566,25452.186,28450,31984.64,36185.855,42545.25,0.94231872509771,0.83931344082381
"BE15",0.265,12652.658,15749.87,18630.07,21739.227,25169.687,28350.853,32020.071,36141.531,42658.414,0.924078771804407,0.823067305040527
"BE14",0.262,12550,15467.245,18326.44,21186.145,24336.239,27424.91,30864.285,35132.643,41822.78,0.918919688780863,0.81847216370601
"BE13",0.264,12317.831,15202.796,18181.916,21375,24308.811,27681.254,30891.484,35200,41667.84,0.915805922695649,0.815698764794053
"BE12",0.265,12200,15383.108,18349.167,21354.625,24392.356,27307.861,30865.211,34829.75,40986.95,0.905724341816796,0.806719206061952
"BE11",0.268,11520,14285.344,17011.575,19785.212,22802.072,25729.979,28773.5,32690.196,38502.575,0.880715,0.784443646663706
"BE10",0.262,11271.621,14220.377,16975.83,19636.355,22587.14,25427.91,28447.221,31976.326,38178.753,0.850668683633594,0.757681706672591
"BE09",0.267,11091.473,13878.81,16559.196,19351.035,22077.709,24762.54,27755.24,31680.399,37751.889,0.832443993899537,0.741449165982017
"BE08",0.262,11145.605,13988.326,16670.376,19220,21866.075,24627.992,27315.178,31375.055,37205.317,0.832886637117533,0.741843423670482
"BE07",0.271,10491.65,13114.505,15451.704,18027.03,20515.283,22995.973,25895.476,29293.711,34709.112,0.797101222476412,0.70996972882203
"BE06",0.271,9957.168,12748.38,14967.208,17458.336,19949.141,22248.275,24905.772,28294.878,33990.6,0.782829794585839,0.697258317142226
"BE05",0.268,9785.047,12384.464,14500,16815.231,19022.27,21242.195,23723.5,27140.406,32952.492,0.769054432370607,0.684988745975356
"BE04",0.269,9593.947,11808.683,13790.074,16014.38,18170.312,20482.352,22908.131,25908.365,31451.035,0.748242569345156,0.66645183707117
"BE03",0.261,8802.829,11266.25,13196.164,15133.131,17296.467,19280.534,21808.287,24566.831,29486.621,0.732872165189213,0.652761578716556
"BE00",0.279,8764.359,10721.395,12690.792,14724.124,16675.574,18712.775,20711.504,23673.831,29003.542,0.692629791249645,0.616918116798048
"BE97",0.25,7911.569,9968.863,11535.733,13076.045,14815.709,16747.735,18790.726,21308.589,25239.768,0.661675293108381,0.589347268790943
"BE95",0.266,7560.752,9469.532,11051.093,12760.907,14634.394,16147.982,18208.833,20449.88,24463.375,0.637826951029933,0.568105799726714
"BE92",0.222,7139.334,8413.785,9519.111,10785.629,11973.026,13301.874,14859.631,16479.068,19380.317,0.597542327558386,0.532224706591597
"BE88",0.232,5847.581,6941.373,7887.924,8939.647,9949.301,11021.346,12151.741,13672.401,16217.571,0.529900430006198,0.471976775327692
"BE85",0.227,5458.615,6440.274,7233.927,8180.486,9171.026,10132.995,11229.577,12620.678,14897.496,0.50921565137499,0.453553059165373
"BR16",0.462,5280,7803.742,10504,13013.333,15929.314,19120.167,23485.983,30504.393,45824.174,2.33016084031144,2.24983922156031
"BR13",0.45,4801,6928.203,9000,11232.058,13443.861,16327.045,19859.59,25515.944,38039,1.84842775114248,1.784711673459
"BR11",0.46,3775.871,5420.229,7136.274,8943.699,10740,13109.76,16163.283,20940.879,31660.4,1.65122139453888,1.59430310244873
"BR09",0.467,3221.615,4385.9,5891.465,7266.646,8835,10850.554,13532.919,17774.188,27303.529,1.47417886513748,1.42336330308352
"BR06",0.487,2245.064,3230.22,4323.914,5386.415,6597.966,8170.338,10318.452,13856.791,21863.435,1.28322989084331,1.23899641979734
"CA17",0.313,20675,27029.157,32870,38482.73,44640,51145.583,58947.957,69098.973,86153.463,1.39783245386915,1.298456
"CA16",0.308,19968.087,26043.484,31761.11,37076.425,42796.668,49055.52,56058.224,65540,82085.459,1.37586153931724,1.27804706919685
"CA15",0.319,18750,24891.605,30953.599,36578.634,42504.189,48477.954,55420.945,65555.236,82715,1.35648069192797,1.26004406926075
"CA14",0.312,18932.784,25115.516,30971.277,36129.621,41273.332,47630.713,54998.765,64202.5,79838.311,1.34138685225613,1.24602329972526
"CA13",0.321,17642.576,23625,29150.477,34730,40253.281,46386.106,54221.272,64092.229,80180,1.31628999457693,1.222710659255
"CA12",0.317,17432.202,23400.451,28786.317,33930.095,39447.03,45148.768,51999.052,61115.239,76485,1.30405416005005,1.21134470998658
"CA10",0.317,16789.346,21902.633,26954.91,31786.019,36711.689,41864.257,48260.038,56941.348,70335.518,1.2482337470625,1.15949275164526
"CA07",0.315,15833.831,20805,25238.867,29429.784,34002.5,38997.5,44855.319,52738.102,65955.061,1.19446752527289,1.1095489453709
"CA04",0.318,13136.899,17678.465,21749.939,25490,29394.429,33905,38850,45802.842,57523.743,1.12167770673712,1.04193399169382
"CA00",0.315,11578.874,15481.647,18613.773,21827.5,25090,28758.07,33223.498,39077.5,48502.5,1.0221834026281,0.949513061146249
"CA98",0.311,10824.703,14625,17805,20978.022,24235,27680,31817.5,37011.397,45942.648,0.978152260863515,0.908612236406616
"CA97",0.291,10946.72,14570.642,17493.439,20558.976,23530.392,26800.022,30659.031,35631.296,43843.449,0.968506493499266,0.899652218005236
"CA94",0.284,10673.474,14131.803,16896.317,19653.003,22377.808,25382.055,29069.586,33760.501,41316.956,0.918580716123197,0.85327582646476
"CA91",0.281,10408.5,13891.625,16397.325,19018.205,21595.748,24553.815,27889.482,32319.023,39309.47,0.887053346867826,0.823989840393582
"CA87",0.283,8492.352,11330,13597.663,15820,17990,20241.9,23105,26640,33071.384,0.733882133629976,0.681708066705
"CA81",0.284,5715.39,7840.417,9645,11113.258,12674.033,14325.433,16376.962,18980,23145.972,0.530785143016059,0.493049901475943
"CA75",0.289,2882.233,4147.803,5140,6032.911,6853.148,7782.682,8803.479,10118.698,12302.846,0.310272183550023,0.288213925244393
"CA71",0.316,1555,2220.315,2842.569,3406.367,3931.755,4478.484,5138.417,6000,7442.045,0.223817527914898,0.207905612165356
"CL17",0.443,1853075.143,2481675.895,3117691.454,3729943.016,4463763.628,5348764.59,6534362.451,8400000,12780000,449.816420596226,463.231413
"CL15",0.44,1665564,2235973.168,2789263.364,3370786.511,4001051.222,4794654,5859358.318,7552095.987,11248055.049,424.148825492771,436.798326514795
"CL13",0.446,1400071.427,1898013.354,2380141.137,2859251.886,3414382.944,4087803.196,4958210.211,6386210.144,9840554.982,388.156425817317,399.732516118586
"CL11",0.452,1123020,1502637.681,1894510.245,2300538.289,2760648,3300824.703,4059629.405,5277229.982,8105418.299,370.198737,381.239270465095
"CL09",0.459,997086.224,1344769.493,1697056.275,2063006.715,2460731.599,2979127.389,3677006.5,4800000,7344199.016,353.246228177514,363.781182551528
"CL06",0.46,783818.747,1084721.942,1385640.646,1702854.063,2077024.064,2504000,3085333.064,4084630.741,6250002.024,310.112660667545,319.361231410371
"CL03",0.48,607200,848942.531,1090045.573,1357927.833,1664715.6,2027286,2541204,3404108.211,5360000,288.016223295551,296.605806224854
"CL00",0.491,533474.176,758640,979795.897,1210002,1491904.555,1819692,2289735.398,3060000,4920000,263.919627503202,271.790571372858
"CL98",0.487,480000,670549.361,880116.356,1102387.394,1357858.407,1671126.242,2099714.82,2822854.469,4523721.802,245.944989985803,253.279871553783
"CL96",0.482,411653.051,573167.375,755333.03,944715.936,1151260.179,1412502,1795002,2416321.728,3756594.202,220.464635463582,227.03960977449
"CL94",0.485,305797.404,439013.219,576110.355,718860,893875.482,1113015.849,1393563.704,1878805.046,2952108,189.732525385806,195.390967964283
"CL92",0.476,238801.226,324000,418722.837,509116.882,622325.855,759858.924,960000,1274949.76,1945401.647,151.028052566693,155.532201559861
"CL90",0.481,139530.642,192000,246579.264,307009.188,375659.42,462035.984,579608.061,762469.603,1205148.953,107.43925783776,110.643446839687
"CN13",0.396,9002.598,13089.453,16979.109,21487.26,26097.849,31389.648,38087.382,47375.054,63125.167,3.89382722303691,3.8705181605401
"CN02",0.414,2622.179,3539.735,4475.735,5532.632,6752.111,8293,10392.305,13444.236,18319.5,2.83583887013411,2.81886309240474
"CO16",0.46,2585276.995,4018357.874,5119453.096,6380000,7925864.495,9699484.522,11964246.738,15360000,22617600,1480.41121419541,1406.62555430108
"CO13",0.481,1980000,3145404.267,4155866.5,5217694.684,6512511.036,8118000,10182337.649,13345797.882,20194969.671,1274.5623590264,1211.03647930092
"CO10",0.496,1593486.743,2494565.522,3300000,4148496.42,5100000,6439875.775,8226941.303,10974954.403,16979048.03,1170.97407592488,1112.61117372394
"CO07",0.52,1108512.517,1870500,2554817.802,3264120,4156921.938,5278909.281,6856121.79,9302993.784,14872000,1026.93754556361,975.753615218386
"CO04",0.506,786564.878,1260000,1752000,2155791.799,2640349.068,3300436.335,4200000,5542562.584,8760050,888.077747112911,843.814773433799
"CI15",0.515,141090.609,235849.831,322276.92,418679.034,534432.83,674354.732,871485.134,1207816.763,1881616.371,257.318668793254,243.688624850197
"CI08",0.483,136634.157,214662.526,292115,365657.883,458444.981,579288.742,742773.197,997661.265,1460175.503,226.935753643015,214.915077844749
"CI02",0.511,98208.106,162146.759,224223.56,291139.432,363523.596,460058.782,6e+05,812271.562,1279633.698,187.793437709664,177.84611122844
