Cohort     CCF     CCF40
1918     2.507     2.429
1919     2.595     2.517
1920     2.708     2.628
1921     2.749     2.673
1922     2.784     2.714
1923     2.852     2.786
1924     2.942     2.879
1925     2.986     2.929
1926     3.025     2.974
1927     3.092     3.046
1928     3.109     3.067
1929     3.171     3.132
1930     3.239     3.204
1931     3.241     3.210
1932     3.253     3.226
1933     3.256     3.231
1934     3.254     3.230
1935     3.214     3.192
1936     3.131     3.110
1937     3.059     3.039
1938     2.983     2.964
1939     2.892     2.872
1940     2.795     2.775
1941     2.680     2.660
1942     2.561     2.542
1943     2.464     2.444
1944     2.365     2.344
1945     2.292     2.270
1946     2.215     2.192
1947     2.150     2.126
1948     2.104     2.078
1949     2.057     2.029
1950     2.022     1.992
1951     1.998     1.966
1952     1.982     1.949
1953     1.972     1.938
1954     1.974     1.939
1955     1.981     1.944
1956     1.985     1.947
1957     1.987     1.948
1958     1.991     1.950
1959     2.012     1.970
1960     2.024     1.980
1961     2.024     1.977
1962     2.034     1.985
1963     2.051     2.002
1964     2.066     2.016
1965     2.075     2.023
1966     2.089     2.036
1967     2.109     2.054
1968     2.111     2.055
1969     2.114     2.059
1970     2.136     2.081
1971     2.160     2.103
1972         .     2.124
1973         .     2.144
1974         .     2.155
1975         .     2.160
1976         .     2.167
1977         .     2.171
1978         .     2.147
1979         .     2.120
1980         .     2.101
1981         .     2.091
