country,year,ai_adoption_by_organizations,number_ai_bills_cumulative,relative_ai_hiring_rate,relative_ai_hiring_index,ai_job_postings,number_ai_publications_by_field,number_ai_publications_by_country,casp_median_accuracy_gdt_ts,...4,...5,mean_normalized_human_score,conference_attendance,total_corporate_investment_by_activity,new_cs_undergraduate_graduates_at_doctoral_institutions,number_ai_phds_employed_academia,number_ai_phds_employed_government,number_ai_phds_employed_industry,total_number_ai_phds_employed,share_ai_phds_employed_academia,share_ai_phds_employed_government,share_ai_phds_employed_industry,imagenet_training_cost_usd,imagenet_extra_training_data,top1_accuracy,top5_accuracy,number_mentions_AI_legislative_proceedings,number_patent_filings,female_new_cs_phds,female_new_ai_phds,new_international_ai_phds,share_new_cs_phds_by_specialty,number_new_cs_phds_by_specialty,total_private_investment_by_country,total_private_investment_by_focus_area
Developed Asia-Pacific,2020,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2020,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2020,0.51,,,,,,,,,,,,,31835,61,5,153,254,0.24015748,0.019685039,0.602362205,,,,,,,0.199,0.202,0.605,,,,
India,2020,0.57,1,,,,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
Latin America,2020,0.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Developing markets (incl. China, MENA)",2020,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Developed Asia-Pacific,2021,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,2021,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,2021,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,2021,0.65,1,0.992870944,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,1349038569,
Latin America,2021,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Developing markets (incl. China, MENA)",2021,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,2016,,0,,,0.0016,,,,,,,,,,,,,,,,,,,,,9,,,,,,,,
Belgium,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Brazil,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Canada,2016,,0,,,0.0026,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
China,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,3476062248,
Denmark,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,
Finland,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,
France,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Germany,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
India,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Ireland,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Italy,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Japan,2016,,1,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,
Netherlands,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
New Zealand,2016,,0,,,9.00E-04,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Norway,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
Russia,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Singapore,2016,,0,,,0.0043,,,,,,,,,,,,,,,,,,,,,39,,,,,,,,
South Africa,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
South Korea,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,
Spain,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Sweden,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
Switzerland,2016,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,
United Kingdom,2016,,0,,,0.0031,,,,,,,,,,,,,,,,,,,,,42,,,,,,,,
United States,2016,,0,,,0.005,,,,,,,,,,,,,,,,,,,,,6,,,,,,,7903633623,
