Entity,Year,Mean income or expenditure per day,Median income or expenditure per day,$1 - total number of people below poverty line,$1.90 - total number of people below poverty line,$3.20 - total number of people below poverty line,$5.50 - total number of people below poverty line,$10 - total number of people below poverty line,$20 - total number of people below poverty line,$30 - total number of people below poverty line,$40 - total number of people below poverty line,$1 a day - share of population below poverty line,$1.90 a day - share of population below poverty line,$3.20 a day - share of population below poverty line,$5.50 a day - share of population below poverty line,$10 a day - share of population below poverty line,$20 a day - share of population below poverty line,$30 a day - share of population below poverty line,$40 a day - share of population below poverty line,$1 a day - poverty gap index,$1.90 a day - poverty gap index,$3.20 a day - poverty gap index,$5.50 a day - poverty gap index,$10 a day - poverty gap index,$20 a day - poverty gap index,$30 a day - poverty gap index,$40 a day - poverty gap index,P10 - the level of income or expenditure per day below which 10% of the population falls,P90 - the level of income or expenditure per day above which 10% of the population falls,Gini coefficient
Albania,1996,6.570820904558197,5.774804976851393,1819.0,29167.0,354001.0,1413526.0,2730059.0,3156377.0,3165260.0,3166501.0,0.05741581265349356,0.9206690071136701,11.17414933675462,44.618416686389914,86.17520773919996,99.63207914995567,99.91246507775932,99.9516562083065,0.011726158317417993,0.14005071250154,2.09483180202124,12.842785473104351,38.42913437671639,67.27306258705686,78.12875264618482,83.58160507227174,3.06,10.94,0.2701034197508885
Albania,2002,6.7158276404317006,5.539607490558332,1415.0,47927.0,431172.0,1515426.0,2603681.0,2992432.0,3039977.0,3046222.0,0.04637062332571041,1.57084335862702,14.13211815688005,49.66963515999645,85.33831702536492,98.08006084701104,99.63838560500015,99.84308111495416,0.024816417800509125,0.26176108533902,2.85591770662758,15.095425572357598,40.27142588851927,67.19276285674735,77.79233467606329,83.28972625730712,2.91,11.58,0.3173897983352209
Albania,2005,7.591930008528758,6.460357075105566,832.0,25915.0,262472.0,1160785.0,2408802.0,2938507.0,2994456.0,3004011.0,0.02762022403073165,0.86052711252553,8.71568477109178,38.5452539039565,79.98712716476295,97.57659760661808,99.4344584351572,99.75174440435484,0.00023008719294528968,0.13132548830934002,1.76158141801253,10.613009285101679,33.822247977901185,63.027489989655486,74.945699899723,81.11012514156315,3.3,12.78,0.3059565572811916
Albania,2008,8.314345397742978,6.957659224183439,0.0,9244.0,154750.0,916920.0,2235568.0,2861836.0,2918308.0,2937831.0,0.0,0.31364958127441,5.25054159180846,31.11034495362427,75.8510209751488,97.09978489047157,99.0158642448724,99.67824797548074,0.0,0.05124111550864497,0.75103738583368,7.39490576473968,29.439466854541653,60.02479805561302,72.84182564377721,79.48242904577948,3.81,13.62,0.2998467042234796
Albania,2012,7.882866695887549,6.8252891049441375,3229.0,24646.0,179315.0,1001477.0,2235334.0,2835798.0,2889330.0,2897094.0,0.11132099775901,0.84975444767885,6.18241386926326,34.52890592661766,77.06983967714693,97.77262570432718,99.61829859921708,99.8859835646176,0.011958644859017249,0.16910086297433,1.2726091290981199,8.64555455549084,31.062754536845077,61.33315771101493,73.87134597251944,80.3472662850392,3.65,13.26,0.2896048455859209
Albania,2014,8.399774620228271,6.870836745603878,0.0,45674.0,335587.0,1069946.0,2068185.0,2749911.0,2863867.0,2883897.0,0.0,1.58089716965821,11.61562086400974,37.03384185206247,71.58568545345165,95.18214124180972,99.12648854074303,99.81975638870472,0.0,0.21191932649665,2.54683696531046,11.73479625717974,31.71987379235526,59.36763174741924,72.1903007829972,79.03524332955632,3.05,15.76,0.3459889646678993
Albania,2015,9.985141415346556,8.18945365730761,0.0,7061.0,135127.0,704654.0,1791088.0,2658644.0,2833380.0,2870259.0,0.0,0.24509790798944,4.69076710832596,24.461184845440588,62.1753802690021,92.29149173544077,98.35724035400422,99.6374381062715,0.0,0.016856002485052885,0.8601724392399699,6.18960542530095,23.74247267512663,52.55130078887005,67.05311637110347,75.07084432096704,3.97,18.26,0.3275373177638622
Albania,2016,10.387450232881111,8.516612198302338,0.0,11802.0,157110.0,687489.0,1719880.0,2625490.0,2815216.0,2863305.0,0.0,0.41036422288427005,5.46261218520396,23.903491131383788,59.79901278008186,91.28642726132716,97.88307666824616,99.55510507286954,0.0,0.030296815610325226,0.9215544290657299,6.30523144261721,23.03429890471034,51.10100848795379,65.85043252373303,74.0944306991045,3.89,19.18,0.3373629871613542
Albania,2017,10.27987957587708,8.43817264466874,0.0,12312.0,123120.0,684705.0,1737879.0,2636038.0,2823891.0,2861168.0,0.0,0.42847545582039,4.28474272120853,23.82862474843489,60.48042945830944,91.73751546570544,98.27504310178699,99.5723243648286,0.0,0.06258678052789315,0.90813700979809,6.00894370616453,22.94346906047762,51.30771734694653,66.10715612972233,74.34969315630401,4.06,18.82,0.330556627406811
Albania,2018,11.029704635032212,9.6410791639456,0.0,3462.0,95294.0,483320.0,1511924.0,2609027.0,2818996.0,2858472.0,0.0,0.12077232969948,3.3245385958051896,16.8617069302114,52.746897112406984,91.02180628672384,98.34705795318143,99.72424108928324,0.0,0.009204712742114296,0.60721077117409,4.21673287379659,17.93267135687202,47.41186171421321,63.543813574267894,72.46046904141359,4.53,19.3,0.3014828173658325
