country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_1993_total,weight_1993,weightedvalue_1993,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Albania,gini_pip_disposable_perCapita,gini,1996,0.27010342,2018,0.30148283,consumption,consumption,national,national,EE & CA,3300715.0,4762565969.0,0.0006930539170448602,0.00018719623655622346,2877019.0,6442165982.0,0.0004465918773342155,0.00013463978145785623
Argentina,gini_pip_disposable_perCapita,gini,1993,0.44856286,2018,0.413425,income,income,urban,urban,LAC,34027240.0,4762565969.0,0.007144728329536342,0.003204859776912842,44413592.0,6442165982.0,0.006894201752034274,0.0028502353491437937
Armenia,gini_pip_disposable_perCapita,gini,1996,0.44418624,2018,0.344335,income,consumption,national,national,EE & CA,3457344.0,4762565969.0,0.0007259414404974513,0.0003224531992302746,2836563.0,6442165982.0,0.00044031200188346837,0.0001516148286712625
Australia,gini_pip_disposable_perCapita,gini,1995,0.3258199,2018,0.34333763,income,income,national,national,W. Offshoots,17631514.0,4762565969.0,0.003702103889954537,0.001206219154653363,24979228.0,6442165982.0,0.00387745799623826,0.0013312772204937004
Austria,gini_pip_disposable_perCapita,gini,1994,0.3082802,2018,0.3084879,income,income,national,national,W. Europe,7905280.0,4762565969.0,0.0016598783201022785,0.000511707620108647,8840518.0,6442165982.0,0.0013722896964625275,0.00042333475588209453
Bangladesh,gini_pip_disposable_perCapita,gini,1995,0.32942984,2016,0.32385272,consumption,consumption,national,national,S & SE Asia,113418760.0,4762565969.0,0.023814632855115,0.00784525057397749,163683952.0,6442165982.0,0.025408217120972652,0.008228520171021545
Belarus,gini_pip_disposable_perCapita,gini,1993,0.2160372,2018,0.25240526,income,consumption,national,national,EE & CA,10480485.0,4762565969.0,0.0022005962895251183,0.00047541065830132887,9695573.0,6442165982.0,0.0015050175712780945,0.0003798743454125266
Belgium,gini_pip_disposable_perCapita,gini,1995,0.28412268,2018,0.27214414,income,income,national,national,W. Europe,10043738.0,4762565969.0,0.002108892152964527,0.0005991840811729072,11448598.0,6442165982.0,0.0017771349002786373,0.0004836368469908898
Bolivia,gini_pip_disposable_perCapita,gini,1990,0.42035723,2018,0.42579758,income,income,urban,national,LAC,7544494.0,4762565969.0,0.0015841237788847098,0.0006658978794322741,11606906.0,6442165982.0,0.0018017086229120385,0.0007671631745147397
Botswana,gini_pip_disposable_perCapita,gini,1993,0.6079065,2015,0.5332503,consumption,consumption,national,national,SS Africa,1462267.0,4762565969.0,0.00030703343733567924,0.0001866476285269504,2451411.0,6442165982.0,0.0003805258987193851,0.00020291553909942725
Brazil,gini_pip_disposable_perCapita,gini,1993,0.60118824,2018,0.53870946,income,income,national,national,LAC,158440864.0,4762565969.0,0.03326796206736176,0.020000307644686615,210166592.0,6442165982.0,0.032623591597488275,0.01757463746784454
Bulgaria,gini_pip_disposable_perCapita,gini,1992,0.3071431,2018,0.412841,income,income,national,national,EE & CA,8611541.0,4762565969.0,0.001808172538932447,0.0005553677047582944,7117424.0,6442165982.0,0.0011048184756317569,0.00045611435569429035
Burkina Faso,gini_pip_disposable_perCapita,gini,1994,0.48072493,2018,0.43016732,consumption,consumption,national,national,SS Africa,9840080.0,4762565969.0,0.0020661299106511126,0.000993240158245625,20392730.0,6442165982.0,0.003165508317696121,0.001361698221200471
Canada,gini_pip_disposable_perCapita,gini,1993,0.31682763,2018,0.3250927,income,income,national,national,W. Offshoots,28668168.0,4762565969.0,0.006019479454269791,0.0019071373794507377,37035260.0,6442165982.0,0.0057488832332913955,0.0018689199901400734
Central African Republic,gini_pip_disposable_perCapita,gini,1992,0.6133075,2021,0.43046424,consumption,consumption,national,national,SS Africa,3089148.0,4762565969.0,0.0006486310153198006,0.0003978102508894502,5094795.0,6442165982.0,0.0007908512469618638,0.00034043317933815605
Chile,gini_pip_disposable_perCapita,gini,1994,0.56433594,2020,0.4492094,income,income,national,national,LAC,13998387.0,4762565969.0,0.0029392531444429005,0.0016587261928344584,18701452.0,6442165982.0,0.002902975808486395,0.0013040439981263263
China,gini_pip_disposable_perCapita,gini,1993,0.338778,2018,0.38497642,consumption,consumption,national,national,East Asia,1195855616.0,4762565969.0,0.25109481396875954,0.08506539616210211,1417069440.0,6442165982.0,0.21996785614642986,0.08468243707620418
Colombia,gini_pip_disposable_perCapita,gini,1996,0.5693691,2018,0.50418705,income,income,national,national,LAC,34614732.0,4762565969.0,0.007268084521098631,0.004138222580296346,49276968.0,6442165982.0,0.007649130453590352,0.0038565924991968287
Costa Rica,gini_pip_disposable_perCapita,gini,1993,0.46003163,2018,0.47972405,income,income,national,national,LAC,3405376.0,4762565969.0,0.0007150296756340847,0.00032893626618550105,5040738.0,6442165982.0,0.0007824601250704006,0.00037536493982439425
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1995,0.40563822,2018,0.37168875,consumption,consumption,national,national,SS Africa,13316449.0,4762565969.0,0.002796066046471177,0.0011341912482940356,25493990.0,6442165982.0,0.003957363109120836,0.0014709073606475826
Czechia,gini_pip_disposable_perCapita,gini,1993,0.26604792,2018,0.24990341,income,income,national,national,EE & CA,10318915.0,4762565969.0,0.0021666713001282944,0.0005764384030296921,10534598.0,6442165982.0,0.0016352571525531363,0.0004086563397506784
Denmark,gini_pip_disposable_perCapita,gini,1995,0.22955896,2018,0.28166336,income,income,national,national,W. Europe,5193776.0,4762565969.0,0.0010905415345019444,0.00025034358006446314,5766689.0,6442165982.0,0.0008951475351787979,0.0002521302608532226
Dominican Republic,gini_pip_disposable_perCapita,gini,1996,0.4743444,2018,0.4368666,income,income,national,national,LAC,7576083.0,4762565969.0,0.0015907565479015835,0.0007545664643195034,10765532.0,6442165982.0,0.001671104412720796,0.0007300497218173785
Ecuador,gini_pip_disposable_perCapita,gini,1994,0.5336896,2018,0.45440298,income,income,national,national,LAC,11132833.0,4762565969.0,0.0023375703501987543,0.0012475370275043672,17015672.0,6442165982.0,0.002641296738945153,0.0012002131176630754
Egypt,gini_pip_disposable_perCapita,gini,1995,0.3012696,2019,0.31893557,consumption,consumption,national,national,MENA,61382204.0,4762565969.0,0.012888473230511172,0.0038829050568971427,103740768.0,6442165982.0,0.0161033988087021,0.005135946727928068
El Salvador,gini_pip_disposable_perCapita,gini,1995,0.49879736,2018,0.38610572,income,income,national,national,LAC,5630994.0,4762565969.0,0.0011823445673304436,0.0005897503453451199,6276340.0,6442165982.0,0.0009742592813560947,0.0003761670776202441
Estonia,gini_pip_disposable_perCapita,gini,1993,0.3950345,2018,0.30321452,income,income,national,national,EE & CA,1504446.0,4762565969.0,0.00031588979759914794,0.00012478736572756548,1322146.0,6442165982.0,0.0002052331473132168,6.222967029499425e-05
Eswatini,gini_pip_disposable_perCapita,gini,1994,0.60454726,2016,0.54579794,consumption,consumption,national,national,SS Africa,953454.0,4762565969.0,0.00020019754187262156,0.00012102887583661609,1160430.0,6442165982.0,0.00018013041005809962,9.831480747400024e-05
Ethiopia,gini_pip_disposable_perCapita,gini,1995,0.44564512,2015,0.34993124,consumption,consumption,national,national,SS Africa,53791672.0,4762565969.0,0.011294682813872851,0.005033420319968434,111129440.0,6442165982.0,0.01725032237767636,0.006036426701430891
Finland,gini_pip_disposable_perCapita,gini,1995,0.23459136,2018,0.27329773,income,income,national,national,W. Europe,5066609.0,4762565969.0,0.0010638401720793045,0.0002495677179615501,5515465.0,6442165982.0,0.0008561507131934683,0.00023398404397766956
France,gini_pip_disposable_perCapita,gini,1996,0.32016575,2018,0.32380688,income,income,national,national,W. Europe,57053728.0,4762565969.0,0.011979619468027992,0.0038354638920019674,64277812.0,6442165982.0,0.009977670891994722,0.0032308385002071203
Georgia,gini_pip_disposable_perCapita,gini,1996,0.37132707,2018,0.36411363,consumption,consumption,national,national,EE & CA,5127512.0,4762565969.0,0.0010766280264410968,0.0003997811331027542,3772323.0,6442165982.0,0.000585567495550443,0.0002132131057498448
Germany,gini_pip_disposable_perCapita,gini,1993,0.2854154,2018,0.3179069,income,income,national,national,W. Europe,80573496.0,4762565969.0,0.016918085024850184,0.004828682190624148,82896696.0,6442165982.0,0.012867829893178931,0.0040907717352828355
Ghana,gini_pip_disposable_perCapita,gini,1991,0.3843723,2016,0.4352088,consumption,consumption,national,national,SS Africa,16643639.0,4762565969.0,0.0034946789416325248,0.0013432577614110016,30870648.0,6442165982.0,0.004791967187162735,0.0020855062769681173
