country,series_code,indicator_name,year_1993,value_1993,year_2018,value_2018,pipwelfare_1993,pipwelfare_2018,pipreportinglevel_1993,pipreportinglevel_2018,region,population_1993,population_1993_total,weight_1993,weightedvalue_1993,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Albania,gini_pip_disposable_perCapita,gini,1996,0.27010342,2018,0.30148283,consumption,consumption,national,national,EE & CA,3300715.0,4762417359.0,0.0006930755436128083,0.00018720207464817867,2877019.0,6441988088.0,0.00044660420986484753,0.00013464350107996815
Argentina,gini_pip_disposable_perCapita,gini,1993,0.44856286,2018,0.413425,income,income,urban,urban,LAC,34027240.0,4762417359.0,0.007144951278933049,0.003204959780238866,44413592.0,6441988088.0,0.006894392133809236,0.0028503140679200832
Armenia,gini_pip_disposable_perCapita,gini,1996,0.44418624,2018,0.344335,income,consumption,national,national,EE & CA,3457344.0,4762417359.0,0.0007259640933120494,0.0003224632609832884,2836563.0,6441988088.0,0.00044032416099680315,0.0001516190199768342
Australia,gini_pip_disposable_perCapita,gini,1995,0.3258199,2018,0.34333763,income,income,national,national,W. Offshoots,17631514.0,4762417359.0,0.003702219413147406,0.0012062567589697466,24979228.0,6441988088.0,0.003877565071337338,0.0013313140017637425
Austria,gini_pip_disposable_perCapita,gini,1994,0.3082802,2018,0.3084879,income,income,national,national,W. Europe,7905280.0,4762417359.0,0.0016599301161752717,0.000511723588200536,8840518.0,6441988088.0,0.0013723275919227374,0.0004233464569443022
Bangladesh,gini_pip_disposable_perCapita,gini,1995,0.32942984,2016,0.32385272,consumption,consumption,national,national,S & SE Asia,113418760.0,4762417359.0,0.023815375984564145,0.007845495500134808,163683952.0,6441988088.0,0.02540891876296807,0.008228747453646244
Belarus,gini_pip_disposable_perCapita,gini,1993,0.2160372,2018,0.25240526,income,consumption,national,national,EE & CA,10480485.0,4762417359.0,0.002200664958562276,0.0004754254957859102,9695573.0,6441988088.0,0.0015050591319876404,0.00037988484152471475
Belgium,gini_pip_disposable_perCapita,gini,1995,0.28412268,2018,0.27214414,income,income,national,national,W. Europe,10043738.0,4762417359.0,0.002108957960397859,0.0005992027877155736,11448598.0,6441988088.0,0.0017771839754448177,0.00048365020461921097
Bolivia,gini_pip_disposable_perCapita,gini,1990,0.42035723,2018,0.42579758,income,income,urban,national,LAC,7544494.0,4762417359.0,0.0015841732110568683,0.0006659186628400705,11606906.0,6441988088.0,0.0018017583766758434,0.0007671843565333025
Botswana,gini_pip_disposable_perCapita,gini,1993,0.6079065,2015,0.5332503,consumption,consumption,national,national,SS Africa,1462267.0,4762417359.0,0.00030704301823455537,0.00018665344656440473,2451411.0,6441988088.0,0.00038053640685341175,0.00020292115311550384
Brazil,gini_pip_disposable_perCapita,gini,1993,0.60118824,2018,0.53870946,income,income,national,national,LAC,158440864.0,4762417359.0,0.03326900018550012,0.020000931668080493,210166592.0,6441988088.0,0.032624492490368605,0.017575122732260525
Bulgaria,gini_pip_disposable_perCapita,gini,1992,0.3071431,2018,0.412841,income,income,national,national,EE & CA,8611541.0,4762417359.0,0.0018082289624881238,0.000555385049048386,7117424.0,6441988088.0,0.0011048489849365272,0.0004561269597901808
Burkina Faso,gini_pip_disposable_perCapita,gini,1994,0.48072493,2018,0.43016732,consumption,consumption,national,national,SS Africa,9840080.0,4762417359.0,0.0020661943836997507,0.0009932711504704558,20392730.0,6441988088.0,0.003165595732470718,0.0013617358324403658
Canada,gini_pip_disposable_perCapita,gini,1993,0.31682763,2018,0.3250927,income,income,national,national,W. Offshoots,28668168.0,4762417359.0,0.0060196672905668365,0.0019071969210588122,37035260.0,6441988088.0,0.005749041987362333,0.0018689715820849869
Central African Republic,gini_pip_disposable_perCapita,gini,1992,0.6133075,2021,0.43046424,consumption,consumption,national,national,SS Africa,3089148.0,4762417359.0,0.0006486512556826081,0.0003978226799945612,5094795.0,6441988088.0,0.0007908730861347722,0.00034044258195945924
Chile,gini_pip_disposable_perCapita,gini,1994,0.56433594,2020,0.4492094,income,income,national,national,LAC,13998387.0,4762417359.0,0.00293934486307587,0.0016587779462880923,18701452.0,6441988088.0,0.002903055973486923,0.0013040800320164765
China,gini_pip_disposable_perCapita,gini,1993,0.338778,2018,0.38497642,consumption,consumption,national,national,East Asia,1195855616.0,4762417359.0,0.2511026493173842,0.08506805333044479,1417069440.0,6441988088.0,0.21997393050752254,0.08468477626011481
Colombia,gini_pip_disposable_perCapita,gini,1996,0.5693691,2018,0.50418705,income,income,national,national,LAC,34614732.0,4762417359.0,0.00726831131979334,0.004138351874670545,49276968.0,6441988088.0,0.0076493416825455015,0.0038566990173646526
Costa Rica,gini_pip_disposable_perCapita,gini,1993,0.46003163,2018,0.47972405,income,income,national,national,LAC,3405376.0,4762417359.0,0.0007150519879498869,0.00032894653155132687,5040738.0,6441988088.0,0.0007824817325244331,0.00037537530577763775
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1995,0.40563822,2018,0.37168875,consumption,consumption,national,national,SS Africa,13316449.0,4762417359.0,0.0027961532969878458,0.001134226646237281,25493990.0,6441988088.0,0.0039574723907809875,0.0014709479660888968
Czechia,gini_pip_disposable_perCapita,gini,1993,0.26604792,2018,0.24990341,income,income,national,national,EE & CA,10318915.0,4762417359.0,0.0021667389105449464,0.0005764563803335491,10534598.0,6441988088.0,0.0016353023097983722,0.00040866762359948963
Denmark,gini_pip_disposable_perCapita,gini,1995,0.22955896,2018,0.28166336,income,income,national,national,W. Europe,5193776.0,4762417359.0,0.0010905755645680276,0.0002503513924036493,5766689.0,6441988088.0,0.0008951722544694032,0.0002521372249726271
Dominican Republic,gini_pip_disposable_perCapita,gini,1996,0.4743444,2018,0.4368666,income,income,national,national,LAC,7576083.0,4762417359.0,0.001590806187047581,0.0007545900063113725,10765532.0,6441988088.0,0.0016711505598797686,0.0007300698631827709
Ecuador,gini_pip_disposable_perCapita,gini,1994,0.5336896,2018,0.45440298,income,income,national,national,LAC,11132833.0,4762417359.0,0.002337643293475993,0.0012475759142378854,17015672.0,6441988088.0,0.0026413696777391497,0.0012002462528463093
Egypt,gini_pip_disposable_perCapita,gini,1995,0.3012696,2019,0.31893557,consumption,consumption,national,national,MENA,61382204.0,4762417359.0,0.012888875411979616,0.0038830263398169345,103740768.0,6441988088.0,0.016103843500307944,0.005136088505961509
El Salvador,gini_pip_disposable_perCapita,gini,1995,0.49879736,2018,0.38610572,income,income,national,national,LAC,5630994.0,4762417359.0,0.001182381462086385,0.0005897687518016289,6276340.0,6441988088.0,0.0009742861852991368,0.00037617746906097664
Estonia,gini_pip_disposable_perCapita,gini,1993,0.3950345,2018,0.30321452,income,income,national,national,EE & CA,1504446.0,4762417359.0,0.0003158996548584519,0.00012479126220718112,1322146.0,6441988088.0,0.0002052388147787584,6.223138870851013e-05
Eswatini,gini_pip_disposable_perCapita,gini,1994,0.60454726,2016,0.54579794,consumption,consumption,national,national,SS Africa,953454.0,4762417359.0,0.00020020378898505522,0.00012103265207253331,1160430.0,6441988088.0,0.00018013538431740111,9.831752168154584e-05
Ethiopia,gini_pip_disposable_perCapita,gini,1995,0.44564512,2015,0.34993124,consumption,consumption,national,national,SS Africa,53791672.0,4762417359.0,0.011295035261524209,0.005033577344526187,111129440.0,6441988088.0,0.017250798741309314,0.006036593394536807
Finland,gini_pip_disposable_perCapita,gini,1995,0.23459136,2018,0.27329773,income,income,national,national,W. Europe,5066609.0,4762417359.0,0.0010638733689362903,0.00024957550048654607,5515465.0,6441988088.0,0.0008561743555959211,0.00023399050786857806
