MODEL,SCENARIO,REGION,VARIABLE,UNIT,2005,2010,2020,2030,2040,2050,2060,2070,2080,2090,2100
IMAGE,SSP1-19,R5.2ASIA,Agricultural Demand|Crops,million t DM/yr,1484.186198,1712.978374,2026.5657,2233.386037,2360.355716,2491.925592,2460.756529,2429.777356,2399.49425,2369.523362,2338.950989
IMAGE,SSP1-19,R5.2ASIA,Agricultural Demand|Livestock,million t DM/yr,85.58589672,101.0892219,119.4566557,132.5685236,139.1177992,145.6667519,139.8487293,134.0281719,128.2048155,122.3785678,116.5492279
IMAGE,SSP1-19,R5.2ASIA,Agricultural Production|Crops|Energy,million t DM/yr,4.485580096,4.246729979,23.14346465,126.1983364,275.9642426,371.4477842,498.7575319,832.436728,1249.834018,1552.429368,1935.33223
IMAGE,SSP1-19,R5.2ASIA,Agricultural Production|Crops|Non-Energy,million t DM/yr,1477.385647,1708.653813,1993.616076,2184.019727,2282.041818,2389.724035,2359.778588,2329.834573,2299.888539,2269.94034,2239.990152
IMAGE,SSP1-19,R5.2ASIA,Agricultural Production|Livestock,million t DM/yr,83.58575,98.27296973,116.0426667,128.0692067,133.7348521,139.4005012,133.6517664,127.9030103,122.1542703,116.4055239,110.6567853
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity,GW,689.6913906,1141.84958,1938.286508,2064.419867,3954.614813,5719.885727,6312.928984,5949.270375,6335.231813,6517.583953,6183.901813
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Biomass,GW,3.516564594,4.802178738,42.65456347,65.37155016,110.8782453,138.8239078,170.7918835,199.2090158,230.4055038,238.4370828,286.4904496
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Coal,GW,277.9166071,457.6058431,552.8881001,493.274681,80.39619574,130.598454,198.209908,273.8058605,267.9041973,225.8140173,150.9581789
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Gas,GW,135.509309,203.2771911,466.1615152,478.153177,409.0507108,736.8246447,1005.318064,1186.202992,1073.288315,790.9525089,543.9676876
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Hydro,GW,191.7221162,308.8511401,504.7297622,567.7825439,711.1569385,724.8447012,738.5325547,752.220582,765.9084688,779.5963145,793.2842012
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Nuclear,GW,33.558,47.743,64.79316451,71.50717407,116.7541714,132.0017227,143.3348525,160.2543728,223.3186406,293.704,299.3822561
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Oil,GW,38.640535,55.86940922,54.65120207,45.41558802,3.200299791,0.735380922,1.526020209,2.247561932,2.93250108,4.000956863,3.525571761
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Other,GW,2.881652031,3.228800049,4.899131523,9.21161319,18.89325299,24.40339178,29.91353015,35.42368018,40.93381946,46.44395886,51.95409998
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Solar,GW,0.098699997,1.706799961,64.38962556,123.0147532,1892.030954,2853.036238,3048.487335,2548.330584,2830.733268,3221.956582,3255.625291
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Solar|CSP,GW,0,0,1.128468211,7.19626781,421.1108289,1045.580396,1676.811687,2069.267824,2301.667664,2543.174666,2470.751795
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Solar|PV,GW,0.098699997,1.706799961,63.26115735,115.8184854,1470.920125,1807.455842,1371.675648,479.0627598,529.0656035,678.781916,784.8734961
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Wind,GW,5.847900024,58.7652008,183.1197676,210.6890041,612.2546978,978.617028,976.8150592,791.5759428,899.8068305,916.6785398,798.7131057
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Wind|Offshore,GW,0,0.1505,3.436223335,24.75918933,246.4688005,403.4969951,384.4837041,322.7313745,429.2445801,477.3983008,384.3988315
IMAGE,SSP1-19,R5.2ASIA,Capacity|Electricity|Wind|Onshore,GW,5.847900024,58.6147008,179.6835443,185.9298148,365.7858974,575.1200329,592.3313551,468.8445683,470.5622504,439.280239,414.3142741
IMAGE,SSP1-19,R5.2ASIA,Consumption,billion US$2005/yr,6557.295918,9340.510905,19690.98836,39201.67446,64266.65735,89068.8647,106371.7501,120039.5122,129559.5713,135803.7534,138774.5204
IMAGE,SSP1-19,R5.2ASIA,Emissions|BC,Mt BC/yr,4.589584962,5.124704704,3.443910137,1.836315475,1.206251252,0.86419563,0.718148811,0.633257516,0.584344621,0.521626824,0.491953761
IMAGE,SSP1-19,R5.2ASIA,Emissions|CH4,Mt CH4/yr,127.6721811,149.7433918,131.103601,90.85639119,67.24793845,54.17436278,49.79081839,45.57133818,40.91295308,36.63938099,32.97953048
IMAGE,SSP1-19,R5.2ASIA,Emissions|CH4|Land Use,Mt CH4/yr,64.63147057,70.42651859,65.28941524,49.64463259,37.98075858,28.06539432,25.92530466,24.18069272,22.45717581,20.48630489,18.80017035
IMAGE,SSP1-19,R5.2ASIA,Emissions|CO,Mt CO/yr,381.5075446,440.9940502,311.405175,203.7951536,188.6036698,161.4857156,144.1262572,132.1422453,121.0803684,105.5728823,95.7856485
IMAGE,SSP1-19,R5.2ASIA,Emissions|CO2,Mt CO2/yr,10625.54192,13999.27028,14128.02468,9159.993084,2756.19427,599.6134286,-440.4001212,-1232.164333,-2452.870965,-3145.076181,-4327.611822
IMAGE,SSP1-19,R5.2ASIA,Emissions|CO2|Carbon Capture and Storage,Mt CO2/yr,0,0,68.42523919,954.4809344,3288.917164,4191.846322,4835.348654,5992.002226,5995.099431,5448.203634,5645.905727
IMAGE,SSP1-19,R5.2ASIA,Emissions|CO2|Carbon Capture and Storage|Biomass,Mt CO2/yr,0,0,18.78938038,353.0713129,1193.722925,1406.317506,1648.997952,2267.132918,2956.388893,3412.802053,4492.524883
IMAGE,SSP1-19,R5.2ASIA,Emissions|CO2|Fossil Fuels and Industry,Mt CO2/yr,9536.693183,12696.52595,13361.99712,8807.856344,2621.070823,997.0189143,385.611743,-553.6757376,-1580.393279,-2256.818483,-3497.76693
IMAGE,SSP1-19,R5.2ASIA,Emissions|CO2|Land Use,Mt CO2/yr,1256.432887,1505.998606,959.4119035,441.8697775,219.7556054,-313.724175,-741.133562,-593.606613,-792.9177878,-817.6128646,-766.3683036
IMAGE,SSP1-19,R5.2ASIA,Emissions|F-Gases,Mt CO2-equiv/yr,137.9703145,210.2954041,719.4512596,509.0175219,96.81279969,109.7436192,93.03568435,94.74139738,89.86048126,85.36987293,80.81945455
IMAGE,SSP1-19,R5.2ASIA,Emissions|Kyoto Gases,Mt CO2-equiv/yr,14910.92255,19070.91931,19190.58569,12833.60971,5396.693176,2907.53463,1713.34914,814.1805873,-525.0095119,-1342.188817,-2620.990536
IMAGE,SSP1-19,R5.2ASIA,Emissions|N2O,kt N2O/yr,3206.729218,3750.919241,3575.570426,2997.278765,2894.256065,2831.606407,2738.064416,2725.906202,2735.494385,2689.707383,2688.971691
IMAGE,SSP1-19,R5.2ASIA,Emissions|N2O|Land Use,kt N2O/yr,2567.86997,2958.967038,2892.385347,2708.22593,2682.220386,2646.290718,2566.268579,2552.740692,2557.57063,2521.749136,2510.581988
IMAGE,SSP1-19,R5.2ASIA,Emissions|NH3,Mt NH3/yr,26.79234139,31.13159537,32.87046348,33.01668096,32.40776129,31.9249309,30.66455706,29.70165509,28.84774311,27.87815952,27.07524815
IMAGE,SSP1-19,R5.2ASIA,Emissions|NOx,Mt NO2/yr,44.07622819,52.47604088,47.62507649,25.78055368,17.33382481,14.17156509,12.65554718,12.0165775,10.82273999,9.366690052,8.722605397
IMAGE,SSP1-19,R5.2ASIA,Emissions|OC,Mt OC/yr,12.5880378,14.53765297,10.3017673,6.773416117,5.795530066,4.683533881,4.180621188,3.954926565,3.771603702,3.349314211,3.18854356
IMAGE,SSP1-19,R5.2ASIA,Emissions|Sulfur,Mt SO2/yr,50.30248702,62.23903781,44.32783481,19.29673687,8.934902817,6.688561425,5.758460075,4.723942243,3.705120258,2.818103526,2.13007706
IMAGE,SSP1-19,R5.2ASIA,Emissions|VOC,Mt VOC/yr,61.01227337,69.49072285,48.49154775,29.21734783,24.6387253,20.54334581,17.93798063,14.724061,11.40462885,8.868977662,7.611191461
IMAGE,SSP1-19,R5.2ASIA,Energy Service|Transportation|Freight,bn tkm/yr,5191.646577,6116.086673,8873.595507,10148.61448,13255.3016,15574.48911,17048.68684,17735.27473,17870.99006,17426.91435,16774.93263
IMAGE,SSP1-19,R5.2ASIA,Energy Service|Transportation|Passenger,bn pkm/yr,18869.78239,20389.04965,29066.78146,30688.04449,40273.25869,47235.96656,51466.71498,53291.1123,53293.93768,51214.19883,48308.53391
IMAGE,SSP1-19,R5.2ASIA,Final Energy,EJ/yr,99.81029053,128.6592358,124.4894268,107.1361035,117.9451064,132.0386553,137.9942529,138.412239,135.1874268,127.7938574,119.3955684
IMAGE,SSP1-19,R5.2ASIA,Final Energy|Electricity,EJ/yr,13.16655386,20.27103186,28.27006506,28.53552301,37.13243958,50.0295741,59.55677893,65.4567981,67.44683093,65.40601233,60.71184088
