SCENARIO,Entity
SSP1-19,SSP1 - 1.9
SSP1-26,SSP1 - 2.6
SSP1-34,SSP1 - 3.4
SSP1-45,SSP1 - 4.5
SSP1-Baseline,SSP1 - Baseline
SSP2-19,SSP2 - 1.9
SSP2-26,SSP2 - 2.6
SSP2-34,SSP2 - 3.4
SSP2-45,SSP2 - 4.5
SSP2-60,SSP2 - 6.0
SSP2-Baseline,SSP2 - Baseline
SSP3-34,SSP3 - 3.4
SSP3-45,SSP3 - 4.5
SSP3-60,SSP3 - 6.0
SSP3-Baseline,SSP3 - Baseline
SSP4-26,SSP4 - 2.6
SSP4-34,SSP4 - 3.4
SSP4-45,SSP4 - 4.5
SSP4-60,SSP4 - 6.0
SSP4-Baseline,SSP4 - Baseline
SSP5-19,SSP5 - 1.9
SSP5-26,SSP5 - 2.6
SSP5-34,SSP5 - 3.4
SSP5-45,SSP5 - 4.5
SSP5-60,SSP5 - 6.0
SSP5-Baseline,SSP5 - Baseline
