object.internationalDesignator_s1,object.internationalDesignator@official_s1,object.nationalDesignator_s1,object.nameOfSpaceObjectIno_s1,object.nameOfSpaceObjectO_s1,object.launch.stateOfRegistry_s1,object.launch.stateOfRegistry@official_s1,object.launch.dateOfLaunch_s1,object.status.gsoLocation_s1,object.unRegistration.unRegistered_s1,en#object.status.objectStatus_s1,object.status@official_s1,object.status.dateOfDecay_s1,object.launch.dateOfLaunch@official_s1,object.functionOfSpaceObject_s1,object.remark_s1,object.status.webSite_s1,object.unRegistration.registrationDocuments.document@uri_s,object.unRegistration.registrationDocuments.document..document.symbol_s,object.unRegistration.decayDocuments.document@uri_s,object.unRegistration.decayDocuments.document..document.symbol_s,object.status.dateOfDecay@official_s1,object.status.gsoLocation@official_s1
2021-122*,false,,SHIJIAN 6-05, ,China,false,2021-12-10,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-122*,false,,SHIJIAN 6-05, ,China,false,2021-12-10,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-120*,false,,BLACKSKY GLOBAL, ,USA,false,2021-12-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-120*,false,,BLACKSKY GLOBAL, ,USA,false,2021-12-09,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-121A,false,,IXPE, ,USA,false,2021-12-09,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-119A,false,,SOYUZ MS-19, ,Russian Federation,false,2021-12-08,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-117*,false,,GOLDEN BAUHINIA SATELLITE NO.1 (03), ,China,false,2021-12-07,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-117*,false,,GOLDEN BAUHINIA SATELLITE NO.5, ,China,false,2021-12-07,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-118*,false,,STPSAT 6, ,USA,false,2021-12-07,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-117*,false,,LIZE 1, ,China,false,2021-12-07,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-117*,false,,CHINA, ,China,false,2021-12-07,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-117*,false,,CHINA, ,China,false,2021-12-07,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-118*,false,,LDPE 1, ,USA,false,2021-12-07,,F,in orbit,false,,false,------,Not registered with the United Nations. International Designator pending assignment.,,,,,,,
2021-116B,false,,GALILEO 28, ,(for European Union),false,2021-12-05,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-116A,false,,GALILEO 27, ,(for European Union),false,2021-12-05,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115A,false,,STARLINK 3219,,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115C,false,,STARLINK 3237,,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115H,false,,STARLINK 3228, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115J,false,,STARLINK 3246, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115K,false,,STARLINK 3252, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115L,false,,STARLINK 3238, ,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115D,false,,STARLINK 3242,,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
2021-115B,false,,STARLINK 3218,,USA,false,2021-12-02,,F,in orbit,false,,false,------,Not registered with the United Nations.,,,,,,,
