series_code,unweighted_avg_1993,unweighted_avg_2018,weighted_avg_1993,weighted_avg_2018,is_falling_count_prop,is_stable_count_prop,is_rising_count_prop,is_falling_popshare_prop,is_stable_popshare_prop,is_rising_popshare_prop,is_falling_count_abs_0.02,is_stable_count_abs_0.02,is_rising_count_abs_0.02,is_falling_popshare_abs_0.02,is_stable_popshare_abs_0.02,is_rising_popshare_abs_0.02,is_falling_count_abs_1,is_stable_count_abs_1,is_rising_count_abs_1,is_falling_popshare_abs_1,is_stable_popshare_abs_1,is_rising_popshare_abs_1,is_falling_count_abs_2,is_stable_count_abs_2,is_rising_count_abs_2,is_falling_popshare_abs_2,is_stable_popshare_abs_2,is_rising_popshare_abs_2,population_1993_total,population_2018_total
gini_pip_disposable_perCapita,0.4062807533670874,0.37430962262784734,0.3718398961941351,0.37534641794451756,51,21,30,0.26417124640036205,0.16235263363587665,0.5734761199637612,50,26,26,0.2620786134547902,0.18685356936433511,0.5510678171808746,0,102,0,0.0,1.0,0.0,0,102,0,0.0,1.0,0.0,4931067831,6706199961
gini_widExtrapolated_pretaxNational_perAdult,0.5733293982392008,0.5669671017676592,0.5303246697583971,0.5831495708226291,47,80,49,0.12330891435311027,0.2717481853345628,0.6049429003123269,66,57,53,0.19186264539593603,0.19575040238142707,0.612386952222637,0,176,0,0.0,1.0,0.0,0,176,0,0.0,1.0,0.0,5567463728,7672065789
gini_wid_pretaxNational_perAdult,0.5298544183677557,0.5388181425478994,0.508342892517773,0.5693677759358269,24,26,48,0.13262684716427336,0.13981869879154743,0.7275544540441792,30,18,50,0.17428906974881697,0.09152367174824153,0.7341872585029415,0,98,0,0.0,1.0,0.0,0,98,0,0.0,1.0,0.0,4673002829,6290919160
headcountRatio50Median_pip_disposable_perCapita,14.563075046913296,13.196429105365977,11.591882229119534,12.14697682545684,55,11,36,0.2977572268258035,0.09477116235394699,0.6074716108202495,65,0,37,0.3854806297210491,0.0,0.614519370278951,51,17,34,0.2687003735385616,0.14797821338111555,0.5833214130803228,43,34,25,0.20329935919872041,0.4401469382264195,0.35655370257486013,4911451959,6684879457
headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,22.874285937717982,22.462857251848494,20.491565554726492,22.64625396417679,61,61,53,0.26619324710454084,0.31514786345347695,0.4186588894419822,87,26,62,0.3387960418148873,0.22646039332635642,0.43474356485875626,68,69,38,0.18657578874844097,0.44820342782809225,0.36522078342346675,36,119,20,0.11814322354019026,0.5587308305041522,0.32312594595565747,5545690708,7646427637
headcountRatio50Median_wid_pretaxNational_perAdult,21.214285801868048,21.132653216926418,19.566850491747818,22.105273611978962,33,31,34,0.2175931239950893,0.3919231962870271,0.39048367971788356,39,19,40,0.2885437258099293,0.30872996203786374,0.4027263121522069,28,47,23,0.14977655088425798,0.4935165715475324,0.35670687756820957,21,62,15,0.08410867709320619,0.6292491435596347,0.28664217934715913,4673002829,6290919160
p90p100Share_pip_disposable_perCapita,32.18953381332697,29.30228265126546,29.61727898843736,29.586818891854854,49,23,30,0.24852063873383776,0.16410937848240684,0.5873699827837554,60,0,42,0.30977894897264496,0.0,0.6902210510273551,52,17,33,0.28144968647055707,0.06938792645458541,0.6491623870748575,47,33,22,0.22241708927731033,0.41513310811319076,0.3624498026094989,4931067831,6706199961
p90p100Share_widExtrapolated_pretaxNational_perAdult,45.924545374783605,45.42340903932398,41.1356496233456,47.73304582839868,47,76,53,0.12371104306186868,0.25220015551038,0.6240888014277514,85,3,88,0.23798183620604632,0.004075643077094871,0.7579425207168589,72,38,66,0.2128079373092954,0.13826467178018406,0.6489273909105205,65,55,56,0.1958228711068129,0.17323375115125672,0.6309433777419304,5567463728,7672065789
p90p100Share_wid_pretaxNational_perAdult,41.649693586388416,42.746326816325286,38.85067480575373,46.336188728820744,23,23,52,0.13377287685780684,0.1117851431114552,0.7544419800307379,34,0,64,0.2103953115325623,0.0,0.7896046884674377,28,12,58,0.17690159395364663,0.0586114984352816,0.7644869076110717,27,20,51,0.17672483544734444,0.07926824646910566,0.7440069180835499,4673002829,6290919160
p99p100Share_pip_disposable_perCapita,8.723435700464792,6.729812956993809,7.458642357127357,6.572179675797653,57,14,36,0.6625457807413282,0.17656033999801338,0.16089387926065846,64,2,41,0.7881730675842826,0.0031888798060089587,0.20863805260970839,45,38,24,0.17998221185062882,0.7033154425279575,0.11670234562141367,36,63,8,0.13742518971285056,0.8261573193570492,0.036417490930100244,4947331966,6723939694
p99p100Share_widExtrapolated_pretaxNational_perAdult,16.10545461286198,15.736988593231548,13.686815012259004,17.314832617526246,58,36,82,0.16673959353004697,0.13521666467514343,0.6980437417948095,69,2,105,0.19755230653206332,0.0015613227898159374,0.8008863706781207,58,41,77,0.1691826596485731,0.13553430482268605,0.6952830355287408,43,83,50,0.13983378698717946,0.23227131602068696,0.6278948969921336,5567463728,7672065789
p99p100Share_wid_pretaxNational_perAdult,14.158469394761688,14.823163305010114,12.664706703294444,16.855907305125832,27,4,67,0.14079229096910098,0.037825621440470136,0.8213820875904289,29,0,69,0.15653956562156407,0.0,0.843460434378436,26,7,65,0.1403649648849806,0.04045874118172934,0.8191762939332901,21,30,47,0.12510711236293154,0.13228249727644237,0.742610390360626,4673002829,6290919160
