region,series_code,unweighted_avg_1993,unweighted_avg_2018,weighted_avg_1993,weighted_avg_2018,is_falling_count_prop,is_stable_count_prop,is_rising_count_prop,is_falling_popshare_prop,is_stable_popshare_prop,is_rising_popshare_prop,is_falling_count_abs_1,is_stable_count_abs_1,is_rising_count_abs_1,is_falling_popshare_abs_1,is_stable_popshare_abs_1,is_rising_popshare_abs_1,is_falling_count_abs_2,is_stable_count_abs_2,is_rising_count_abs_2,is_falling_popshare_abs_2,is_stable_popshare_abs_2,is_rising_popshare_abs_2,population_1993_total,population_2018_total
EE & CA,gini_pip_disposable_perCapita,33.075224529613145,30.72241358323531,38.01883613127137,32.53247906168716,11,3,8,0.7210313529940819,0.12579585023246895,0.15317279677344914,11,3,8,0.7210313529940819,0.12579585023246895,0.15317279677344914,10,5,7,0.6941221977674339,0.17971457994006323,0.12616322229250282,383472276,375150931
East Asia,gini_pip_disposable_perCapita,32.34698041280111,34.29076894124349,33.808781486695715,38.37224441627073,0,1,2,0.0,0.0018620544838812024,0.9981379455161188,0,1,2,0.0,0.0018620544838812024,0.9981379455161188,0,2,1,0.0,0.01918884671526903,0.980811153284731,1219251649,1443959620
LAC,gini_pip_disposable_perCapita,51.468138443796256,45.02490635922081,54.876127802474336,48.53519438182462,14,5,0,0.8955068803897347,0.1044931196102653,0.0,16,1,2,0.9856545871947234,0.005866621464081372,0.008478791341195146,14,5,0,0.8955068803897347,0.1044931196102653,0.0,419161866,579722241
MENA,gini_pip_disposable_perCapita,37.62239384651184,35.79603576660156,37.89079487356082,36.3826912928477,3,3,2,0.33313532752458885,0.3972000964156659,0.26966457605974525,3,2,3,0.33313532752458885,0.3365088716026409,0.3303558008727703,3,4,1,0.33313532752458885,0.6457556046545965,0.02110906782081474,246955718,378608653
S & SE Asia,gini_pip_disposable_perCapita,36.930375480651854,36.2512170791626,33.08743068463052,34.75757188937873,4,1,5,0.16845353485916129,0.044662488342983864,0.7868839767978549,4,1,5,0.16845353485916129,0.044662488342983864,0.7868839767978549,4,1,5,0.16845353485916129,0.044662488342983864,0.7868839767978549,1593650749,2355181510
SS Africa,gini_pip_disposable_perCapita,48.82896041870117,41.733707427978516,46.986194370675136,40.21434351013068,18,2,5,0.6816922822918766,0.07010005133911407,0.24820766636900934,18,0,7,0.6816922822918766,0.0,0.3183077177081234,18,2,5,0.6816922822918766,0.07010005133911407,0.24820766636900934,408787732,785557492
W. Eur and Offshoots,gini_pip_disposable_perCapita,31.04401427821109,31.9617660924008,35.25155550870258,36.272038067177185,3,8,8,0.04352616209020528,0.7609317456892774,0.19554209222051733,4,6,9,0.12898778354730128,0.29183246950589276,0.579179746946806,3,9,7,0.04352616209020528,0.787070237664978,0.16940360024481674,674542128,803353565
EE & CA,gini_widExtrapolated_pretaxNational_perAdult,46.51255442301432,48.600750096639,46.05753251431638,50.713941037073255,7,8,15,0.22370263024815273,0.08137524946173855,0.6949221202901087,8,4,18,0.23449463462883763,0.03948812260845568,0.7260172427627067,7,7,16,0.22370263024815273,0.06906108868550177,0.7072362810663455,416391510,414890874
East Asia,gini_widExtrapolated_pretaxNational_perAdult,49.052000522613525,55.59320640563965,47.53005354953436,55.582504083940556,0,1,7,0.0,0.001601962161605098,0.9983980378383949,0,1,7,0.0,0.001601962161605098,0.9983980378383949,0,1,7,0.0,0.001601962161605098,0.9983980378383949,1417207631,1655663103
LAC,gini_widExtrapolated_pretaxNational_perAdult,67.3687497652494,64.85555149958684,68.26052254340661,67.86109874664432,5,20,1,0.14047517874285775,0.6716968777077368,0.1878279435494055,20,3,3,0.36359964139542544,0.3902194891515574,0.24618086945301718,20,5,1,0.36359964139542544,0.4485724150551691,0.1878279435494055,461318153,635378610
