region,series_code,unweighted_avg_1980,unweighted_avg_2018,weighted_avg_1980,weighted_avg_2018,is_falling_count_prop,is_stable_count_prop,is_rising_count_prop,is_falling_popshare_prop,is_stable_popshare_prop,is_rising_popshare_prop,is_falling_count_abs_1,is_stable_count_abs_1,is_rising_count_abs_1,is_falling_popshare_abs_1,is_stable_popshare_abs_1,is_rising_popshare_abs_1,is_falling_count_abs_2,is_stable_count_abs_2,is_rising_count_abs_2,is_falling_popshare_abs_2,is_stable_popshare_abs_2,is_rising_popshare_abs_2,population_1980_total,population_2018_total
EE & CA,gini_pip_disposable_perCapita,25.16496467590332,28.462860107421875,25.16496467590332,28.462860107421875,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,35521432,38521464
East Asia,gini_pip_disposable_perCapita,29.06679058074951,35.06565856933594,28.196759409918442,38.384610678258554,0,0,2,0.0,0.0,1.0,0,0,2,0.0,0.0,1.0,0,1,1,0.0,0.018091726955164675,0.9819082730448353,1000472760,1440795626
LAC,gini_pip_disposable_perCapita,48.99134635925293,46.403064250946045,52.782118372019106,49.31172640068546,5,3,0,0.8795737790721981,0.12042622092780182,0.0,5,3,0,0.8795737790721981,0.12042622092780182,0.0,5,3,0,0.8795737790721981,0.12042622092780182,0.0,269012037,472708002
MENA,gini_pip_disposable_perCapita,39.650126139322914,37.28070322672526,39.761319119413486,38.166891914867385,1,1,1,0.2192630718947168,0.6559215914474403,0.12481533665784292,1,1,1,0.2192630718947168,0.6559215914474403,0.12481533665784292,1,1,1,0.2192630718947168,0.6559215914474403,0.12481533665784292,30001217,56317043
S & SE Asia,gini_pip_disposable_perCapita,37.12757464817592,36.91498947143555,33.727736765412736,35.2572079883774,3,1,3,0.10213823285282943,0.6628557506014326,0.23500601654573786,3,0,4,0.10213823285282943,0.0,0.8978617671471706,3,1,3,0.10213823285282943,0.6628557506014326,0.23500601654573786,1051251877,2033430686
SS Africa,gini_pip_disposable_perCapita,39.94795455932617,40.86496429443359,37.05693079837702,35.66843048742373,2,1,2,0.6639214806486275,0.007668977571274835,0.3284095417800976,2,1,2,0.6639214806486275,0.007668977571274835,0.3284095417800976,2,1,2,0.6639214806486275,0.007668977571274835,0.3284095417800976,122386849,349994267
W. Eur and Offshoots,gini_pip_disposable_perCapita,30.393203735351562,32.74183361346905,32.97533646368208,37.11724496518163,1,5,7,0.012408453815705938,0.262996215224005,0.724595330960289,2,4,7,0.11788296215997482,0.1575217068797361,0.724595330960289,1,5,7,0.012408453815705938,0.262996215224005,0.724595330960289,509258937,684866416
EE & CA,gini_widExtrapolated_pretaxNational_perAdult,42.25492102305095,48.600750096639,38.17913515036869,50.713941037073255,6,4,20,0.21024013972388578,0.03029042002381896,0.7594694402522952,7,1,22,0.21200951470629517,0.007661719557044911,0.7803287657366599,6,3,21,0.21024013972388578,0.016887725414514356,0.7728721348615999,383941226,414890874
East Asia,gini_widExtrapolated_pretaxNational_perAdult,47.2003116607666,55.59320640563965,39.68433383985099,55.582504083940556,0,1,7,0.0,0.0014373861189469182,0.998562613881053,0,1,7,0.0,0.0014373861189469182,0.998562613881053,0,1,7,0.0,0.0014373861189469182,0.998562613881053,1181162791,1655663103
LAC,gini_widExtrapolated_pretaxNational_perAdult,67.3687497652494,64.85555149958684,68.22396371744665,67.86109874664432,5,20,1,0.14957941394595475,0.6608861898271359,0.18953439622690937,20,3,3,0.3641820279531247,0.3905565780204625,0.24526139402641275,20,5,1,0.3641820279531247,0.44628357581996586,0.18953439622690937,357218454,635378610
MENA,gini_widExtrapolated_pretaxNational_perAdult,62.873916435241696,61.16037731170654,62.53299096077913,60.101532163650255,5,13,2,0.4720359979769167,0.3255626948936412,0.2024013071294421,8,7,5,0.5881058832874794,0.12947862458501994,0.2824154921275007,7,10,3,0.5440324890946566,0.2136817680767116,0.24228574282863177,230790303,546151150
S & SE Asia,gini_widExtrapolated_pretaxNational_perAdult,56.13244361877442,55.60370693206787,49.062118837881634,60.07115363763487,9,5,6,0.11986364859253856,0.11843784039850758,0.7616985110089538,11,2,7,0.22565342752471276,0.010036804390070559,0.7643097680852167,9,4,7,0.11986364859253856,0.11582658332224477,0.7643097680852167,1262809407,2507158060
SS Africa,gini_widExtrapolated_pretaxNational_perAdult,63.483584345603475,61.116020747593474,60.56176896262957,60.1960885809044,17,26,6,0.16434309811611247,0.6371602662094913,0.19849663567439624,22,15,12,0.3970335248778182,0.3084333744124242,0.29453310070975763,19,24,6,0.3580337456361588,0.44346961868944496,0.19849663567439624,389108741,1093497525
W. Eur and Offshoots,gini_widExtrapolated_pretaxNational_perAdult,41.50178743445355,45.66288773909859,43.145993263308725,51.56286743776403,2,4,17,0.015119031652995826,0.08642191268176863,0.8984590556652355,4,2,17,0.03207619840944102,0.06946474592532342,0.8984590556652355,2,4,17,0.015119031652995826,0.08642191268176863,0.8984590556652355,630690855,819326467
EE & CA,gini_wid_pretaxNational_perAdult,35.0048713684082,46.64059257507324,32.03488905483692,50.88860390594449,0,0,12,0.0,0.0,0.9999999999999999,0,0,12,0.0,0.0,0.9999999999999999,0,0,12,0.0,0.0,0.9999999999999999,249980654,254395060
East Asia,gini_wid_pretaxNational_perAdult,45.51755142211914,55.40851058959961,39.450243775908746,55.09632504512491,0,0,5,0.0,0.0,1.0,0,0,5,0.0,0.0,1.0,0,0,5,0.0,0.0,1.0,1161246011,1626209961
MENA,gini_wid_pretaxNational_perAdult,60.307745615641274,57.2411855061849,59.90369543974742,58.11493596014224,1,2,0,0.2192630718947168,0.7807369281052833,0.0,1,2,0,0.2192630718947168,0.7807369281052833,0.0,1,2,0,0.2192630718947168,0.7807369281052833,0.0,30001217,56317043
S & SE Asia,gini_wid_pretaxNational_perAdult,52.66023254394531,54.17527389526367,47.72918888044245,60.47416482026716,4,2,3,0.10266395086677021,0.15317005304527284,0.744165996087957,4,2,3,0.10266395086677021,0.15317005304527284,0.744165996087957,4,2,3,0.10266395086677021,0.15317005304527284,0.744165996087957,1069253054,2067751947
SS Africa,gini_wid_pretaxNational_perAdult,60.125745500837056,62.819427490234375,57.53417956295308,58.51204138488069,2,3,2,0.10728941784497686,0.6768437063314267,0.21586687582359645,3,2,2,0.5609715873017047,0.22316153687469878,0.21586687582359645,3,2,2,0.5609715873017047,0.22316153687469878,0.21586687582359645,160798561,434180443
W. Eur and Offshoots,gini_wid_pretaxNational_perAdult,41.33003252202814,46.1032359383323,42.98809251002459,51.85684883888595,1,5,16,0.0003663298687428218,0.10606564325507598,0.8935680268761812,3,1,18,0.020352623839771065,0.015773240508177116,0.9638741356520518,1,5,16,0.0003663298687428218,0.10606564325507598,0.8935680268761812,623143291,810485949
EE & CA,headcountRatio50Median_pip_disposable_perCapita,5.807180404663086,9.17794418334961,5.807180404663086,9.17794418334961,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,35521432,38521464
East Asia,headcountRatio50Median_pip_disposable_perCapita,8.276514053344727,14.673508644104004,8.276514053344727,14.673508644104004,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,982372480,1417069440
LAC,headcountRatio50Median_pip_disposable_perCapita,21.809517860412598,19.73815083503723,22.114190495615418,20.536492661552874,5,2,1,0.3762152806567537,0.5587600974152691,0.06502462192797714,6,1,1,0.830798597313324,0.1041767807586989,0.06502462192797714,4,4,0,0.3689405541358731,0.6310594458641269,0.0,269012037,472708002
MENA,headcountRatio50Median_pip_disposable_perCapita,15.464289983113607,14.33186117808024,14.883757330010617,12.82244115685873,2,0,1,0.8751846633421572,0.0,0.12481533665784292,2,0,1,0.8751846633421572,0.0,0.12481533665784292,2,0,1,0.8751846633421572,0.0,0.12481533665784292,30001217,56317043
S & SE Asia,headcountRatio50Median_pip_disposable_perCapita,11.870000566755023,10.61467443193708,8.233797453415688,8.028861521051425,4,0,3,0.7649939834542621,0.0,0.23500601654573786,3,3,1,0.10213823285282943,0.7569087688772802,0.14095299826989036,3,3,1,0.10213823285282943,0.7569087688772802,0.14095299826989036,1051251877,2033430686
SS Africa,headcountRatio50Median_pip_disposable_perCapita,13.649490594863892,13.960470962524415,13.978212356918654,12.92872209793297,3,0,2,0.6715904582199024,0.0,0.3284095417800976,3,0,2,0.6715904582199024,0.0,0.3284095417800976,3,0,2,0.6715904582199024,0.0,0.3284095417800976,122386849,349994267
W. Eur and Offshoots,headcountRatio50Median_pip_disposable_perCapita,9.412549679095928,12.121302971473106,12.615525472434095,15.216350141251425,2,0,11,0.15360623509293467,0.0,0.8463937649070653,2,0,11,0.15360623509293467,0.0,0.8463937649070653,0,4,9,0.0,0.2102310872160502,0.7897689127839498,509258937,684866416
EE & CA,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,18.866666762034097,20.56666685740153,17.571223229959234,18.804387552483192,9,3,18,0.2292591236347201,0.08923246497108389,0.681508411394196,9,4,17,0.2292591236347201,0.10218727592436244,0.6685536004409175,7,13,10,0.2233500447279397,0.5304050495478702,0.24624490572419017,383941226,414890874
East Asia,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,19.12500023841858,24.00000023841858,15.72118264400298,28.656538174267364,2,0,6,0.10102078046242824,0.0,0.8989792195375718,1,1,6,0.0014373861189469182,0.09958339434348132,0.8989792195375718,0,2,6,0.0,0.10102078046242824,0.8989792195375718,1181162791,1655663103
LAC,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,29.88461655836839,28.692307765667255,28.88742816017296,28.15210035111221,6,17,3,0.4338060513525429,0.184991596206841,0.38120235244061607,21,2,3,0.5979063584436206,0.02089128911576332,0.38120235244061607,3,20,3,0.29544696198701986,0.32335068557236407,0.38120235244061607,357218454,635378610
MENA,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,22.45,22.4,20.798819545724154,19.913994413451295,6,9,5,0.5408405352282067,0.377534536188897,0.08162492858289631,6,9,5,0.5408405352282067,0.377534536188897,0.08162492858289631,4,12,4,0.305731957031141,0.6254846721181349,0.06878337085072417,230790303,546151150
S & SE Asia,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,20.500000190734863,20.05000009536743,15.2072763360888,14.994215025145055,9,5,6,0.6683842338529554,0.16104252935771804,0.1705732367893265,8,8,4,0.11657621901133018,0.7149004695369678,0.1685233114517019,3,14,3,0.015882762583823547,0.8182051830407373,0.1659120543754391,1262809407,2507158060
SS Africa,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,24.14285725963359,22.836734966355927,22.873201355897585,22.462054518303283,19,17,13,0.4249005575539101,0.28266390705419797,0.29243553539189193,19,19,11,0.4249005575539101,0.28937889113110415,0.28572055131498575,15,27,7,0.40306429405038735,0.4267896670046793,0.1701460389449334,389108741,1093497525
W. Eur and Offshoots,headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,19.173913167870563,20.043478260869566,21.188347419964863,23.81268214541884,5,5,13,0.0473017989138276,0.24781796463498745,0.7048802364511849,3,9,11,0.027756586069414307,0.36065648042415327,0.6115869335064323,2,16,5,0.005351975493603756,0.5122633512737393,0.4823846732326569,630690855,819326467
EE & CA,headcountRatio50Median_wid_pretaxNational_perAdult,16.416666666666668,21.166666666666668,16.170787348208155,18.975286151389888,0,1,11,0.0,0.04108341919931132,0.9589165808006886,0,2,10,0.0,0.06098050291523759,0.9390194970847624,0,4,8,0.0,0.6499781859119386,0.3500218140880614,249980654,254395060
East Asia,headcountRatio50Median_wid_pretaxNational_perAdult,18.800000381469726,24.000000381469725,15.67353719556615,28.696576684445397,1,0,4,0.10129137055007718,0.0,0.8987086294499228,0,1,4,0.0,0.10129137055007718,0.8987086294499228,0,2,3,0.0,0.13416166645501615,0.8658383335449839,1161246011,1626209961
MENA,headcountRatio50Median_wid_pretaxNational_perAdult,22.0,21.333333333333332,21.22113069613143,20.600634305320327,1,1,1,0.2192630718947168,0.6559215914474403,0.12481533665784292,1,1,1,0.2192630718947168,0.6559215914474403,0.12481533665784292,1,1,1,0.2192630718947168,0.6559215914474403,0.12481533665784292,30001217,56317043
S & SE Asia,headcountRatio50Median_wid_pretaxNational_perAdult,19.000000211927627,18.777777989705402,14.268104301564001,12.942330801086909,2,6,1,0.6640561449357337,0.29316842802302623,0.04277542704123995,2,6,1,0.6640561449357337,0.29316842802302623,0.04277542704123995,1,7,1,0.01235975801103487,0.9448648149477251,0.04277542704123995,1069253054,2067751947
SS Africa,headcountRatio50Median_wid_pretaxNational_perAdult,21.571428571428573,23.285714830671036,21.294676449250066,22.26521834619429,2,0,5,0.4595191744284328,0.0,0.5404808255715672,2,0,5,0.4595191744284328,0.0,0.5404808255715672,2,2,3,0.4595191744284328,0.2729728284073388,0.26750799716422835,160798561,434180443
W. Eur and Offshoots,headcountRatio50Median_wid_pretaxNational_perAdult,19.27272740277377,20.181818181818183,21.133681884307865,23.80560481622859,5,4,13,0.12615328951684085,0.051372596740353896,0.8224741137428053,3,10,9,0.028092776176579265,0.369221277550431,0.6026859462729897,1,15,6,0.005050469202596293,0.5061384476977383,0.4888110830996654,623143291,810485949
EE & CA,p90p100Share_pip_disposable_perCapita,20.864858627319336,22.759654998779297,20.864858627319336,22.759654998779297,0,0,1,0.0,0.0,1.0,0,0,1,0.0,0.0,1.0,0,1,0,0.0,1.0,0.0,35521432,38521464
East Asia,p90p100Share_pip_disposable_perCapita,23.01082420349121,27.388392448425293,21.781134901184902,29.366733397584856,0,1,1,0.0,0.018091726955164675,0.9819082730448353,0,0,2,0.0,0.0,1.0,0,1,1,0.0,0.018091726955164675,0.9819082730448353,1000472760,1440795626
LAC,p90p100Share_pip_disposable_perCapita,37.44689464569092,35.457507610321045,41.36505619569889,38.543968379412206,4,3,1,0.627892907260503,0.36313237909127466,0.008974713648222365,5,1,2,0.8795737790721981,0.1041767807586989,0.016249440169102916,4,3,1,0.627892907260503,0.36313237909127466,0.008974713648222365,269012037,472708002
MENA,p90p100Share_pip_disposable_perCapita,30.945079803466797,28.831523259480793,31.718862667477516,30.207048874515827,1,2,0,0.2192630718947168,0.7807369281052833,0.0,1,2,0,0.2192630718947168,0.7807369281052833,0.0,1,2,0,0.2192630718947168,0.7807369281052833,0.0,30001217,56317043
S & SE Asia,p90p100Share_pip_disposable_perCapita,29.9089230128697,29.301829746791295,27.63238110505705,28.590740236037067,3,1,3,0.10213823285282943,0.6628557506014326,0.23500601654573786,3,1,3,0.10213823285282943,0.6628557506014326,0.23500601654573786,3,1,3,0.10213823285282943,0.6628557506014326,0.23500601654573786,1051251877,2033430686
SS Africa,p90p100Share_pip_disposable_perCapita,31.76935157775879,32.26036834716797,28.46954209865754,27.874549279033957,2,2,1,0.6639214806486275,0.29320187825082417,0.04287664110054831,3,1,1,0.6715904582199024,0.28553290067954934,0.04287664110054831,1,3,1,0.06784894020761986,0.8892744186918318,0.04287664110054831,122386849,349994267
W. Eur and Offshoots,p90p100Share_pip_disposable_perCapita,23.660695002629208,25.283085602980393,24.85779075086865,28.040175393597707,1,6,6,0.012408453815705938,0.3736069004911739,0.6139846456931202,1,6,6,0.012408453815705938,0.3736069004911739,0.6139846456931202,1,7,5,0.012408453815705938,0.39290747292275796,0.5946840732615362,509258937,684866416
EE & CA,p90p100Share_widExtrapolated_pretaxNational_perAdult,30.967666625976562,36.79433364868164,27.793237358227675,40.43633760967885,6,3,21,0.21024013972388578,0.016887725414514356,0.7728721348615999,6,3,21,0.21024013972388578,0.016887725414514356,0.7728721348615999,5,4,21,0.20610043579951481,0.021027429338885323,0.7728721348615999,383941226,414890874
East Asia,p90p100Share_widExtrapolated_pretaxNational_perAdult,35.43625020980835,43.393749713897705,29.143351609175244,42.57927013505966,0,1,7,0.0,0.0014373861189469182,0.998562613881053,0,1,7,0.0,0.0014373861189469182,0.998562613881053,0,1,7,0.0,0.0014373861189469182,0.998562613881053,1181162791,1655663103
LAC,p90p100Share_widExtrapolated_pretaxNational_perAdult,54.74653801551232,52.90730769817646,56.01081834946034,57.05088844321652,5,19,2,0.14957941394595475,0.6119178182211158,0.23850276783292948,20,4,2,0.3641820279531247,0.3973152042139458,0.23850276783292948,6,18,2,0.22285727993212803,0.5386399522349425,0.23850276783292948,357218454,635378610
MENA,p90p100Share_widExtrapolated_pretaxNational_perAdult,52.250000381469725,50.4795000076294,53.24493829484125,50.267412233652706,7,11,2,0.5440324890946566,0.40324151747398157,0.052725993431361806,9,6,5,0.5944043758198974,0.16053654559307892,0.24505907858702364,7,11,2,0.5440324890946566,0.40324151747398157,0.052725993431361806,230790303,546151150
S & SE Asia,p90p100Share_widExtrapolated_pretaxNational_perAdult,44.88999996185303,44.49699993133545,37.11799607340526,51.82390610084107,9,4,7,0.11986364859253856,0.11582658332224477,0.7643097680852167,11,2,7,0.22565342752471276,0.010036804390070559,0.7643097680852167,10,3,7,0.16180843591070904,0.07388179600407427,0.7643097680852167,1262809407,2507158060
