series_code,unweighted_avg_1980,unweighted_avg_2018,weighted_avg_1980,weighted_avg_2018,is_falling_count_prop,is_stable_count_prop,is_rising_count_prop,is_falling_popshare_prop,is_stable_popshare_prop,is_rising_popshare_prop,is_falling_count_abs_1,is_stable_count_abs_1,is_rising_count_abs_1,is_falling_popshare_abs_1,is_stable_popshare_abs_1,is_rising_popshare_abs_1,is_falling_count_abs_2,is_stable_count_abs_2,is_rising_count_abs_2,is_falling_popshare_abs_2,is_stable_popshare_abs_2,is_rising_popshare_abs_2,population_1980_total,population_2018_total
gini_pip_disposable_perCapita,37.15190100058531,37.693189376439804,33.559872543127355,37.71347558516463,12,11,16,0.14518066677887717,0.29284375223210507,0.5619755809890177,13,9,17,0.16297905143975155,0.044147335051282426,0.792873613508966,12,12,15,0.14518066677887717,0.2988413828222854,0.5559779503988374,3017905109,5076633504
gini_widExtrapolated_pretaxNational_perAdult,55.92159978909926,56.64332734454762,48.03458878016329,58.35294550650067,44,73,59,0.10549386380055639,0.17506497950942157,0.7194411566900221,72,31,73,0.181908956549959,0.07902554660158975,0.7390654968484512,63,51,62,0.14351311714382126,0.13306704831230445,0.7234198345438743,4435721777,7672065789
gini_wid_pretaxNational_perAdult,45.39055995283456,50.86272187068545,43.312734697605705,56.82551405253508,8,12,38,0.04062385753506997,0.1099221976969885,0.8494539447679416,11,7,40,0.06654820619823858,0.07069937982714075,0.8627524139746207,9,11,38,0.06276777915488363,0.08777827607717482,0.8494539447679416,3294422788,5249340403
headcountRatio50Median_pip_disposable_perCapita,13.385613422644767,13.853533092298006,10.508525903171357,12.438204412364792,16,2,20,0.3640515484349199,0.05010765718718696,0.5858407943778932,16,4,18,0.1725257656754042,0.2745933882220576,0.5528808461025382,12,11,15,0.10503113434384034,0.3575320636301303,0.5374368020260294,2999804829,5052907318
headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,22.607954816384748,22.636363777247343,18.464240210141455,21.594713654122625,56,56,64,0.34410082546527576,0.14814348578111913,0.5077556887536051,67,52,57,0.1709249772903419,0.3368781643943941,0.49219685831526394,34,104,38,0.0996727419407757,0.474604515304793,0.42572274275443134,4435721777,7672065789
headcountRatio50Median_wid_pretaxNational_perAdult,19.01724149440897,20.931034614299907,16.612790562139544,20.64579484017001,11,12,35,0.2995207602358292,0.11395994265445204,0.5865192971097187,8,20,30,0.2452684791834314,0.21129516027376388,0.5434363605428048,5,31,22,0.029392419319314154,0.5183138998490925,0.4522936808315934,3294422788,5249340403
p90p100Share_pip_disposable_perCapita,29.105004041622845,29.30220085535294,26.44345119590016,29.587797798234913,11,15,13,0.12274616948534414,0.3519611583652347,0.5252926721494211,13,11,15,0.14549167125585724,0.32256956658341374,0.531938762160729,10,18,11,0.09857329546672634,0.391161151979083,0.5102655525541907,3017905109,5076633504
p90p100Share_widExtrapolated_pretaxNational_perAdult,44.67431818355214,45.35573856397109,36.82449215972069,47.88182213339083,48,65,63,0.11925503460177908,0.1596821190798505,0.7210628463183704,73,30,73,0.1901481105901201,0.0690078362414839,0.740844053168396,49,61,66,0.13860852368784626,0.13347110746887586,0.7279203688432778,4435721777,7672065789
p90p100Share_wid_pretaxNational_perAdult,34.3670691457288,39.618793191580934,32.08332201751307,46.355211619011364,8,12,38,0.043379691738582034,0.10632147466799273,0.8502988335934252,11,8,39,0.07718885746124217,0.07240189658377266,0.8504092459549851,8,12,38,0.043379691738582034,0.10632147466799273,0.8502988335934252,3294422788,5249340403
p99p100Share_pip_disposable_perCapita,6.591230095618267,6.869337849986016,5.816975416360806,6.5389688156132,14,2,23,0.34391413928316455,0.020253015185176918,0.6358328455316584,11,12,16,0.2897293143486971,0.18545998988863502,0.5248106957626678,6,23,10,0.03678256604853377,0.5200667957781041,0.44315063817336214,3017905109,5076633504
p99p100Share_widExtrapolated_pretaxNational_perAdult,15.195625019344417,15.661874898455359,11.027389394943423,17.40049609849592,54,40,82,0.12931032666975137,0.10407182781247734,0.7666178455177713,54,44,78,0.12931032666975137,0.12336003868350826,0.7473296346467404,41,69,66,0.10904012296441198,0.15558486322980217,0.7353750138057858,4435721777,7672065789
p99p100Share_wid_pretaxNational_perAdult,9.956379331391433,13.388620754768109,8.597014686165162,16.774994811736562,8,8,42,0.05156995532535759,0.08087292589478046,0.867557118779862,8,12,38,0.05156995532535759,0.09813121108121718,0.8502988335934252,6,17,35,0.03982583913573876,0.11299374365546673,0.8471804172087944,3294422788,5249340403
