series_code,unweighted_avg_1993,unweighted_avg_2018,weighted_avg_1993,weighted_avg_2018,is_falling_count_prop,is_stable_count_prop,is_rising_count_prop,is_falling_popshare_prop,is_stable_popshare_prop,is_rising_popshare_prop,is_falling_count_abs_1,is_stable_count_abs_1,is_rising_count_abs_1,is_falling_popshare_abs_1,is_stable_popshare_abs_1,is_rising_popshare_abs_1,is_falling_count_abs_2,is_stable_count_abs_2,is_rising_count_abs_2,is_falling_popshare_abs_2,is_stable_popshare_abs_2,is_rising_popshare_abs_2,population_1993_total,population_2018_total
gini_pip_disposable_perCapita,39.000658085471706,37.53485097383198,36.33061571390831,37.698636247576154,14,12,12,0.17088396919141507,0.16211617685706192,0.6669998539515231,17,7,14,0.19621810892498048,0.06718169867486753,0.736600192400152,14,14,10,0.17088396919141507,0.17240477156874956,0.6567112592398353,3767009498,5064101694
gini_widExtrapolated_pretaxNational_perAdult,57.15471356565302,56.64332734454762,52.890544191823025,58.35294550650067,47,82,47,0.11746410968265585,0.274770365598689,0.6077655247186552,75,36,65,0.1934613302612252,0.1321590765467489,0.6743795931920259,65,60,51,0.1535291045905131,0.23126131878052175,0.6152095766289651,5567463728,7672065789
gini_wid_pretaxNational_perAdult,47.79781041826521,50.47910942350115,49.43994198152456,56.790007396195534,13,10,33,0.13317490850305633,0.056144504422042205,0.8106805870749015,14,6,36,0.1358187976554141,0.042492471368857816,0.8216887309757281,13,10,33,0.13317490850305633,0.056144504422042205,0.8106805870749015,3995417883,5200881077
headcountRatio50Median_pip_disposable_perCapita,14.164053852493698,13.888185088698929,10.982904814688197,12.437873227236581,16,6,15,0.20109541503238812,0.09681747926350107,0.7020871057041108,13,11,13,0.16661109046293535,0.17180975041986474,0.6615791591171999,10,18,9,0.1020348450864297,0.5007667218659767,0.39719843304759367,3745883778,5040375508
headcountRatio50Median_widExtrapolated_pretaxNational_perAdult,22.778409356420692,22.636363777247343,19.71937409105754,21.594713654122625,56,60,60,0.3980486369142628,0.1792834859399375,0.4226678771457997,65,64,47,0.3326141840290405,0.2940021077762826,0.3733837081946769,31,115,30,0.08768320259454414,0.566643009299548,0.34567378810590793,5567463728,7672065789
headcountRatio50Median_wid_pretaxNational_perAdult,20.035714507102966,20.94642870766776,18.40742074246367,20.649402492875602,15,15,26,0.3972540356174804,0.20954673166035886,0.3931992327221608,12,25,19,0.334978114227958,0.2887559804216855,0.37626590535035653,9,31,16,0.2990946686915052,0.3301762693241667,0.3707290619843281,3995417883,5200881077
p90p100Share_pip_disposable_perCapita,30.439756042078923,29.13556284653513,28.906009631723983,29.572834544960248,13,13,12,0.16414233819380725,0.15333451038726317,0.6825231514189296,14,8,16,0.17460701581698004,0.06056996063353169,0.7648230235494883,12,18,8,0.1633003575718619,0.42757606766193507,0.4091235747662031,3767009498,5064101694
p90p100Share_widExtrapolated_pretaxNational_perAdult,45.85107939893549,45.35573856397109,40.893064369391794,47.88182213339083,48,76,52,0.12397804111926493,0.2429587871757752,0.6330631717049598,75,39,62,0.1945071105813947,0.1505564105940054,0.6549364788245999,50,71,55,0.1550938231815275,0.20478953751703724,0.6401166393014353,5567463728,7672065789
p90p100Share_wid_pretaxNational_perAdult,36.52321416991098,39.187857253210886,37.07226960599729,46.31569511664436,11,9,36,0.13221438794866605,0.021625607265671837,0.8461600047856621,12,6,38,0.1420808252411779,0.009923860572558788,0.8479953141862633,11,12,33,0.13221438794866605,0.039968680292358796,0.8278169317589752,3995417883,5200881077
p99p100Share_pip_disposable_perCapita,7.3927364442277534,6.785567290425123,6.884989786007603,6.5302738089569905,13,7,18,0.3886130567967047,0.1246869824059042,0.48669996079739114,9,19,10,0.11609156473647947,0.7933850102015325,0.09052342506198799,6,30,2,0.08336449514309136,0.9142250761057147,0.0024104287511939795,3767009498,5064101694
p99p100Share_widExtrapolated_pretaxNational_perAdult,16.035625048659064,15.661874898455359,13.557754274383878,17.40049609849592,58,40,78,0.14439304039952608,0.15969440438894225,0.6959125552115317,58,47,71,0.14439304039952608,0.16856379975682886,0.6870431598436451,43,82,51,0.11748723385665855,0.24619121506021602,0.6363215510831255,5567463728,7672065789
p99p100Share_wid_pretaxNational_perAdult,11.657500045640129,13.24125007220677,11.793025593419383,16.778783524478232,10,4,42,0.10696130955871783,0.02991587475957643,0.8631228156817057,10,8,38,0.10696130955871783,0.041407030965126206,0.8516316594761559,8,18,30,0.10515676715260876,0.06715216852324431,0.827691064324147,3995417883,5200881077
