,Entity,metric,value
0,Guinea-Bissau,threshold below $1.90 per day,1173883.81
1,Mali,threshold below $1.90 per day,8252743.79
2,Somalia,threshold below $1.90 per day,10010433.42
3,Madagascar,threshold below $1.90 per day,19896905.11
4,Burundi,threshold below $1.90 per day,8475545.97
5,Niger,threshold below $1.90 per day,9219695.26
6,Democratic Republic of Congo,threshold below $1.90 per day,59138432.37
7,South Sudan,threshold below $1.90 per day,8533100.58
8,Timor,threshold below $1.90 per day,268241.02
9,Nigeria,threshold below $1.90 per day,78947052.9
10,Yemen,threshold below $1.90 per day,14870981.36
11,Togo,threshold below $1.90 per day,3687845.9
12,Sierra Leone,threshold below $1.90 per day,3294328.54
13,Liberia,threshold below $1.90 per day,2094622.04
14,Malawi,threshold below $1.90 per day,12138950.88
15,Burkina Faso,threshold below $1.90 per day,7375399.4
16,Guinea,threshold below $1.90 per day,2936053.96
17,Chad,threshold below $1.90 per day,6133916.28
18,Ethiopia,threshold below $1.90 per day,26239043.92
19,Benin,threshold below $1.90 per day,5333790.77
20,Papua New Guinea,threshold below $1.90 per day,2277774.21
21,Senegal,threshold below $1.90 per day,4716518.81
22,Tanzania,threshold below $1.90 per day,26854676.97
23,Kenya,threshold below $1.90 per day,17632357.4
24,Solomon Islands,threshold below $1.90 per day,144734.26
25,Uzbekistan,threshold below $1.90 per day,4112021.03
26,Rwanda,threshold below $1.90 per day,6747154.53
27,Uganda,threshold below $1.90 per day,17022539.82
28,Bangladesh,threshold below $1.90 per day,18125294.77
29,Syria,threshold below $1.90 per day,4334958.46
30,Nepal,threshold below $1.90 per day,1648619.34
31,Kyrgyzstan,threshold below $1.90 per day,67102.83
32,Mauritania,threshold below $1.90 per day,247073.09
33,Cote d'Ivoire,threshold below $1.90 per day,6230183.65
34,Iraq,threshold below $1.90 per day,464086.28
35,Congo,threshold below $1.90 per day,2466578.11
36,Angola,threshold below $1.90 per day,13438187.68
37,Central African Republic,threshold below $1.90 per day,3326297.13
38,Vanuatu,threshold below $1.90 per day,42211.25
39,Sudan,threshold below $1.90 per day,4171169.88
40,Micronesia (country),threshold below $1.90 per day,17156.79
41,India,threshold below $1.90 per day,141279509.99
42,Pakistan,threshold below $1.90 per day,8351444.8
43,Gambia,threshold below $1.90 per day,223787.71
44,Myanmar,threshold below $1.90 per day,728152.28
45,Lesotho,threshold below $1.90 per day,568817.01
46,Egypt,threshold below $1.90 per day,2860944.45
47,Kiribati,threshold below $1.90 per day,12746.19
48,Zimbabwe,threshold below $1.90 per day,4820944.83
49,Zambia,threshold below $1.90 per day,9842772.89
50,Haiti,threshold below $1.90 per day,2257279.27
51,Mozambique,threshold below $1.90 per day,17823234.83
52,Laos,threshold below $1.90 per day,745345.88
53,Moldova,threshold below $1.90 per day,1687.38
54,Tajikistan,threshold below $1.90 per day,248271.6
55,Albania,threshold below $1.90 per day,36393.68
56,Djibouti,threshold below $1.90 per day,160562.48
57,Cameroon,threshold below $1.90 per day,5812051.11
58,Philippines,threshold below $1.90 per day,5903427.89
59,Indonesia,threshold below $1.90 per day,11790469.11
60,Algeria,threshold below $1.90 per day,136301.21
61,Kosovo,threshold below $1.90 per day,7884.73
62,Sao Tome and Principe,threshold below $1.90 per day,73803.5
63,Comoros,threshold below $1.90 per day,151739.75
64,Bhutan,threshold below $1.90 per day,11501.19
65,Armenia,threshold below $1.90 per day,25937.68
66,Ghana,threshold below $1.90 per day,3594853.39
67,Mongolia,threshold below $1.90 per day,16190.85
68,Georgia,threshold below $1.90 per day,185509.58
69,Eswatini,threshold below $1.90 per day,321772.04
70,Nauru,threshold below $1.90 per day,84.56
71,Palestine,threshold below $1.90 per day,39770.59
72,Kazakhstan,threshold below $1.90 per day,3502.46
73,Gabon,threshold below $1.90 per day,69899.23
74,Sri Lanka,threshold below $1.90 per day,176204.23
75,North Macedonia,threshold below $1.90 per day,94836.21
76,Vietnam,threshold below $1.90 per day,1698982.18
77,Tuvalu,threshold below $1.90 per day,83.58
78,Ukraine,threshold below $1.90 per day,10285.07
79,Tunisia,threshold below $1.90 per day,28147.36
80,El Salvador,threshold below $1.90 per day,121679.35
81,Turkmenistan,threshold below $1.90 per day,134826.7
82,Fiji,threshold below $1.90 per day,1857.97
83,Honduras,threshold below $1.90 per day,1455394.56
84,Guatemala,threshold below $1.90 per day,1191995.15
85,Botswana,threshold below $1.90 per day,308381.42
86,Samoa,threshold below $1.90 per day,1092.0
