,Entity,threshold below $1.90 per day,threshold $1.90 - $10 per day,threshold $10 - $30 per day,threshold Above $30 per day,share below $1.90 per day,share $1.90 - $10 per day,share $10 - $30 per day,share Above $30 per day,Population,cum_pop
2415,Guinea-Bissau,1173883.81,592097.73,62164.45999999996,0.0,0.6421171011505646,0.32387879852046825,0.03400410032896714,0.0,1828146.0,1828146.0
3839,Mali,8252743.79,10122569.630000003,137054.65999999642,25.92000000178814,0.4457955999640025,0.5467995997708347,0.007403400122101789,1.400143061010269e-06,18512394.0,20340540.0
5532,Somalia,10010433.42,4525268.98,52544.169999999925,872.429999999702,0.686157499983378,0.31018110003763766,0.0036015999321137846,5.980004687052741e-05,14589119.0,34929659.0
3683,Madagascar,19896905.11,5539934.210000001,132133.2100000009,1567.469999998808,0.7781182998090771,0.21665300028861342,0.005167400062728472,6.129983958097122e-05,25570540.0,60500199.0
816,Burundi,8475545.97,2314525.3999999985,35220.31000000052,1732.320000000298,0.7828140004123018,0.21377299985665485,0.003253000085711505,0.00015999964533193036,10827024.0,71327223.0
4513,Niger,9219695.26,12144404.26,234287.44999999925,4085.030000001192,0.4267888998999744,0.5621765999742993,0.010845400007924985,0.0001891001178013883,21602472.0,92929695.0
1518,Democratic Republic of Congo,59138432.37,21841445.449999996,400604.0200000107,18282.159999996424,0.7265273999737882,0.26832650001909114,0.004921500036536313,0.000224599970584276,81398764.0,174328459.0
5661,South Sudan,8533100.58,2336009.869999999,38532.44000000134,3116.109999999404,0.7820812997519238,0.2141015001797766,0.003531600322214187,0.00028559974608543767,10910759.0,185239218.0
6187,Timor,268241.02,959443.54,15147.270000000019,429.1699999999255,0.21575599974582974,0.7717153035444689,0.012183499683493667,0.00034519702620763095,1243261.0,186482479.0
4552,Nigeria,78947052.9,109218185.73999998,2641343.050000012,66729.31000000238,0.4136096999962452,0.5722025000132155,0.013838199988053919,0.0003496000024854307,190873311.0,377355790.0
6914,Yemen,14870981.36,12702749.02,244612.41000000015,16478.210000000894,0.5342581998281936,0.45636180020701406,0.00878800010964684,0.000591999855145499,27834821.0,405190611.0
6226,Togo,3687845.9,3841494.3699999996,164208.48000000045,4926.25,0.4790358999672013,0.4989941995005504,0.02133000107164087,0.000639899460607458,7698475.0,412889086.0
5410,Sierra Leone,3294328.54,4067057.4799999995,121948.35000000056,5096.629999999888,0.4399224002998759,0.5431120991833936,0.016284900001081744,0.0006806005156487238,7488431.0,420377517.0
3566,Liberia,2094622.04,2565260.05,38945.73000000045,3400.179999999702,0.4454531001048865,0.5455414007997911,0.008282399322193745,0.0007230997731287598,4702228.0,425079745.0
3722,Malawi,12138950.88,5374623.389999999,142779.2400000021,13906.48999999836,0.6869706999217895,0.3041621000483297,0.008080200291337087,0.0007869997385436525,17670260.0,442750005.0
777,Burkina Faso,7375399.4,11402806.799999999,397381.58999999985,17696.210000000894,0.38426979979038506,0.5941040001283782,0.020704199969114188,0.0009220001121225995,19193284.0,461943289.0
2376,Guinea,2936053.96,8865943.670000002,253598.12999999896,11943.240000000224,0.24330179997760934,0.7346935999129567,0.021014900386897357,0.0009896997225366517,12067539.0,474010828.0
1011,Chad,6133916.28,8443272.23,424507.6500000004,15076.839999999851,0.4084709997281041,0.5622561005616853,0.028268899716337215,0.0010039999938735074,15016773.0,489027601.0
1908,Ethiopia,26239043.92,77140145.08,2887143.370000005,133691.62999999523,0.2466075000133459,0.7250011999997293,0.027134799988391026,0.00125649999853379,106400024.0,595427625.0
504,Benin,5333790.77,5449187.040000001,377624.6699999999,14601.519999999553,0.47728800029064344,0.48761409993052485,0.033791299917209555,0.0013065998616221728,11175204.0,606602829.0
4825,Papua New Guinea,2277774.21,5661228.91,487578.0100000007,11447.86999999918,0.26994150055658733,0.6709183993086537,0.05778340060220233,0.0013566995325566174,8438029.0,615040858.0
5293,Senegal,4716518.81,9960732.010000002,720584.6799999997,21545.5,0.3058825000822017,0.6459878000290674,0.04673239995820842,0.0013972999305225029,15419381.0,630460239.0
6128,Tanzania,26854676.97,26658761.53,1069231.4699999988,81236.03000000119,0.49126889999408385,0.4876848999776928,0.01956010004114962,0.0014860999870737594,54663906.0,685124145.0
3234,Kenya,17632357.4,30760787.810000002,1743845.2299999967,84482.56000000238,0.3510920000295491,0.6125026999905001,0.034723100017396875,0.0016821999625539136,50221473.0,735345618.0
5523,Solomon Islands,144734.26,466793.69999999995,23430.170000000042,1079.8699999999953,0.22755599508205487,0.7339085086111207,0.036837688943113525,0.0016978073637109658,636038.0,735981656.0
6724,Uzbekistan,4112021.03,26450681.36,1764945.5,60952.109999999404,0.1269589000450776,0.8166663999061398,0.05449279993577987,0.0018819001130027048,32388600.0,768370256.0
5137,Rwanda,6747154.53,5009058.430000001,201140.75999999978,23583.27999999933,0.5631575001187303,0.4180856998079533,0.016788399772071232,0.0019684003012451637,11980937.0,780351193.0
6490,Uganda,17022539.82,22673471.200000003,1384676.509999998,81777.46999999881,0.4135451999776981,0.5508287999759004,0.03363930002734282,0.0019867000190585964,41162465.0,821513658.0
348,Bangladesh,18125294.77,135700428.44,5511493.560000002,333376.2299999893,0.11351679999084115,0.8498774000294469,0.034517899986755876,0.0020878999929560558,159670593.0,981184251.0
6011,Syria,4334958.46,12053458.850000001,643733.3499999996,35851.33999999985,0.2539816001896414,0.7062020996950904,0.03771580000986639,0.0021005001054019007,17068002.0,998252253.0
4396,Nepal,1648619.34,23983909.19,1933868.289999999,60727.1799999997,0.05967394000186194,0.8681290600498265,0.06999889999407825,0.0021980999542333722,27627124.0,1025879377.0
3332,Kyrgyzstan,67102.83,5656404.3,459703.7599999998,14989.110000000335,0.010826180181342971,0.9125882191604013,0.07416730018392433,0.0024183004743313116,6198200.0,1032077577.0
3917,Mauritania,247073.09,3589927.7800000003,435011.01999999955,10562.110000000335,0.057692661002471876,0.8382640393370904,0.10157700018727045,0.0024662994731673837,4282574.0,1036360151.0
1362,Cote d'Ivoire,6230183.65,16793553.33,1347017.7300000004,66714.2899999991,0.25494389987768373,0.687205100086265,0.0551210000511919,0.002729999984859279,24437469.0,1060797620.0
2922,Iraq,464086.28,31885336.32,5088570.809999995,114787.59000000358,0.01235823999293155,0.849080559972376,0.13550449991972618,0.003056700114966281,37552781.0,1098350401.0
1284,Congo,2466578.11,2453079.2100000004,173323.83000000007,17720.849999999627,0.4826300007317977,0.4799887001824799,0.03391389871684948,0.003467400368872931,5110702.0,1103461103.0
114,Angola,13438187.68,15246999.830000002,1022416.2799999975,109144.2100000009,0.450692600011242,0.5113569001555771,0.03428999970083919,0.0036605001323417596,29816748.0,1133277851.0
972,Central African Republic,3326297.13,1173805.79,78369.62999999989,17555.450000000186,0.7237329994508301,0.25539570037432324,0.01705159977267325,0.0038197004021733954,4596028.0,1137873879.0
6763,Vanuatu,42211.25,224117.84999999998,18046.600000000035,1134.2999999999884,0.14784508423522819,0.7849737312178207,0.06320829393016018,0.003972890616790964,285510.0,1138159389.0
5817,Sudan,4171169.88,34416749.18,2059305.1999999955,166171.7400000021,0.10220099988738991,0.8432709000740836,0.05045660008297265,0.00407149995555386,40813396.0,1178972785.0
