Entity,Year,18-24 years old,25-49 years old,50-64 years old,Over 65s
Flexitarian,191,0.11,0.12,0.12,0.16
Meat eater,191,0.67,0.73,0.75,0.75
None of these,191,0.04,0.03,0.03,0.04
Pescetarian,191,0.01,0.03,0.03,0.03
Plant-based / Vegan,191,0.07,0.03,0.02,0
Vegetarian,191,0.1,0.06,0.04,0.02
Flexitarian,366,0.17,0.16,0.14,0.15
Meat eater,366,0.62,0.68,0.77,0.77
None of these,366,0.05,0.04,0.01,0.04
Pescetarian,366,0.02,0.02,0.03,0.02
Plant-based / Vegan,366,0.05,0.02,0.01,0.01
Vegetarian,366,0.09,0.07,0.03,0.02
Flexitarian,555,0.13,0.12,0.14,0.15
Meat eater,555,0.6,0.72,0.73,0.78
None of these,555,0.08,0.04,0.03,0.03
Pescetarian,555,0.03,0.03,0.02,0.03
Plant-based / Vegan,555,0.07,0.02,0.02,0
Vegetarian,555,0.09,0.07,0.05,0.02
Flexitarian,730,0.13,0.13,0.14,0.15
Meat eater,730,0.65,0.73,0.77,0.75
None of these,730,0.04,0.02,0.02,0.03
Pescetarian,730,0.05,0.03,0.02,0.03
Plant-based / Vegan,730,0.02,0.02,0.02,0.01
Vegetarian,730,0.11,0.06,0.04,0.02
Flexitarian,919,0.11,0.15,0.16,0.13
Meat eater,919,0.55,0.66,0.71,0.75
None of these,919,0.11,0.04,0.03,0.03
Pescetarian,919,0.05,0.03,0.02,0.04
Plant-based / Vegan,919,0.09,0.04,0.02,0
Vegetarian,919,0.1,0.08,0.05,0.05
Flexitarian,1094,0.2,0.16,0.14,0.13
Meat eater,1094,0.52,0.68,0.73,0.78
None of these,1094,0.09,0.05,0.03,0.02
Pescetarian,1094,0.04,0.03,0.02,0.03
Plant-based / Vegan,1094,0.05,0.02,0.03,0
Vegetarian,1094,0.1,0.05,0.05,0.03
