country,year,region
ITA,1820,Western Europe
NLD,1820,Western Europe
PRT,1820,Western Europe
SWE,1820,Western Europe
GBR,1820,Western Europe
AUT,1830,Western Europe
DNK,1830,Western Europe
FRA,1830,Western Europe
ITA,1830,Western Europe
NLD,1830,Western Europe
NOR,1830,Western Europe
PRT,1830,Western Europe
SWE,1830,Western Europe
GBR,1830,Western Europe
AUT,1840,Western Europe
DNK,1840,Western Europe
FRA,1840,Western Europe
GRC,1840,Western Europe
ITA,1840,Western Europe
NLD,1840,Western Europe
NOR,1840,Western Europe
PRT,1840,Western Europe
SWE,1840,Western Europe
GBR,1840,Western Europe
AUT,1850,Western Europe
BEL,1850,Western Europe
DNK,1850,Western Europe
FIN,1850,Western Europe
FRA,1850,Western Europe
DEU,1850,Western Europe
GRC,1850,Western Europe
ITA,1850,Western Europe
NLD,1850,Western Europe
NOR,1850,Western Europe
PRT,1850,Western Europe
ESP,1850,Western Europe
SWE,1850,Western Europe
GBR,1850,Western Europe
AUT,1860,Western Europe
BEL,1860,Western Europe
DNK,1860,Western Europe
FIN,1860,Western Europe
FRA,1860,Western Europe
DEU,1860,Western Europe
GRC,1860,Western Europe
ITA,1860,Western Europe
NLD,1860,Western Europe
NOR,1860,Western Europe
PRT,1860,Western Europe
ESP,1860,Western Europe
SWE,1860,Western Europe
CHE,1860,Western Europe
GBR,1860,Western Europe
AUT,1950,Western Europe
BEL,1950,Western Europe
DNK,1950,Western Europe
FIN,1950,Western Europe
FRA,1950,Western Europe
DEU,1950,Western Europe
GRC,1950,Western Europe
ISL,1950,Western Europe
ITA,1950,Western Europe
LUX,1950,Western Europe
NLD,1950,Western Europe
NOR,1950,Western Europe
PRT,1950,Western Europe
ESP,1950,Western Europe
SWE,1950,Western Europe
CHE,1950,Western Europe
GBR,1950,Western Europe
AUS,1820,Western Offshoots
CAN,1820,Western Offshoots
NZL,1820,Western Offshoots
USA,1820,Western Offshoots
BGR,1910,Eastern Europe
CSK,1910,Eastern Europe
HUN,1910,Eastern Europe
