country,Our World In Data Name,year,region
ITA,Italy,1820,Western Europe
NLD,Netherlands,1820,Western Europe
PRT,Portugal,1820,Western Europe
SWE,Sweden,1820,Western Europe
GBR,United Kingdom,1820,Western Europe
AUT,Austria,1830,Western Europe
DNK,Denmark,1830,Western Europe
FRA,France,1830,Western Europe
ITA,Italy,1830,Western Europe
NLD,Netherlands,1830,Western Europe
NOR,Norway,1830,Western Europe
PRT,Portugal,1830,Western Europe
SWE,Sweden,1830,Western Europe
GBR,United Kingdom,1830,Western Europe
AUT,Austria,1840,Western Europe
DNK,Denmark,1840,Western Europe
FRA,France,1840,Western Europe
GRC,Greece,1840,Western Europe
ITA,Italy,1840,Western Europe
NLD,Netherlands,1840,Western Europe
NOR,Norway,1840,Western Europe
PRT,Portugal,1840,Western Europe
SWE,Sweden,1840,Western Europe
GBR,United Kingdom,1840,Western Europe
AUT,Austria,1850,Western Europe
BEL,Belarus,1850,Western Europe
DNK,Denmark,1850,Western Europe
FIN,Finland,1850,Western Europe
FRA,France,1850,Western Europe
DEU,Germany,1850,Western Europe
GRC,Greece,1850,Western Europe
ITA,Italy,1850,Western Europe
NLD,Netherlands,1850,Western Europe
NOR,Norway,1850,Western Europe
PRT,Portugal,1850,Western Europe
ESP,Spain,1850,Western Europe
SWE,Sweden,1850,Western Europe
GBR,United Kingdom,1850,Western Europe
AUT,Austria,1860,Western Europe
BEL,Belarus,1860,Western Europe
DNK,Denmark,1860,Western Europe
FIN,Finland,1860,Western Europe
FRA,France,1860,Western Europe
DEU,Germany,1860,Western Europe
GRC,Greece,1860,Western Europe
ITA,Italy,1860,Western Europe
NLD,Netherlands,1860,Western Europe
NOR,Norway,1860,Western Europe
PRT,Portugal,1860,Western Europe
ESP,Spain,1860,Western Europe
SWE,Sweden,1860,Western Europe
CHE,Switzerland,1860,Western Europe
GBR,United Kingdom,1860,Western Europe
AUT,Austria,1950,Western Europe
BEL,Belarus,1950,Western Europe
DNK,Denmark,1950,Western Europe
FIN,Finland,1950,Western Europe
FRA,France,1950,Western Europe
DEU,Germany,1950,Western Europe
GRC,Greece,1950,Western Europe
ISL,Iceland,1950,Western Europe
ITA,Italy,1950,Western Europe
LUX,Luxembourg,1950,Western Europe
NLD,Netherlands,1950,Western Europe
NOR,Norway,1950,Western Europe
PRT,Portugal,1950,Western Europe
ESP,Spain,1950,Western Europe
SWE,Sweden,1950,Western Europe
CHE,Switzerland,1950,Western Europe
GBR,United Kingdom,1950,Western Europe
AUS,Australia,1820,Western Offshoots
CAN,Canada,1820,Western Offshoots
NZL,New Zealand,1820,Western Offshoots
