"","country","year","reporting_level","top1_share_gpinter"
"1","Albania",1996,"national",0.0323979951235956
"2","Albania",2002,"national",0.0577288103117844
"3","Albania",2005,"national",0.0465394276831408
"4","Albania",2008,"national",0.0669073253180685
"5","Albania",2012,"national",0.0412720957002361
"6","Albania",2014,"national",0.0463510471505176
"7","Albania",2015,"national",0.0443709682473411
"8","Albania",2019,"national",0.0403415141329117
"9","Algeria",1988,"national",0.0800417452778967
"10","Algeria",1995,"national",0.0532491997933768
"11","Algeria",2011,"national",0.0445514265065033
"12","Angola",2000,"national",0.152291556435649
"13","Angola",2008,"national",0.0933241307047648
"14","Angola",2018,"national",0.140572986730242
"15","Argentina",1980,"urban",0.066510409075578
"16","Argentina",1987,"urban",0.084043724818067
"17","Argentina",1991,"urban",0.0992483881025847
"18","Argentina",1993,"urban",0.0671708412610557
"19","Argentina",1998,"urban",0.106820000434055
"20","Argentina",2003,"urban",0.0817369095706393
"21","Argentina",2004,"urban",0.0841079863028313
"22","Argentina",2005,"urban",0.0761433011232919
"23","Argentina",2006,"urban",0.0757428978156945
"24","Argentina",2007,"urban",0.0728946252346621
"25","Argentina",2008,"urban",0.0703793633141351
"26","Argentina",2009,"urban",0.0623864112479183
"27","Argentina",2010,"urban",0.0669494862613706
"28","Argentina",2011,"urban",0.0626217420479511
"29","Argentina",2012,"urban",0.0621868244498059
"30","Argentina",2013,"urban",0.0592120350907423
"31","Argentina",2014,"urban",0.0625762527099174
"32","Argentina",2016,"urban",0.0626114784122379
"33","Argentina",2017,"urban",0.0614812422744967
"34","Argentina",2018,"urban",0.061783474116805
"35","Argentina",2019,"urban",0.0631182562079687
"36","Argentina",2020,"urban",0.0567058760225311
"37","Armenia",1996,"national",0.107326469232127
"38","Armenia",1999,"national",0.0903698334111548
"39","Armenia",2001,"national",0.0665553274047928
"40","Armenia",2002,"national",0.0721192008641742
"41","Armenia",2003,"national",0.0894187797507669
"42","Armenia",2004,"national",0.0985248472844409
"43","Armenia",2005,"national",0.0948202913212396
"44","Armenia",2006,"national",0.0517787102116421
"45","Armenia",2007,"national",0.0476671200794699
"46","Armenia",2008,"national",0.0424987996786853
"47","Armenia",2009,"national",0.0415333384966328
"48","Armenia",2010,"national",0.0500682935427807
"49","Armenia",2011,"national",0.0587918471503193
"50","Armenia",2012,"national",0.0742050990881013
"51","Armenia",2013,"national",0.0459022237172725
"52","Armenia",2014,"national",0.110573593423983
"53","Armenia",2015,"national",0.0759083034206502
"54","Armenia",2016,"national",0.0434764512137768
"55","Armenia",2017,"national",0.0859296701152557
"56","Armenia",2018,"national",0.101473340173574
"57","Armenia",2019,"national",0.0509563592532434
"58","Armenia",2020,"national",0.042614894027863
"59","Australia",1981,"national",0.0380176640044582
"60","Australia",1985,"national",0.0398271076721921
"61","Australia",1989,"national",0.0411279320615036
"62","Australia",1995,"national",0.0448399000485333
"63","Australia",2001,"national",0.037066989438303
"64","Australia",2003,"national",0.042496842265944
"65","Australia",2004,"national",0.0474764404398012
"66","Austria",1994,"national",0.0463422393407985
"67","Austria",1995,"national",0.0363077614085486
"68","Austria",1997,"national",0.0493645487417005
"69","Austria",2000,"national",0.0386610141086799
"70","Austria",2003,"national",0.0467958322850407
"71","Austria",2004,"national",0.044696543425029
"72","Austria",2005,"national",0.0433403492177914
"73","Austria",2006,"national",0.0492596316870525
"74","Austria",2007,"national",0.0445439891964868
"75","Austria",2008,"national",0.0583267613531965
"76","Austria",2010,"national",0.0487417516825941
"77","Austria",2011,"national",0.0441507530414006
"78","Austria",2012,"national",0.0499945437301799
"79","Austria",2013,"national",0.0615518791077904
"80","Austria",2014,"national",0.0564554733417652
"81","Austria",2015,"national",0.0458139160206431
"82","Austria",2016,"national",0.0352611587409389
"83","Austria",2017,"national",0.0482758381804375
"84","Austria",2018,"national",0.0398434453569886
"85","Austria",2019,"national",0.035818804015109
"86","Azerbaijan",1995,"national",0.047865225170257
"87","Azerbaijan",2001,"national",0.071041580792201
"88","Azerbaijan",2002,"national",0.0497819263474266
"89","Azerbaijan",2003,"national",0.0539745571516622
"90","Azerbaijan",2004,"national",0.0602751511659829
"91","Azerbaijan",2005,"national",0.0523709237260628
"92","Bangladesh",1983,"national",0.0434509574789677
"93","Bangladesh",1985,"national",0.0536625534868269
"94","Bangladesh",1988,"national",0.0589986108513985
"95","Bangladesh",1991,"national",0.0471500245866967
"96","Bangladesh",1995,"national",0.0763376000569589
"97","Bangladesh",2000,"national",0.0617052165318249
"98","Bangladesh",2005,"national",0.0714247033022629
"99","Bangladesh",2010,"national",0.0638348390622583
"100","Bangladesh",2016,"national",0.0584616969214605
"101","Belarus",1993,"national",0.0330953037729491
"102","Belarus",1995,"national",0.0412992769081724
"103","Belarus",1998,"national",0.0439983379711933
"104","Belarus",1999,"national",0.0475468174912646
"105","Belarus",2000,"national",0.0554646527133795
"106","Belarus",2001,"national",0.0435391648959751
"107","Belarus",2002,"national",0.0426112740405277
"108","Belarus",2003,"national",0.0366634111349868
"109","Belarus",2004,"national",0.0341135213571097
"110","Belarus",2005,"national",0.0412523874736069
"111","Belarus",2006,"national",0.0371582874003723
"112","Belarus",2007,"national",0.0385231465244536
"113","Belarus",2008,"national",0.037308397325747
"114","Belarus",2009,"national",0.04309744674136
"115","Belarus",2010,"national",0.0405846806969263
"116","Belarus",2011,"national",0.0377609399155692
"117","Belarus",2012,"national",0.0428660441260311
"118","Belarus",2013,"national",0.0366925033684816
"119","Belarus",2014,"national",0.0449572239222053
"120","Belarus",2015,"national",0.0378684867235784
"121","Belarus",2016,"national",0.0392236087050344
"122","Belarus",2017,"national",0.0387787771577987
"123","Belarus",2018,"national",0.0420697779813666
"124","Belarus",2019,"national",0.0379569073821186
"125","Belarus",2020,"national",0.0367995985475285
"126","Belgium",1985,"national",0.0354995218670656
"127","Belgium",1988,"national",0.0422533287615949
"128","Belgium",1992,"national",0.0288420527811659
"129","Belgium",1995,"national",0.0427270441647264
"130","Belgium",1997,"national",0.0371357036249569
"131","Belgium",2000,"national",0.0521688027158489
"132","Belgium",2003,"national",0.0374458798017423
"133","Belgium",2004,"national",0.040716058407244
"134","Belgium",2005,"national",0.0437817683064615
"135","Belgium",2006,"national",0.040027180726016
"136","Belgium",2007,"national",0.0446113732823378
"137","Belgium",2008,"national",0.0421402860384006
"138","Belgium",2009,"national",0.0429394908149808
"139","Belgium",2010,"national",0.0405848529118739
"140","Belgium",2011,"national",0.0393097954925448
"141","Belgium",2012,"national",0.0361504543238765
"142","Belgium",2013,"national",0.0395593154844846
"143","Belgium",2014,"national",0.0378847606651903
"144","Belgium",2015,"national",0.0361682289381852
"145","Belgium",2016,"national",0.037750298663274
"146","Belgium",2017,"national",0.0433201173934838
"147","Belgium",2018,"national",0.0408805316134712
"148","Belgium",2019,"national",0.0441361832943976
"149","Belize",1995,"national",0.135567130784538
"150","Benin",2003,"national",0.0831317700547509
"151","Benin",2011,"national",0.0881889120827193
"152","Benin",2015,"national",0.107167605048941
"153","Benin",2018,"national",0.0729193201392392
"154","Bhutan",2003,"national",0.0961999806732811
"155","Bhutan",2007,"national",0.0615339722507724
"156","Bhutan",2012,"national",0.0770601491323704
"157","Bhutan",2017,"national",0.0471210808716367
"158","Bolivia",1990,"urban",0.0720301236282615
"159","Bolivia",1992,"urban",0.145639601761339
"160","Bolivia",1997,"national",0.176581263316058
"161","Bolivia",1999,"national",0.117307706235732
"162","Bolivia",2000,"national",0.202135518905869
"163","Bolivia",2001,"national",0.157893986868219
"164","Bolivia",2002,"national",0.177992632540461
"165","Bolivia",2004,"national",0.150427863309731
"166","Bolivia",2005,"national",0.139819394423447
"167","Bolivia",2006,"national",0.131414200555878
"168","Bolivia",2007,"national",0.109574987399453
"169","Bolivia",2008,"national",0.115040014582746
"170","Bolivia",2009,"national",0.090370359468782
"171","Bolivia",2011,"national",0.0691623196765313
"172","Bolivia",2012,"national",0.0771221736229094
"173","Bolivia",2013,"national",0.0882058739367096
"174","Bolivia",2014,"national",0.0920256567847691
"175","Bolivia",2015,"national",0.0935808811191733
"176","Bolivia",2016,"national",0.0736797156639425
"177","Bolivia",2017,"national",0.068857718623517
"178","Bolivia",2018,"national",0.064137880146103
"179","Bolivia",2019,"national",0.0717979827443185
"180","Bolivia",2020,"national",0.0783657326899478
"181","Bosnia and Herzegovina",2001,"national",0.0435961774215059
"182","Bosnia and Herzegovina",2004,"national",0.0497447517630417
"183","Bosnia and Herzegovina",2007,"national",0.045356968206447
"184","Bosnia and Herzegovina",2011,"national",0.046050629516471
"185","Botswana",1985,"national",0.148038022718146
"186","Botswana",1993,"national",0.110140102819523
"187","Botswana",2002,"national",0.187962236827023
"188","Botswana",2009,"national",0.234154582815517
"189","Botswana",2015,"national",0.110829240612699
"190","Brazil",1981,"national",0.138209487754103
"191","Brazil",1982,"national",0.147008515161916
"192","Brazil",1983,"national",0.145581687772529
"193","Brazil",1984,"national",0.140271792404691
"194","Brazil",1985,"national",0.109384164115624
"195","Brazil",1986,"national",0.137416136617747
"196","Brazil",1987,"national",0.15152649882031
"197","Brazil",1988,"national",0.161000897372678
"198","Brazil",1989,"national",0.165636858763445
"199","Brazil",1990,"national",0.151465225759021
"200","Brazil",1992,"national",0.103968686124447
"201","Brazil",1993,"national",0.169673007585588
"202","Brazil",1995,"national",0.150969012310413
"203","Brazil",1996,"national",0.159340430838663
"204","Brazil",1997,"national",0.160830000278866
"205","Brazil",1998,"national",0.174327187810755
"206","Brazil",1999,"national",0.147179820748481
"207","Brazil",2001,"national",0.161070499784611
"208","Brazil",2002,"national",0.14983498391274
"209","Brazil",2003,"national",0.144080805919025
"210","Brazil",2004,"national",0.137175376315839
"211","Brazil",2005,"national",0.141721297666704
"212","Brazil",2006,"national",0.140100945498176
"213","Brazil",2007,"national",0.139440952851229
"214","Brazil",2008,"national",0.131031832692125
"215","Brazil",2009,"national",0.130437007128967
"216","Brazil",2011,"national",0.133567243437855
"217","Brazil",2012,"national",0.133862819965904
"218","Brazil",2013,"national",0.142015322925122
"219","Brazil",2014,"national",0.127927118898877
"220","Brazil",2015,"national",0.124668927823806
"221","Brazil",2016,"national",0.133429725274634
"222","Brazil",2017,"national",0.124085643283073
"223","Brazil",2018,"national",0.137485458525581
"224","Brazil",2019,"national",0.142976214655555
"225","Brazil",2020,"national",0.11800558791429
"226","Bulgaria",1989,"national",0.0317558697573975
"227","Bulgaria",1992,"national",0.0546232166758431
"228","Bulgaria",1994,"national",0.0400160334749892
"229","Bulgaria",1995,"national",0.0540952703466327
"230","Bulgaria",1997,"national",0.0475203952944556
"231","Bulgaria",2001,"national",0.0478896988748395
"232","Bulgaria",2003,"national",0.0480780844324179
"233","Bulgaria",2006,"national",0.0548266645605768
"234","Bulgaria",2008,"national",0.0475004520599502
"235","Bulgaria",2009,"national",0.0655357868666622
"236","Bulgaria",2010,"national",0.0640931324341116
"237","Bulgaria",2011,"national",0.0597429235249235
"238","Bulgaria",2012,"national",0.0515911835119711
"239","Bulgaria",2013,"national",0.0616962240166662
"240","Bulgaria",2014,"national",0.0675228371938224
"241","Bulgaria",2015,"national",0.0901091084622518
"242","Bulgaria",2016,"national",0.123759775759552
"243","Bulgaria",2017,"national",0.113804181266155
"244","Bulgaria",2018,"national",0.0961270343212817
"245","Bulgaria",2019,"national",0.0971699309860595
"246","Burkina Faso",1994,"national",0.120452947706688
"247","Burkina Faso",1998,"national",0.138090280249339
"248","Burkina Faso",2003,"national",0.0909621645290672
"249","Burkina Faso",2009,"national",0.109691166709203
"250","Burkina Faso",2014,"national",0.0773360028188033
"251","Burkina Faso",2018,"national",0.0751953522289212
"252","Burundi",1992,"national",0.0595205683307982
"253","Burundi",1998,"national",0.103051223052485
"254","Burundi",2006,"national",0.0663238964145473
"255","Burundi",2013,"national",0.0793629355755892
"256","Cabo Verde",2001,"national",0.125953811637811
"257","Cabo Verde",2007,"national",0.0907410507324048
"258","Cabo Verde",2015,"national",0.0748525635258
"259","Cameroon",1996,"national",0.137512540804408
"260","Cameroon",2001,"national",0.08526891447261
"261","Cameroon",2007,"national",0.0828285890063789
"262","Cameroon",2014,"national",0.076492245162546
"263","Canada",1971,"national",0.0523569671816839
"264","Canada",1975,"national",0.0440392770836925
"265","Canada",1981,"national",0.0452243171993269
"266","Canada",1987,"national",0.0417612487108597
"267","Canada",1991,"national",0.0403240143919196
"268","Canada",1994,"national",0.0398886751474501
"269","Canada",1997,"national",0.0392622415686795
"270","Canada",1998,"national",0.0494253339366251
"271","Canada",2000,"national",0.0471567923111955
"272","Canada",2004,"national",0.04152869042114
"273","Canada",2007,"national",0.0315634204098662
"274","Central African Republic",2008,"national",0.246916965310788
"275","Chad",2003,"national",0.0731209381721472
"276","Chad",2011,"national",0.0694658743015029
"277","Chad",2018,"national",0.0701167934794863
"278","Chile",1987,"national",0.138637905624798
"279","Chile",1990,"national",0.147400755756782
"280","Chile",1992,"national",0.194906097245496
"281","Chile",1994,"national",0.165660490002613
"282","Chile",1996,"national",0.164505129381339
"283","Chile",1998,"national",0.151481660012835
"284","Chile",2000,"national",0.147788683074964
"285","Chile",2003,"national",0.129545613498676
"286","Chile",2006,"national",0.123277070273021
"287","Chile",2009,"national",0.122288198039853
"288","Chile",2011,"national",0.101220651120867
"289","Chile",2013,"national",0.0955097598667048
"290","Chile",2015,"national",0.100013691040038
"291","Chile",2017,"national",0.100365243521405
"292","Chile",2020,"national",0.0903780494202994
"293","China",1981,"national",0.0310625510574317
"294","China",1981,"urban",0.0254746122708008
"295","China",1984,"national",0.035968058073632
"296","China",1984,"rural",0.0418955144101775
"297","China",1984,"urban",0.0251076502803165
"298","China",1987,"national",0.0398269139504304
"299","China",1987,"rural",0.046513982388781
"300","China",1987,"urban",0.0284358158245493
"301","China",1990,"national",0.0521249029017636
"302","China",1990,"rural",0.0638308098938291
"303","China",1990,"urban",0.0346533950856323
"304","China",1993,"urban",0.0451290480423091
"305","China",1996,"national",0.0606490729689113
"306","China",1996,"rural",0.071043311336496
"307","China",1996,"urban",0.044733582582462
"308","China",1999,"national",0.0677788999522913
"309","China",1999,"rural",0.0776783943777861
"310","China",1999,"urban",0.0499355275532368
"311","China",2002,"national",0.0718573355881826
"312","China",2002,"rural",0.0875059684947198
"313","China",2002,"urban",0.0580884857065084
"314","China",2005,"national",0.069154981903747
"315","China",2005,"rural",0.0747018054807927
"316","China",2005,"urban",0.0620046751421347
"317","China",2008,"national",0.0826643402257321
"318","China",2008,"rural",0.0896228215433529
"319","China",2008,"urban",0.0708384827870771
"320","China",2010,"national",0.086547503958232
"321","China",2010,"rural",0.0961408596073642
"322","China",2010,"urban",0.0732605131047254
"323","China",2011,"national",0.0832000725019974
"324","China",2011,"rural",0.0861701439429673
"325","China",2011,"urban",0.072970041064309
"326","China",2012,"national",0.0813412370572667
"327","China",2012,"rural",0.0893951544795253
"328","China",2012,"urban",0.0698148629267365
"329","China",2013,"national",0.0711780264316484
"330","China",2013,"rural",0.0632827402287062
"331","China",2013,"urban",0.0672965100728227
"332","China",2014,"national",0.0675461753348746
"333","China",2014,"rural",0.061533098770134
"334","China",2014,"urban",0.0630260174768711
"335","China",2015,"national",0.0665955348703555
"336","China",2015,"rural",0.0597462567364976
"337","China",2015,"urban",0.0635212738468778
"338","China",2016,"national",0.0658444224822111
"339","China",2016,"rural",0.0597407957395059
"340","China",2016,"urban",0.0617012168695924
"341","China",2017,"national",0.0699172905168358
"342","China",2017,"rural",0.0667254512188778
