country,series_code,indicator_name,year_1980,value_1980,year_2018,value_2018,pipwelfare_1980,pipwelfare_2018,pipreportinglevel_1980,pipreportinglevel_2018,region,population_1980,population_1980_total,weight_1980,weightedvalue_1980,population_2018,population_2018_total,weight_2018,weightedvalue_2018
Argentina,gini_pip_disposable_perCapita,gini,1980,0.40830859541893005,2018,0.4134249985218048,income,income,urban,urban,LAC,28024808.0,2961575629.0,0.009462803423143647,0.003863743974429226,44413592.0,5016756072.0,0.008853049931585352,0.0036600721548791385
Australia,gini_pip_disposable_perCapita,gini,1981,0.3132578730583191,2018,0.34333762526512146,income,income,national,national,W. Offshoots,14706329.0,2961575629.0,0.004965711108639056,0.0015555481001143384,24979228.0,5016756072.0,0.0049791593694213,0.0017095327537136888
Bangladesh,gini_pip_disposable_perCapita,gini,1983,0.2587648928165436,2016,0.3238527178764343,consumption,consumption,national,national,S & SE Asia,83929768.0,2961575629.0,0.028339565999312186,0.00733328475827938,163683952.0,5016756072.0,0.03262744882366687,0.010566487978918786
Belgium,gini_pip_disposable_perCapita,gini,1985,0.25203850865364075,2018,0.2721441388130188,income,income,national,national,W. Europe,9828989.0,2961575629.0,0.00331883775101122,0.000836474917228271,11448598.0,5016756072.0,0.0022820718878276765,0.0006210524886222631
Botswana,gini_pip_disposable_perCapita,gini,1985,0.5421210527420044,2015,0.5332502722740173,consumption,consumption,national,national,SS Africa,938582.0,2961575629.0,0.0003169198148476525,0.00017180890366001047,2451411.0,5016756072.0,0.0004886446470224156,0.00026056989106994417
Brazil,gini_pip_disposable_perCapita,gini,1981,0.5793085098266602,2018,0.5387094616889954,income,income,national,national,LAC,122288384.0,2961575629.0,0.041291663397868945,0.023920611991283505,210166592.0,5016756072.0,0.041892926222385406,0.02256811573383804
Canada,gini_pip_disposable_perCapita,gini,1979,0.3347417116165161,2018,0.32509270310401917,income,income,national,national,W. Offshoots,24511512.0,2961575629.0,0.008276510570920827,0.0027704933147222268,37035260.0,5016756072.0,0.007382312288752635,0.0023999358571086126
China,gini_pip_disposable_perCapita,gini,1981,0.2816409766674042,2018,0.38497641682624817,income,consumption,national,national,East Asia,982372480.0,2961575629.0,0.33170602512410124,0.09342200888241438,1417069440.0,5016756072.0,0.2824672795851255,0.10874324116533966
Colombia,gini_pip_disposable_perCapita,gini,1980,0.5912672877311707,2018,0.5041870474815369,income,income,urban,national,LAC,26176206.0,2961575629.0,0.00883860798410156,0.0052259797700788,49276968.0,5016756072.0,0.009822476375726008,0.004952365362834442
Costa Rica,gini_pip_disposable_perCapita,gini,1981,0.47494763135910034,2018,0.47972404956817627,income,income,national,national,LAC,2414306.0,2961575629.0,0.0008152099768646496,0.00038718204757217235,5040738.0,5016756072.0,0.0010047803655700643,0.0004820173058978638
Cote d'Ivoire,gini_pip_disposable_perCapita,gini,1985,0.455262690782547,2018,0.37168875336647034,consumption,consumption,national,national,SS Africa,8303818.0,2961575629.0,0.0028038514089217606,0.0012764889369801563,25493990.0,5016756072.0,0.005081767906215234,0.0018888359779588785
Ethiopia,gini_pip_disposable_perCapita,gini,1981,0.3242495656013489,2015,0.3499312400817871,consumption,consumption,rural,national,SS Africa,34945472.0,2961575629.0,0.01179962168036871,0.0038260222041198127,111129440.0,5016756072.0,0.022151653061277244,0.0077515554255942615
France,gini_pip_disposable_perCapita,gini,1979,0.34042617678642273,2018,0.32380688190460205,income,income,national,national,W. Europe,53713836.0,2961575629.0,0.018136911809386043,0.006174279545981811,64277812.0,5016756072.0,0.01281262454811257,0.004148816003938693
