Country,Year,Budget
United States,1959,2320435288.422745
United States,1960,3622571944.365231
United States,1961,6577309549.75471
United States,1962,12326662764.067799
United States,1963,24521545950.14919
United States,1964,33619086227.817825
United States,1965,34020007663.023254
United States,1966,32831229324.17647
United States,1967,30586032658.772655
United States,1968,27302171188.38549
United States,1969,22709367979.323406
United States,1970,20231900967.71281
United States,1971,17019923719.469322
United States,1972,16226362318.09382
United States,1973,16016951127.505522
United States,1974,13330551485.867496
United States,1975,12847750181.485909
United States,1976,13212041458.41361
United States,1977,13445146345.613829
United States,1978,13793091635.43535
United States,1979,14263654474.256062
United States,1980,14799479046.360504
United States,1981,14189559983.832016
United States,1982,14600486118.533133
United States,1983,15941188446.951216
United States,1984,16246933098.423382
United States,1985,15964110571.80761
United States,1986,16097974201.470295
United States,1987,22028358815.314983
United States,1988,17701904047.450397
United States,1989,20413492052.600872
United States,1990,22135699407.053017
United States,1991,24509582073.8191
United States,1992,24426630775.734016
United States,1993,23854358737.158543
United States,1994,23769057845.87355
United States,1995,22130495147.679264
United States,1996,21772696302.782753
United States,1997,21121755951.58051
United States,1998,20768617024.898808
United States,1999,20514049723.94413
United States,2000,20023113217.963535
United States,2001,20499398661.29391
United States,2002,21080477824.164017
United States,2003,21395081125.99095
United States,2004,20877934978.19538
United States,2005,21338934268.908867
United States,2006,21265571315.02021
United States,2007,20236923370.250057
United States,2008,20958210045.107285
United States,2009,22609714037.587257
United States,2010,22346619718.071518
United States,2011,21584155389.20094
United States,2012,20404142692.05258
United States,2013,19033095047.85342
United States,2014,19520325699.25035
United States,2015,19682957069.547146
United States,2016,20883596274.613323
United States,2017,20903931442.55882
United States,2018,21598138373.12535
United States,2019,21937488898.865356
United States,2020,22629000000.0
United States,2021,23271300000.0
United States,2022,24801500000.0
