"entity","year","public_health_expenditure_pc_gdp"
"Australia",1971,2.789
"Australia",1972,2.766
"Australia",1973,2.743
"Australia",1974,3.125
"Australia",1975,4.206
"Australia",1976,3.83
"Australia",1977,3.692
"Australia",1978,3.686
"Australia",1979,3.591
"Australia",1980,3.668
"Australia",1981,3.578
"Australia",1982,3.599
"Australia",1983,3.806
"Australia",1984,4.306
"Australia",1985,4.346
"Australia",1986,4.41
"Australia",1987,4.282
"Australia",1988,4.137
"Australia",1989,4.125
"Australia",1990,4.289
"Australia",1991,4.474
"Australia",1992,4.504
"Australia",1993,4.502
"Australia",1994,4.514
"Australia",1995,4.602
"Australia",1996,4.656
"Australia",1997,4.772
"Australia",1998,4.91
"Australia",1999,5.109
"Australia",2000,5.206
"Australia",2001,5.215
"Australia",2002,5.417
"Australia",2003,5.379
"Australia",2004,5.542
"Australia",2005,5.465
"Australia",2006,5.457
"Australia",2007,5.591
"Australia",2008,5.696
"Australia",2009,5.934
"Australia",2010,5.787
"Australia",2011,5.912
"Australia",2012,5.859
"Australia",2013,5.696
"Australia",2014,5.849
"Australia",2015,6.135
"Australia",2016,6.105
"Australia",2017,6.148
"Australia",2018,6.098
"Australia",2019,6.469
"Australia",1970,2.62590058479532
"Australia",1969,2.3078567251462
"Australia",1968,2.19368713450292
"Australia",1967,2.02243274853801
"Australia",1966,2.18553216374269
"Australia",1965,2.22630701754386
"Australia",1964,2.15291228070175
"Australia",1963,2.14475730994152
"Australia",1962,2.23446198830409
"Australia",1961,2.09582748538012
"Australia",1960,1.91641812865497
"Austria",1970,2.944
"Austria",1971,2.921
"Austria",1972,2.909
"Austria",1973,2.97
"Austria",1974,3.22
"Austria",1975,4.414
"Austria",1976,4.586
"Austria",1977,4.568
"Austria",1978,4.727
"Austria",1979,4.61
"Austria",1980,4.72
"Austria",1981,4.465
"Austria",1982,4.427
"Austria",1983,4.339
"Austria",1984,4.344
"Austria",1985,4.482
"Austria",1986,4.565
"Austria",1987,4.779
"Austria",1988,4.743
"Austria",1989,4.715
"Austria",1990,5.74
"Austria",1991,5.792
"Austria",1992,6.048
"Austria",1993,6.467
"Austria",1994,6.828
"Austria",1995,6.716
"Austria",1996,6.661
"Austria",1997,6.781
"Austria",1998,6.902
"Austria",1999,7.037
"Austria",2000,6.952
"Austria",2001,6.953
"Austria",2002,7.027
"Austria",2003,7.112
"Austria",2004,7.125
"Austria",2005,7.122
"Austria",2006,7.091
"Austria",2007,7.089
"Austria",2008,7.29
"Austria",2009,7.68
"Austria",2010,7.63
"Austria",2011,7.481
"Austria",2012,7.617
"Austria",2013,7.612
"Austria",2014,7.673
"Austria",2015,7.678
"Austria",2016,7.657
"Austria",2017,7.687
"Austria",2018,7.721
"Austria",2019,7.85
"Austria",2020,8.779
"Austria",1969,3.17574344023324
"Austria",1968,2.99549854227405
"Austria",1967,3.09849562682216
"Austria",1966,2.87533527696793
"Austria",1965,2.8410029154519
"Austria",1964,2.72942274052478
"Austria",1963,2.78092128279883
"Austria",1962,2.70367346938775
"Austria",1961,2.66075801749271
"Austria",1960,2.63500874635568
"Belgium",1992,5.665
"Belgium",1993,5.701
"Belgium",1994,5.502
"Belgium",1995,5.774
"Belgium",1996,6.109
"Belgium",1997,5.785
"Belgium",1998,5.833
"Belgium",1999,5.938
"Belgium",2000,5.968
"Belgium",2001,6.146
"Belgium",2002,6.139
"Belgium",2003,6.798
"Belgium",2004,7.001
"Belgium",2005,6.903
"Belgium",2006,6.812
"Belgium",2007,6.78
"Belgium",2008,7.274
"Belgium",2009,7.879
"Belgium",2010,7.784
"Belgium",2011,7.912
"Belgium",2012,8.047
"Belgium",2013,8.042
"Belgium",2014,8.089
"Belgium",2015,7.921
"Belgium",2016,8.323
"Belgium",2017,8.342
"Belgium",2018,8.272
"Belgium",2019,8.187
"Belgium",1991,5.558092235698
"Belgium",1990,5.38340933686178
"Belgium",1989,5.35958894156593
"Belgium",1988,5.43105012745347
"Belgium",1987,5.05786393448518
"Belgium",1986,4.77995932270028
"Belgium",1985,4.82760011329198
"Belgium",1984,4.89112116741424
"Belgium",1983,4.93876195800594
"Belgium",1982,5.04198367095461
"Belgium",1981,4.63703695092519
"Belgium",1980,4.3988329979667
"Belgium",1979,4.51793497444595
"Belgium",1978,4.51793497444595
"Belgium",1977,4.40677312973199
"Belgium",1976,3.91448496028445
"Belgium",1975,3.73186192968294
"Belgium",1974,3.08871125669503
"Belgium",1973,3.08077112492975
"Belgium",1972,2.97754941198107
"Belgium",1971,2.85050730373655
"Belgium",1970,2.81874677667541
"Belgium",1969,2.72346519549202
"Belgium",1968,2.54084216489051
"Belgium",1967,2.35821913428901
"Belgium",1966,2.40585992488071
"Belgium",1965,2.35821913428901
"Belgium",1964,1.69918819777053
"Belgium",1963,1.85005070131091
"Belgium",1962,1.73094872483166
"Belgium",1961,1.70712832953581
"Belgium",1960,1.68330793423997
"Brazil",2000,3.47
"Brazil",2001,3.513
"Brazil",2002,3.686
"Brazil",2003,3.51
"Brazil",2004,3.467
"Brazil",2005,3.345
"Brazil",2006,3.542
"Brazil",2007,3.485
"Brazil",2008,3.505
"Brazil",2009,3.708
"Brazil",2010,3.577
"Brazil",2011,3.467
"Brazil",2012,3.356
"Brazil",2013,3.556
"Brazil",2014,3.709
"Brazil",2015,3.861
"Brazil",2016,3.952
"Brazil",2017,3.959
"Brazil",2018,3.897
"Brazil",2019,3.92
"Bulgaria",2003,4.393
"Bulgaria",2004,4.117
"Bulgaria",2005,4.128
"Bulgaria",2006,3.659
"Bulgaria",2007,3.459
"Bulgaria",2008,3.534
"Bulgaria",2009,3.583
"Bulgaria",2010,3.956
"Bulgaria",2011,3.88
"Bulgaria",2012,3.864
"Bulgaria",2013,4.071
"Bulgaria",2014,4.507
"Bulgaria",2015,4.159
"Bulgaria",2016,4.139
