Year,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,,2.7914,2.7681,2.7443,3.1283,4.2105,3.834,3.6961,3.6891,3.5942,3.6703,3.5799,3.6015,3.807,4.307,4.3471,4.4096,4.2804,4.1341,4.1226,4.2857,4.4686,4.4983,4.4941,4.5053,4.5903,4.6451,4.7672,4.909,5.1127,5.2051,5.2207,5.4185,5.3772,5.5451,5.4593,5.4577,5.5884,5.704,5.9541,5.8146,5.9453,5.905,5.9687,6.0058,6.1761
Austria,2.9508,2.9285,2.9164,2.9769,3.2278,4.4247,4.5972,4.5795,4.738,4.6211,4.7317,4.4753,4.4376,4.3496,4.3547,4.4925,4.5763,4.7903,4.7549,4.7262,5.7543,5.8055,6.063,6.4826,6.8446,6.7318,6.6763,6.7962,6.9206,7.0517,6.9656,6.9665,7.0405,7.1391,7.1917,7.1945,7.1703,7.1705,7.3717,7.7537,7.6995,7.5334,7.693,7.6712,7.7869,7.8836
Belgium,,,,,,,,,,,,,,,,,,,,,,,5.6346,5.6706,5.4722,5.7434,6.0618,5.7375,5.7862,5.8917,5.9251,6.112,6.0982,6.7277,6.9176,6.8982,6.7618,6.7376,7.1881,7.8031,7.6799,7.7865,7.9278,8.0569,8.0818,8.0319
Canada,4.4685,4.8581,4.841,4.6119,4.6054,5.0021,5.0887,5.0461,4.9996,4.872,5.015,5.1847,5.7769,5.9056,5.7698,5.7345,5.8779,5.8276,5.8019,5.9437,6.234,6.7476,6.89,6.6727,6.3353,6.0725,5.9002,5.8218,6.0253,5.8303,5.7907,6.0334,6.1566,6.3254,6.3571,6.3325,6.4285,6.5049,6.6288,7.4528,7.403,7.2365,7.2353,7.1643,7.0515,7.1816
Chile,,,,,,,,,,,,,,,,,,,,,,,,,,2.483,2.6676,2.7229,2.9993,3.1888,3.3321,3.4845,3.5299,2.606,2.5474,2.4175,2.365,2.4605,2.7813,3.2095,3.0493,3.0612,3.2246,4.4395,4.6344,4.6964
Czech Republic,,,,,,,,,,,,,,,,,,,,,3.6406,3.7409,3.8006,5.0529,5.1471,5.1673,5.0562,5.047,5.0388,5.2292,5.1491,5.2726,5.5935,5.8781,5.678,5.5531,5.3564,5.106,5.233,6.0861,5.7862,5.8688,5.9125,6.5008,6.39,6.3784
Denmark,,6.5114,6.6021,6.4147,7.1038,7.3328,7.3697,7.16,7.2855,7.4436,7.371,7.5419,7.5728,7.3102,6.8549,6.8027,6.5232,6.7739,6.925,6.7851,6.6292,6.6197,6.6016,6.8306,6.6025,6.3739,6.4199,6.3307,6.1178,6.9375,6.7353,7.0464,7.2932,7.471,7.5295,7.6102,7.6878,7.804,8.0089,9.0571,8.8337,8.6688,8.7549,8.6933,8.8899,8.9093
Estonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3893,3.975,3.7519,3.6236,3.74,3.8404,3.7963,3.5991,3.8237,4.4736,5.0774,4.8219,4.4561,4.4449,4.5172,4.6323,4.7598
Finland,3.5528,3.7532,3.7513,3.7547,3.7616,4.3466,4.6021,4.7896,4.6943,4.6162,4.6079,4.7387,4.828,4.8317,4.8339,5.1618,5.2912,5.4236,5.2599,5.3311,5.7987,6.6761,6.7196,5.9003,5.4473,5.2383,5.3167,5.0919,4.9144,4.8404,4.8801,5.0342,5.3575,5.7544,5.8835,6.0688,6.0346,5.8937,6.0873,6.6814,6.6315,6.7356,7.0416,7.1721,7.1708,7.2814
France,3.8807,,,,,4.7549,,,,,5.3614,,,,,5.9639,,,,,6.047,6.1866,6.3778,6.6795,6.6194,7.7756,7.7677,7.678,7.5892,7.5851,7.5261,7.627,7.9031,7.9102,7.9765,8.01,7.8928,7.8209,7.8856,8.4616,8.3744,8.3591,8.4504,8.5542,8.7393,8.6374
Germany,4.0797,4.5374,4.8452,5.1826,5.6743,6.2601,6.2736,6.2065,6.2638,6.1346,6.3032,6.5398,6.3608,6.2776,6.387,6.4951,6.4371,6.507,6.6242,6.0578,6.0583,,7.3151,7.2403,7.4558,7.7661,8.0679,7.8572,7.812,7.8436,7.8091,7.8335,7.9822,8.1101,7.7545,7.8421,7.7149,7.6013,7.7596,9.3354,9.2084,8.9505,8.9935,9.2078,9.3384,9.4205
Greece,,,,,,,,,,,,,,,,,,,2.9672,3.387,3.2851,3.2112,3.6068,4.0461,4.099,4.2143,4.2645,4.1469,4.0379,4.2537,4.4638,5.0488,4.978,5.0608,4.8308,5.5505,5.7133,5.6048,5.8499,6.7772,6.8935,6.3703,5.9663,5.5552,4.9424,4.9682
Hungary,,,,,,,,,,,,,,,,,,,,,,5.6294,5.9783,5.9986,6.4,5.5992,5.3807,5.0639,4.9426,4.909,4.7255,4.6615,4.9606,5.748,5.4863,5.6784,5.5527,5.0032,4.9224,4.9846,5.0785,5.0484,4.919,4.8676,4.8071,4.7156
Iceland,3.0602,3.3634,4.0422,3.7274,4.5324,4.8761,4.566,4.5349,5.0106,5.6579,5.1329,5.2771,5.5437,6.1159,5.5892,5.7922,6.1483,6.3592,6.8504,6.6524,6.3644,6.5191,6.5486,6.5038,6.381,6.509,6.4956,6.3181,6.7901,7.2197,7.2759,7.1692,7.8398,8.2328,7.7591,7.4706,7.3106,7.1966,7.2441,7.4448,7.094,6.9656,7.0148,7.0676,7.1785,7.174
Ireland,3.7354,3.9763,4.2053,4.5401,4.9949,5.5079,5.284,4.9353,5.208,5.5954,6.0581,5.819,5.6884,5.5892,5.2931,5.2285,5.0872,4.7464,4.4311,4.2561,4.104,4.4634,4.6973,4.7635,4.6717,4.521,4.3581,4.3612,4.2355,4.2199,4.5783,5.0222,5.2728,5.5118,5.7006,6.0391,5.8495,6.1868,7.2284,8.1143,8.0765,7.5111,7.6695,7.3062,7.0194,6.4982
Israel,,,,,,,,,,,,,,,,,,,,,,,,,,4.7322,4.8996,4.9211,4.5998,4.4064,4.2904,4.5298,4.5765,4.4393,4.3425,4.2602,4.3207,4.1772,4.2624,4.3173,4.4088,4.3847,4.4346,4.5201,4.65,4.6026
Italy,,,,,,,,,,,,,,,,,,,5.4068,5.3283,5.704,5.8832,5.7538,5.5683,5.293,4.8964,4.9656,5.1472,5.1317,5.2058,5.5062,5.7973,5.9165,5.9178,6.2427,6.479,6.5774,6.3252,6.6504,7.0291,7.0244,6.8038,6.8114,6.8081,6.8641,6.8312
Japan,3.097,2.991,3.1514,3.121,3.6902,3.9652,4.1352,4.1074,4.4357,4.4261,4.5291,4.5601,4.6722,4.8651,4.7256,4.6313,4.7082,4.7955,4.6755,4.5752,4.5087,4.584,4.776,5.059,5.236,5.2467,5.1418,5.278,5.4587,5.748,5.9415,6.1641,6.2386,6.2879,6.3571,6.5689,6.5213,6.6448,6.9146,7.6509,7.7766,9.2643,9.4306,9.5504,9.6148,9.515
South Korea,0.2468,0.2988,0.2283,0.2006,0.1812,0.2552,0.2231,0.2928,0.3198,0.5566,0.7024,0.7198,0.8595,0.9603,1.0094,1.0837,0.9777,0.985,1.1157,1.3013,1.4801,1.33,1.3969,1.4281,1.3915,1.4528,1.6299,1.7291,1.9663,2.0643,2.1605,2.6795,2.5402,2.6475,2.6799,2.8774,3.1822,3.2956,3.3713,3.7235,3.7857,3.7789,3.7743,3.8568,3.9953,4.0108
