year,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991
Australia,2.35,2.57,2.74,2.63,2.64,2.73,2.68,2.48,2.69,2.83,3.22,3.42,3.42,3.56,4.18,5.44,5.04,4.85,4.75,4.55,4.58,4.66,4.69,4.96,5.49,5.53,5.64,5.47,5.30,5.34,5.59,5.84
Austria,3.07,3.10,3.15,3.24,3.18,3.31,3.35,3.61,3.49,3.70,3.43,3.47,3.41,3.54,3.71,5.11,5.24,5.22,5.50,5.37,5.42,5.71,5.44,5.35,5.28,5.41,5.62,5.63,5.57,5.61,5.58,5.63
Belgium,2.12,2.15,2.18,2.33,2.14,2.97,3.03,2.97,3.20,3.43,3.55,3.59,3.75,3.88,3.89,4.70,4.93,5.55,5.69,5.69,5.54,5.84,6.35,6.22,6.16,6.08,6.02,6.37,6.84,6.75,6.78,7.00
Canada,2.33,,,,,3.11,,,,,4.96,5.40,5.37,5.09,5.07,5.51,5.54,5.51,5.48,5.36,5.51,5.70,6.36,6.53,6.36,6.36,6.57,6.53,6.43,6.54,6.85,7.23
Denmark,3.23,3.64,3.80,3.97,3.90,4.16,4.55,4.97,5.25,5.43,5.23,5.49,5.44,5.25,5.77,5.94,5.82,5.56,5.59,5.60,5.80,5.80,5.82,5.57,5.38,5.30,5.12,5.31,5.48,5.39,5.25,5.32
Finland,2.12,2.15,2.34,2.51,2.74,3.24,3.47,4.02,4.19,4.27,4.21,4.27,4.40,4.45,4.48,4.99,5.23,5.41,5.28,5.12,5.11,5.27,5.40,5.42,5.38,5.68,5.84,5.89,5.74,5.78,6.32,7.21
France,2.45,2.74,3.01,3.24,3.46,3.55,3.73,3.85,3.72,4.07,4.35,4.51,4.66,4.68,4.77,5.37,5.31,5.40,5.65,5.79,5.95,6.25,6.30,6.35,6.58,6.50,6.47,6.49,6.40,6.51,6.57,6.69
Germany,3.17,3.26,3.36,3.42,3.41,3.63,3.99,4.14,4.32,4.31,4.09,4.51,4.73,5.14,5.69,6.28,6.17,6.11,6.21,6.18,6.32,6.53,6.39,6.23,6.33,6.39,6.34,6.37,6.53,6.00,5.96,6.10
Greece,1.85,1.77,1.89,1.89,2.10,2.23,2.30,2.24,2.16,2.16,2.16,2.29,2.29,2.18,2.38,2.45,2.73,3.04,3.14,3.19,3.56,3.78,4.03,4.06,3.98,3.94,4.32,4.14,4.15,4.01,4.14,
Iceland,2.35,3.06,3.42,2.88,3.41,3.26,3.49,4.21,4.63,4.57,4.33,4.48,4.73,4.42,5.08,5.42,5.20,5.24,5.67,5.81,5.67,5.90,6.18,6.77,6.09,6.40,6.79,6.99,7.47,7.40,7.24,7.29
Ireland,3.01,2.94,2.99,3.16,3.33,3.34,3.66,3.99,3.69,3.89,4.57,4.75,5.05,5.41,5.89,6.36,6.25,6.03,6.33,6.81,7.54,7.28,6.87,6.77,6.41,6.32,6.17,5.72,5.32,5.01,5.20,5.56
Italy,3.00,3.09,3.09,3.36,3.58,3.80,3.95,4.11,4.19,4.26,4.47,4.91,5.29,5.23,5.25,5.24,5.21,4.89,5.20,5.22,5.57,5.32,5.43,5.53,5.33,5.42,5.27,5.71,5.89,5.87,6.28,6.46
Japan,1.81,2.07,2.19,2.35,2.47,2.74,2.74,2.82,2.82,2.77,3.18,3.07,3.23,3.20,3.79,4.07,4.24,4.72,4.55,4.54,4.64,4.68,4.80,4.99,4.83,4.70,4.81,4.86,4.79,4.73,4.71,4.76
Luxembourg,,,,,,,,,,,,,,,,5.19,5.25,5.68,6.05,6.13,6.34,6.59,6.43,6.04,5.91,6.05,5.99,6.71,6.64,6.27,6.59,
Netherlands,1.30,1.67,2.10,2.63,2.74,3.01,3.39,3.79,4.14,4.58,5.04,4.90,4.72,4.85,5.09,5.56,5.50,5.61,5.75,5.86,6.01,6.18,6.38,6.34,6.13,6.02,5.89,6.12,5.95,5.84,5.82,6.08
New Zealand,3.50,3.68,3.68,3.60,3.61,3.70,3.90,3.90,3.93,3.94,4.21,4.39,4.57,4.54,5.11,5.62,5.39,5.70,6.09,6.14,6.01,6.06,5.59,5.60,5.24,5.54,5.75,5.95,6.00,5.95,6.01,6.00
Norway,2.57,2.72,2.91,3.10,3.20,3.19,3.57,3.68,3.82,4.11,4.59,4.81,5.65,5.79,5.84,6.44,6.67,6.98,7.12,7.00,6.54,6.47,6.57,6.68,6.34,6.22,6.81,7.22,7.36,7.12,7.09,7.32
Portugal,0.92,0.95,0.96,1.18,0.96,1.21,1.30,1.33,1.70,1.97,1.86,1.95,2.46,2.69,2.93,3.78,4.08,3.93,3.92,3.93,4.25,4.54,3.94,3.47,3.44,3.93,3.81,3.91,4.11,4.15,4.10,
Spain,0.88,0.85,0.97,0.96,1.10,1.29,1.43,1.83,1.90,2.14,2.41,2.68,2.96,3.24,3.34,3.75,3.90,4.20,4.35,4.33,4.46,4.54,4.68,5.08,4.74,4.59,4.44,4.47,4.92,5.06,5.30,5.48
Sweden,3.40,3.48,3.56,4.03,4.17,4.43,4.89,5.23,5.76,5.83,6.17,6.54,6.53,6.36,6.82,7.16,7.44,8.33,8.41,8.29,8.72,8.77,8.85,8.75,8.58,7.97,7.69,7.72,7.64,7.66,6.88,6.73
Switzerland,2.01,2.09,2.17,2.22,2.23,2.30,2.91,3.06,3.19,3.26,3.31,3.55,3.66,3.83,4.11,4.83,4.92,4.92,4.83,4.85,4.90,4.99,5.11,5.34,5.29,5.24,5.22,5.13,5.30,5.13,5.33,5.38
