"";"Entity";"Year";"headcount_ratio_1_00";"headcount_ratio_1_90";"headcount_ratio_3_20";"headcount_ratio_5_50";"headcount_ratio_10_00";"headcount_ratio_15_00";"headcount_ratio_20_00";"headcount_ratio_30_00";"headcount_ratio_40_00";"poverty_gap_index_1_00";"poverty_gap_index_1_90";"poverty_gap_index_3_20";"poverty_gap_index_5_50";"poverty_gap_index_10_00";"poverty_gap_index_15_00";"poverty_gap_index_20_00";"poverty_gap_index_30_00";"poverty_gap_index_40_00";"headcount_1_00";"headcount_1_90";"headcount_3_20";"headcount_5_50";"headcount_10_00";"headcount_15_00";"headcount_20_00";"headcount_30_00";"headcount_40_00";"total_shortfall_annual_1_00";"total_shortfall_annual_1_90";"total_shortfall_annual_3_20";"total_shortfall_annual_5_50";"total_shortfall_annual_10_00";"total_shortfall_annual_15_00";"total_shortfall_annual_20_00";"total_shortfall_annual_30_00";"total_shortfall_annual_40_00";"income_gap_ratio_1_00";"income_gap_ratio_1_90";"income_gap_ratio_3_20";"income_gap_ratio_5_50";"income_gap_ratio_10_00";"income_gap_ratio_15_00";"income_gap_ratio_20_00";"income_gap_ratio_30_00";"income_gap_ratio_40_00";"watts_index_1_00";"watts_index_1_90";"watts_index_3_20";"watts_index_5_50";"watts_index_10_00";"watts_index_15_00";"watts_index_20_00";"watts_index_30_00";"watts_index_40_00";"headcount_ratio_40_median";"headcount_ratio_50_median";"headcount_ratio_60_median";"poverty_gap_index_40_median";"poverty_gap_index_50_median";"poverty_gap_index_60_median";"headcount_40_median";"headcount_50_median";"headcount_60_median";"total_shortfall_annual_40_median";"total_shortfall_annual_50_median";"total_shortfall_annual_60_median";"income_gap_ratio_40_median";"income_gap_ratio_50_median";"income_gap_ratio_60_median";"watts_index_40_median";"watts_index_50_median";"watts_index_60_median";"headcount_ratio_40_median_est";"headcount_ratio_50_median_est";"headcount_ratio_60_median_est";"poverty_gap_index_40_median_est";"poverty_gap_index_50_median_est";"poverty_gap_index_60_median_est";"headcount_40_median_est";"headcount_50_median_est";"headcount_60_median_est";"total_shortfall_annual_40_median_est";"total_shortfall_annual_50_median_est";"total_shortfall_annual_60_median_est";"income_gap_ratio_40_median_est";"income_gap_ratio_50_median_est";"income_gap_ratio_60_median_est";"watts_index_40_median_est";"watts_index_50_median_est";"watts_index_60_median_est";"MeanPerDay";"MeanPerDay_est";"MedianPerDay";"MedianPerDay_est";"MedianPerDay_gp_est";"PPP";"Population";"share_decile_1";"share_decile_2";"share_decile_3";"share_decile_4";"share_decile_5";"share_decile_6";"share_decile_7";"share_decile_8";"share_decile_9";"share_decile_10";"share_decile_1_est";"share_decile_2_est";"share_decile_3_est";"share_decile_4_est";"share_decile_5_est";"share_decile_6_est";"share_decile_7_est";"share_decile_8_est";"share_decile_9_est";"share_decile_10_est";"threshold_decile_1_est";"threshold_decile_2_est";"threshold_decile_3_est";"threshold_decile_4_est";"threshold_decile_5_est";"threshold_decile_6_est";"threshold_decile_7_est";"threshold_decile_8_est";"threshold_decile_9_est";"average_decile_1_est";"average_decile_2_est";"average_decile_3_est";"average_decile_4_est";"average_decile_5_est";"average_decile_6_est";"average_decile_7_est";"average_decile_8_est";"average_decile_9_est";"average_decile_10_est";"Gini";"Gini_est";"Polarization";"Polarization_est";"MLD";"MLD_est";"Palma";"P90_P10_ratio";"P90_P50_ratio";"Entropy_0_5";"Entropy_1_0";"Entropy_1_5";"Entropy_2_0";"Atkinson_0_5";"Atkinson_1_0";"Atkinson_1_5";"Atkinson_2_0";"Theil_0_0";"Theil_0_5";"Theil_1_0";"Theil_1_5";"Theil_2_0";"Var.Coeff";"survey_year";"is_interpolated";"distribution_type";"reporting_level";"estimation_type";"welfare_type";"comparable_spell";"survey_comparability";"survey_acronym";"IsSurveyYear";"MaxHeadcountRatio";"MonotonicityBreaks";"MonotonicityBreaksDistinct";"RowsWithIncreasingHeadcount";"DataframeRowsForGpinter";"reporting_gdp";"reporting_pce";"ISO3Year"
"AllCols";"EAP";1981;0,4346;0,8021;0,9345;0,9709;0,9892;0,9949;0,9971;0,9987;0,9993;0,1289;0,3785;0,5849;0,844;0,9187;0,9615;0,9734;0,9816;0,986;600517490;1108318174;1291264598;1341561046;1366847448;1374723540;1377763435;1379974268;1380803331;47,0485;262,48975;683,1632;1694,33;3353,255;5264,2125;7105,82;10748,52;14395,6;0,296465437788018;0,471853917836986;0,626249330835118;0,762637019005711;0,858738422649141;0,901549949748744;0,9245944332999;0,948187954621288;0,961140965965966;0,1748;0,5862;1,0461;1,5654;2,1552;2,5633;2,852;3,2596;3,5491;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0412;0,1005;0,1686;0,0078;0,0201;0,039;56928947;138867942;232966518;1,246986;4,020402;9,352395;0,186602071500167;0,198667883211679;0,23013878756766;0,0092;0,0248;0,05;1,6098;1,6098;NA;1,0955;1,095;NA;1381770570;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0270967926821094;0,0388617073416826;0,0474875239746712;0,0552842478793413;0,0635168443204724;0,0733572046937647;0,086385567808989;0,104988403994063;0,135851247942805;0,367170459362102;199,655;255,5;301,855;348,21;399,675;465,01;555,165;689,12;945,35;159,214521537758;228,342454147038;279,025768744654;324,837525161997;373,210368352902;431,030062623482;507,581727765023;616,887714536194;798,230687124893;2157,40917000606;NA;0,429731151263073;NA;NA;NA;0,279944754720903;2,17607934412628;4,73491773308958;2,36529680365297;0,302658786938713;0,359833354210545;0,480731619094401;0,738325299684021;0,145604247137406;0,244174503907178;0,317389173580686;0,376649044673911;0,359833354210545;0,279944754720903;0,279944754720903;0,279944754720903;0,279944754720903;1,21517513115108;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;7;1;3345;1001;NA;NA;"EAP1981"
"AllCols1";"EAP";1982;0,383;0,7799;0,9286;0,9703;0,989;0,9948;0,9971;0,9987;0,9993;0,1088;0,3505;0,5633;0,8384;0,9155;0,9606;0,9726;0,9813;0,9857;538279490;1096094451;1305081814;1363688223;1389969755;1398121246;1401353734;1403602421;1404445678;39,712;243,07175;657,9344;1683,088;3341,575;5259,285;7099,98;10745,235;14391,22;0,285052356020942;0,449386639676113;0,606477058665231;0,749719587628866;0,851200606673407;0,896514840871022;0,920813640922768;0,945661461461461;0,959246096096096;0,1461;0,533;0,9863;1,5036;2,0924;2,5002;2,7886;3,1959;3,485;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0433;0,1009;0,1702;0,0076;0,0202;0,0393;60855096;141807834;239204097;1,30378;4,335324;10,1128725;0,186145472538347;0,204625850340136;0,232482269503546;0,009;0,0251;0,0502;1,6864;1,6864;NA;1,1755;1,175;NA;1405429479;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0275460674961597;0,0397115617927283;0,0485543161956135;0,0566187832234527;0,065071156905647;0,0750207537016528;0,0878699694525324;0,1059534116086;0,136031984464038;0,357621995159576;213,89;273,385;323,755;373,395;428,875;497,495;589,475;725,985;989,515;169,555962023162;244,438958996488;298,869295737831;348,508993502312;400,536396370743;461,779746505006;540,87129516934;652,181391679109;837,325835890563;2201,29212412545;NA;0,419603800186281;NA;NA;NA;0,266951864018544;2,07400384977367;4,62627986348123;2,30723404255319;0,287634816653321;0,33985326819358;0,449577600980181;0,680869409545296;0,138646546592211;0,234290071222782;0,306545358856078;0,365787603136622;0,33985326819358;0,266951864018544;0,266951864018544;0,266951864018544;0,266951864018544;1,16693565336337;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;5;1;3448;1001;NA;NA;"EAP1982"
"AllCols2";"EAP";1983;0,3228;0,7482;0,9204;0,9698;0,9889;0,9948;0,9971;0,9987;0,9993;0,0873;0,3157;0,5356;0,8316;0,9122;0,9598;0,9689;0,9811;0,9856;461353149;1069344566;1315456748;1386060359;1413358516;1421790931;1425078144;1427364900;1428222434;31,8645;218,93795;625,5808;1669,437;3329,53;5254,905;7072,97;10743,045;14389,76;0,27140866873065;0,422248100197017;0,582334918478261;0,7318;0,841404752275025;0,889995510887772;0,915924423269809;0,942400500500501;0,956800375375375;0,1157;0,4699;0,9138;1,4288;2,0165;2,4239;2,7121;3,1189;3,4078;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0451;0,1014;0,1713;0,0074;0,0202;0,0395;64457952;144923201;244825881;1,382912;4,71872;11,07264;0,185069444444444;0,207626856435644;0,234375;0,0089;0,0251;0,0504;1,7851;1,7851;NA;1,2795;1,279;NA;1429222890;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0281422990420808;0,0408041553104664;0,0499249334307362;0,0582726451413232;0,066953111430447;0,0769567523893341;0,0895943735149914;0,107154361558962;0,136347967765627;0,345849400416032;232,505;297,11;352,59;406,975;466,835;538,74;633,64;773,435;1046,09;183,364385773067;265,864166403205;325,291645135307;379,682120772483;436,240697132892;501,420570219231;583,762443989881;698,176565488993;888,390863993236;2253,42154109171;NA;0,407034462595384;NA;NA;NA;0,251261016504501;1,95236268874621;4,49921507064364;2,24081313526192;0,269471289134153;0,315736454546537;0,412210513725478;0,612794812711153;0,13019722108785;0,222180678620014;0,29312865770127;0,352206766986948;0,315736454546537;0,251261016504501;0,251261016504501;0,251261016504501;0,251261016504501;1,10706351462882;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;1;3566;1001;NA;NA;"EAP1983"
"AllCols3";"EAP";1984;0,2495;0,6971;0,9077;0,9681;0,9887;0,9946;0,997;0,9987;0,9993;0,063;0,2686;0,4962;0,6845;0,9081;0,9589;0,9682;0,9807;0,9853;362261211;1012153467;1317933872;1405631576;1435541720;1444108218;1447592895;1450061208;1450932377;22,995;186,2741;579,5616;1374,13375;3314,565;5249,9775;7067,86;10738,665;14385,38;0,255052;0,385955599184475;0,546807888215859;0,707323065364388;0,827208088978766;0,880515108877722;0,908800300902708;0,93762989656323;0,953222422422422;0,082;0,3891;0,8178;1,3294;1,9158;2,3227;2,6106;3,0171;3,3057;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0452;0,1;0,1692;0,0067;0,0197;0,0387;65628083;145194874;245669727;1,3963805;5,134017;12,1055535;0,184354932866316;0,208809523809524;0,234525280840692;0,0082;0,0245;0,0492;1,93;1,93;NA;1,4285;1,428;NA;1451948741;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0290705264221423;0,0423534099133974;0,0518054400165292;0,0604694296595032;0,0693253883632078;0,0792544039370504;0,0915092830146101;0,108352720569794;0,136284329828765;0,331575068275;260,245;333,245;395,66;456,25;521,22;597,87;696,42;840,96;1124,565;204,787323380781;298,358596134928;364,94342219644;425,97689723637;488,362698324617;558,307648534552;644,637144196421;763,290740053916;960,054961478733;2335,78056846324;NA;0,390833274225044;NA;NA;NA;0,231775824879072;1,80499305071212;4,32117812061711;2,15756302521008;0,247392424327826;0,287249519999475;0,369619096575382;0,538305621805041;0,119871023937988;0,206876097974196;0,275669449657914;0,334153576926443;0,287249519999475;0,231775824879072;0,231775824879072;0,231775824879072;0,231775824879072;1,03759878739814;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;0;0;3723;1001;NA;NA;"EAP1984"
"AllCols4";"EAP";1985;0,2207;0,6569;0,8951;0,9665;0,9888;0,9946;0,997;0,9987;0,9993;0,0556;0,245;0,4717;0,6683;0,8997;0,9475;0,9671;0,9792;0,9853;325618749;969184215;1320622302;1425965205;1458866420;1467423687;1470964625;1473472789;1474358023;20,294;169,9075;550,9456;1341,61225;3283,905;5187,5625;7059,83;10722,24;14385,38;0,254773755656109;0,373409436834094;0,527349511173184;0,692044984001506;0,818122851365015;0,874510887772194;0,904312688064193;0,934649149149149;0,950986861861862;0,0725;0,3534;0,7681;1,2771;1,8631;2,2684;2,557;2,9634;3,2521;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0508;0,1061;0,1755;0,0085;0,0223;0,0419;74949852;156538964;258931085;1,88632;6,18602;13,947672;0,196809210526316;0,219699602780536;0,243834586466165;0,0104;0,028;0,0539;2,0188;2,0188;NA;1,5195;1,519;NA;1475390797;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0287008974487579;0,042421776086679;0,0522000689943836;0,0611950166255192;0,0703806711177036;0,0806687138550216;0,0932694750121912;0,110482341346145;0,138393231970363;0,322287807543236;271,56;350,4;417,925;483,99;554,435;636,925;743,14;895,71;1188,44;211,486006958867;312,589947707824;384,642472393395;450,922823407133;518,608420811333;594,41709828639;687,267318964332;814,10239009003;1019,76713696146;2374,81638441924;NA;0,384744795949408;NA;NA;NA;0,22562752144469;1,74664926031273;4,37634408602151;2,14351547070441;0,23828359350073;0,2730457663408;0,345445278451985;0,492513434409168;0,115593104817139;0,201984710103587;0,271885205988783;0,332217884702529;0,2730457663408;0,22562752144469;0,22562752144469;0,22562752144469;0,22562752144469;0,992485198286774;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;4;2;3882;1001;NA;NA;"EAP1985"
"AllCols5";"EAP";1986;0,206;0,6276;0,8828;0,9644;0,9887;0,9947;0,997;0,9987;0,9993;0,0526;0,231;0,4548;0,6563;0,8917;0,9343;0,9658;0,9777;0,9852;309075270;941629316;1324522563;1446952378;1483411257;1492413449;1495864290;1498414911;1499315130;19,199;160,1985;531,2064;1317,52225;3254,705;5115,2925;7050,34;10705,815;14383,92;0,258296116504854;0,368204827355012;0,515437075311438;0,681027536778574;0,811126188068756;0,869880603015075;0,900862988966901;0,932376643309977;0,949282482482482;0,0688;0,3336;0,7369;1,2428;1,8283;2,2321;2,5214;2,9276;3,2163;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0564;0,1128;0,1821;0,0103;0,025;0,0452;84620608;169241216;273216537;2,3797635;7,227;15,6731;0,195701912077137;0,230215097402597;0,251688837478311;0,0126;0,0316;0,0586;2,0857;2,0857;NA;1,5835;1,583;NA;1500365386;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0280815192999373;0,0420638545687407;0,0521146030090783;0,0613906937304065;0,0708697315964558;0,0814632576300621;0,0944181407906883;0,111981069381678;0,140171688419529;0,317445441573424;276,67;360,255;432,16;502,605;577,795;665,395;777,815;938,415;1242,825;213,779130534159;320,223922380182;396,738310360527;467,355380184307;539,517447046157;620,163895002425;718,786894302056;852,490044894182;1067,09973045864;2416,65024483737;NA;0,383038326656129;NA;NA;NA;0,224818161009678;1,7285286273238;4,49208443271768;2,150979153506;0,23517295129396;0,266307396685494;0,331697921283723;0,463290450415143;0,11412983083321;0,201338566655211;0,272935060545145;0,335158739438393;0,266307396685494;0,224818161009678;0,224818161009678;0,224818161009678;0,224818161009678;0,962590723428336;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;8;2;4002;1001;NA;NA;"EAP1986"
"AllCols6";"EAP";1987;0,1875;0,5878;0,8633;0,961;0,9883;0,9946;0,997;0,9987;0,9993;0,0483;0,2125;0,4316;0,6392;0,8824;0,9189;0,9645;0,9759;0,9851;286281333;897472894;1318115600;1467287260;1508969822;1518588875;1522253276;1524848893;1525764993;17,6295;147,36875;504,1088;1283,194;3220,76;5030,9775;7040,85;10686,105;14382,46;0,259202127659574;0,361783924095954;0,500456981460023;0,665331945889698;0,801792712550607;0,863091591289782;0,895770411233701;0,928984050717384;0,946738038038038;0,0632;0,306;0,6941;1,195;1,7794;2,1818;2,4716;2,8775;3,1663;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0651;0,1197;0,1892;0,0133;0,0279;0,0488;99396879;182762003;288876951;3,252515;8,5235895;17,883248;0,202043628013777;0,239731734987902;0,260771727903202;0,0162;0,0356;0,0639;2,1874;2,1874;NA;1,674;1,673;NA;1526833777;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,027390826577436;0,0416005677045099;0,051939288290808;0,061520036626344;0,0713136541805491;0,0822665796788076;0,0956157993210001;0,11353856222794;0,142078611916469;0,312736073476137;285,43;375,22;453,33;529,25;610,645;705,545;826,725;997,91;1320,205;218,688633302515;332,139348558484;414,683797106694;491,176587625096;569,368928114046;656,817194821397;763,397497936858;906,493016213493;1134,3570583272;2496,88793799421;NA;0,381820055787987;NA;NA;NA;0,224689408896038;1,71408517789873;4,62531969309463;2,16198445905559;0,232660473397909;0,260278337824686;0,319162365870865;0,436856723840006;0,112947055706346;0,201235730687553;0,274868668272335;0,339465567433623;0,260278337824686;0,224689408896038;0,224689408896038;0,224689408896038;0,224689408896038;0,934726402579927;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;14;2;4167;1001;NA;NA;"EAP1987"
"AllCols7";"EAP";1988;0,1586;0,5326;0,8348;0,956;0,988;0,9945;0,997;0,9987;0,9993;0,04;0,1855;0,3981;0,6141;0,8797;0,9171;0,9394;0,9771;0,9848;246402861;827453745;1296955288;1485253061;1534968644;1545067122;1548951152;1551592292;1552524460;14,6;128,64425;464,9808;1232,80575;3210,905;5021,1225;6857,62;10699,245;14378,08;0,256974683544304;0,348520786017577;0,476985404191617;0,642515975656143;0,786900708502024;0,854022736418511;0,888327933801404;0,924038672005339;0,943029004004004;0,0522;0,2654;0,6312;1,1236;1,7067;2,1089;2,3957;2,8046;3,0932;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0678;0,1237;0,1931;0,0145;0,0295;0,051;105334893;192181803;300002475;3,8370625;9,755355;20,25312;0,209634888438134;0,245634343760656;0,266929861322767;0,0179;0,038;0,0674;2,336;2,336;NA;1,813;1,812;NA;1553611988;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0272257334354892;0,0417095810902357;0,052386950438026;0,0622155391359941;0,0722551366971674;0,0834554791457015;0,0970489441393148;0,115192351565789;0,143789492821282;0,304720791531;304,41;403,325;488,735;572,32;661,38;765,04;896,075;1081,13;1422,04;232,137493564355;355,632572207786;446,672094214785;530,47457288914;616,076197534729;711,574797387909;827,478117309454;982,176066390545;1226,00673159138;2598,17135690992;NA;0,376049340917234;NA;NA;NA;0,219236931899198;1,66026172659992;4,67146282973621;2,15011037527594;0,224607286262477;0,247783475744353;0,298008074653131;0,397197394806479;0,109150616066101;0,196868591840578;0,271609233202272;0,338331751869742;0,247783475744353;0,219236931899198;0,219236931899198;0,219236931899198;0,219236931899198;0,891288275258324;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;15;3;4359;1001;NA;NA;"EAP1988"
"AllCols8";"EAP";1989;0,2105;0,6336;0,8618;0,9533;0,9857;0,9934;0,9964;0,9985;0,9992;0,0509;0,2359;0,4529;0,6483;0,8517;0,8979;0,9236;0,9505;0,9637;332533961;1000919325;1361414574;1505960215;1557143590;1569307540;1574046741;1577364182;1578469996;18,5785;163,59665;528,9872;1301,46225;3108,705;4916,0025;6742,28;10407,975;14070,02;0,242117413218428;0,372527360751534;0,525472250861322;0,680289546270318;0,806230999673009;0,866103233083308;0,897397472729712;0,930271130820837;0,946991182601999;0,0659;0,3379;0,7368;1,2337;1,8149;2,2163;2,5025;2,9069;3,1942;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0425;0,1035;0,1746;0,0082;0,0208;0,0403;67138686;163502447;275821519;1,85566;5,8838;13,679835;0,19257514500268;0,198010629973571;0,229779765135913;0,0103;0,0258;0,0517;2,1816;2,1816;NA;1,5495;1,549;NA;1579733783;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,028024239507724;0,0401521488619287;0,049161885715424;0,0575171889811696;0,0662431239962153;0,0764475231162188;0,0898821201758347;0,109188592462698;0,142639275857229;0,340743901325558;279,955;357,335;424,86;491,655;565,385;655,905;782,195;971,994999999999;1364,005;223,152535321685;319,725137043721;391,468230050207;458,000173106817;527,483397482024;608,739394970752;715,716941820944;869,451291605669;1135,81373136698;2713,2891672312;NA;0,407761609083853;NA;NA;NA;0,252429389971187;1,94871750273231;4,8722294654498;2,4125242091672;0,266256061025491;0,304157280782895;0,382305345073685;0,538783582182748;0,128697262385695;0,223088931384453;0,296712445452604;0,357696966091595;0,304157280782895;0,252429389971187;0,252429389971187;0,252429389971187;0,252429389971187;1,03805932603368;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;66;3;4088;996;NA;NA;"EAP1989"
"AllCols9";"EAP";1990;0,1924;0,6087;0,8497;0,9494;0,9841;0,9925;0,9958;0,9982;0,9991;0,046;0,2212;0,4368;0,636;0,8522;0,8978;0,922;0,9507;0,9627;308851636;977120533;1363987706;1524031927;1579734379;1593218546;1598515897;1602368517;1603813249;16,79;153,4022;510,1824;1276,77;3110,53;4915,455;6730,6;10410,165;14055,42;0,239571436525676;0,363410004159476;0,514020483754754;0,670274684512488;0,799907389818387;0,861304349180976;0,892972827099043;0,927220063988408;0,944646114009333;0,0595;0,3156;0,7048;1,1978;1,7776;2,1785;2,4645;2,8687;3,1559;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0448;0,1052;0,1778;0,0088;0,0217;0,0415;71915558;168873140;285414869;2,07174;6,383923;14,6476325;0,19148030363238;0,204640385358973;0,231642609558869;0,011;0,0307;0,0534;2,2785;2,2785;NA;1,6115;1,611;NA;1605257981;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0,0275987580514161;0,0397818733576556;0,0487882373954653;0,0571334208422112;0,0659032254735993;0,0761945724907792;0,0897530900905279;0,109017445962369;0,142349503653152;0,343479872682824;289,445;370,475;440,555;510,27;588,015;683,28;815,775;1013,24;1421,675;229,525761303553;330,846944325777;405,748596005322;475,15152276977;548,085822231825;633,674066983878;746,433817565128;906,646314782191;1183,85320586903;2856,55894816352;NA;0,4111158262382;NA;NA;NA;0,257278078551593;1,98196961726795;4,91172761664565;2,41775294847921;0,271657308727434;0,311387320562986;0,393959570325546;0,560994534119516;0,131216298527152;0,226846813448669;0,301229735375863;0,362811577132833;0,311387320562986;0,257278078551593;0,257278078551593;0,257278078551593;0,257278078551593;1,0592398539703;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;68;3;4175;996;NA;NA;"EAP1990"
