dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
cl15,dhi,1,  17529560, 13505.71,  9132.36,    0.453,     9.07,    15.83,    22.92,     2.85,     4.76,     7.20,   0.0148,   0.0231,   0.0343,  2505.17,  3191.98,  3758.26,  1147.77,  1374.20,  1721.15
cl15,dhci,1,  17529560, 13206.51,  8912.77,    0.454,     9.64,    16.69,    24.00,     3.03,     5.06,     7.62,   0.0158,   0.0246,   0.0365,  2504.12,  3180.54,  3739.35,  1148.82,  1385.64,  1740.06
cl15,mi,1,  17529560, 12121.34,  7930.67,    0.511,    19.00,    25.81,    32.54,    10.68,    13.05,    15.78,   0.0847,   0.0969,   0.1114,  1600.06,  2256.24,  2821.56,  2052.89,  2309.94,  2657.86
cl15,hcexp,1,  17529560,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
cl17,dhi,1,  17787344, 14329.52,  9608.99,    0.459,     9.20,    16.01,    23.34,     2.92,     4.85,     7.31,   0.0154,   0.0238,   0.0351,  2625.81,  3348.97,  3959.59,  1217.78,  1455.52,  1805.81
cl17,dhci,1,  17787344, 14014.85,  9349.97,    0.459,     9.72,    16.82,    24.28,     3.12,     5.14,     7.70,   0.0165,   0.0254,   0.0372,  2611.37,  3335.78,  3937.32,  1232.23,  1468.71,  1828.07
cl17,mi,1,  17787344, 12865.57,  8275.46,    0.521,    19.64,    26.71,    33.37,    11.20,    13.61,    16.36,   0.0896,   0.1020,   0.1167,  1651.06,  2355.47,  2939.01,  2192.54,  2449.02,  2826.38
cl17,hcexp,1,  17787344,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk15,dhi,1,  63907072, 30770.57, 25864.71,    0.315,     4.25,     9.09,    16.12,     1.35,     2.36,     4.05,   0.0077,   0.0115,   0.0176,  7056.41,  9575.14, 11624.70,  3289.48,  3357.22,  3894.13
uk15,dhci,1,  63907072, 30730.41, 25816.30,    0.315,     4.33,     9.29,    16.36,     1.37,     2.40,     4.13,   0.0077,   0.0116,   0.0179,  7071.19,  9594.60, 11604.05,  3274.70,  3337.76,  3914.78
uk15,mi,1,  63907072, 31227.02, 24957.55,    0.489,    26.38,    30.80,    34.88,    17.75,    19.92,    22.06,   0.1489,   0.1632,   0.1776,  3383.22,  4570.29,  5702.24,  6962.67,  8362.07,  9816.59
uk15,hcexp,1,  63907072,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk16,dhi,1,  64421005, 30934.65, 26260.00,    0.311,     4.60,     9.27,    16.48,     1.49,     2.53,     4.24,   0.0083,   0.0125,   0.0189,  7107.46,  9544.38, 11702.87,  3396.54,  3585.62,  4053.13
uk16,dhci,1,  64421005, 30894.93, 26210.68,    0.312,     4.63,     9.51,    16.70,     1.51,     2.58,     4.32,   0.0084,   0.0126,   0.0192,  7089.23,  9574.00, 11683.00,  3414.77,  3556.00,  4073.00
uk16,mi,1,  64421005, 31476.76, 25394.78,    0.482,    25.68,    30.06,    34.18,    17.25,    19.39,    21.51,   0.1432,   0.1577,   0.1721,  3446.72,  4662.69,  5841.49,  7057.28,  8467.31,  9914.51
uk16,hcexp,1,  64421005,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
uk17,dhi,1,  64641350, 31037.15, 26525.32,    0.310,     4.65,     9.75,    17.11,     1.44,     2.55,     4.34,   0.0081,   0.0123,   0.0190,  7324.80,  9797.94, 11877.77,  3285.33,  3464.72,  4037.42
uk17,dhci,1,  64641350, 30999.31, 26479.19,    0.311,     4.75,    10.00,    17.32,     1.46,     2.59,     4.42,   0.0082,   0.0124,   0.0193,  7349.22,  9822.54, 11853.89,  3260.91,  3440.12,  4061.30
uk17,mi,1,  64641350, 31401.52, 25597.42,    0.475,    25.63,    29.90,    34.38,    17.18,    19.29,    21.44,   0.1429,   0.1572,   0.1715,  3500.74,  4704.06,  5990.13,  7109.39,  8558.60,  9925.06
uk17,hcexp,1,  64641350,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
