dataset,variable,eq,percentile,thr,share
cl15,dhi,1,1,         3795.81,   1.9389
cl15,dhi,1,2,         5085.71,   3.2966
cl15,dhi,1,3,         6359.25,   4.2414
cl15,dhi,1,4,         7694.89,   5.1968
cl15,dhi,1,5,         9132.36,   6.2000
cl15,dhi,1,6,        10953.96,   7.3898
cl15,dhi,1,7,        13391.89,   8.9572
cl15,dhi,1,8,        17268.21,  11.1949
cl15,dhi,1,9,        25686.91,  15.4094
cl15,dhi,1,10,               .,  36.1750
cl15,dhci,1,1,         3689.98,   1.9282
cl15,dhci,1,2,         4945.67,   3.2883
cl15,dhci,1,3,         6216.35,   4.2366
cl15,dhci,1,4,         7528.91,   5.1797
cl15,dhci,1,5,         8912.77,   6.1972
cl15,dhci,1,6,        10646.80,   7.3821
cl15,dhci,1,7,        13074.86,   8.9285
cl15,dhci,1,8,        16834.19,  11.2114
cl15,dhci,1,9,        25295.41,  15.4323
cl15,dhci,1,10,               .,  36.2156
cl15,mi,1,1,         1785.72,   0.3772
cl15,mi,1,2,         3806.72,   2.4598
cl15,mi,1,3,         5062.40,   3.6349
cl15,mi,1,4,         6427.88,   4.7571
cl15,mi,1,5,         7930.67,   6.0038
cl15,mi,1,6,         9752.78,   7.1975
cl15,mi,1,7,        12213.23,   8.9804
cl15,mi,1,8,        15968.47,  11.4733
cl15,mi,1,9,        24426.89,  16.0313
cl15,mi,1,10,               .,  39.0846
cl15,hcexp,1,1,.,.
cl15,hcexp,1,2,.,.
cl15,hcexp,1,3,.,.
cl15,hcexp,1,4,.,.
cl15,hcexp,1,5,.,.
cl15,hcexp,1,6,.,.
cl15,hcexp,1,7,.,.
cl15,hcexp,1,8,.,.
cl15,hcexp,1,9,.,.
cl15,hcexp,1,10,.,.
cl17,dhi,1,1,         3954.60,   1.9037
cl17,dhi,1,2,         5320.03,   3.2541
cl17,dhi,1,3,         6695.37,   4.1903
cl17,dhi,1,4,         8022.11,   5.1357
cl17,dhi,1,5,         9608.99,   6.1348
cl17,dhi,1,6,        11527.53,   7.3299
cl17,dhi,1,7,        14067.91,   8.8578
cl17,dhi,1,8,        18119.15,  11.0998
cl17,dhi,1,9,        27544.43,  15.3143
cl17,dhi,1,10,               .,  36.7796
cl17,dhci,1,1,         3885.75,   1.9249
cl17,dhci,1,2,         5230.01,   3.2201
cl17,dhci,1,3,         6532.51,   4.1913
cl17,dhci,1,4,         7836.26,   5.1396
cl17,dhci,1,5,         9349.97,   6.1229
cl17,dhci,1,6,        11225.50,   7.3255
cl17,dhci,1,7,        13748.36,   8.8553
cl17,dhci,1,8,        17767.11,  11.0940
cl17,dhci,1,9,        26942.02,  15.3092
cl17,dhci,1,10,               .,  36.8173
cl17,mi,1,1,         1664.87,   0.3090
cl17,mi,1,2,         3885.75,   2.4020
cl17,mi,1,3,         5234.69,   3.4790
cl17,mi,1,4,         6730.31,   4.6647
cl17,mi,1,5,         8275.46,   5.8039
cl17,mi,1,6,        10272.08,   7.1728
cl17,mi,1,7,        12791.84,   8.8753
cl17,mi,1,8,        16813.32,  11.3606
cl17,mi,1,9,        25949.09,  15.9784
cl17,mi,1,10,               .,  39.9544
cl17,hcexp,1,1,.,.
cl17,hcexp,1,2,.,.
cl17,hcexp,1,3,.,.
cl17,hcexp,1,4,.,.
cl17,hcexp,1,5,.,.
cl17,hcexp,1,6,.,.
cl17,hcexp,1,7,.,.
cl17,hcexp,1,8,.,.
cl17,hcexp,1,9,.,.
cl17,hcexp,1,10,.,.
uk15,dhi,1,1,        13378.51,   3.2180
uk15,dhi,1,2,        16635.05,   4.9011
uk15,dhi,1,3,        19474.90,   5.8628
uk15,dhi,1,4,        22425.52,   6.7967
uk15,dhi,1,5,        25864.71,   7.8373
uk15,dhi,1,6,        29828.70,   9.0210
uk15,dhi,1,7,        34827.36,  10.4493
uk15,dhi,1,8,        41489.79,  12.3480
uk15,dhi,1,9,        51919.44,  15.0184
uk15,dhi,1,10,               .,  24.5474
uk15,dhci,1,1,        13216.64,   3.2068
uk15,dhci,1,2,        16569.23,   4.8720
uk15,dhci,1,3,        19419.27,   5.8565
uk15,dhci,1,4,        22393.76,   6.7861
uk15,dhci,1,5,        25816.30,   7.8233
uk15,dhci,1,6,        29811.55,   9.0339
uk15,dhci,1,7,        34814.90,  10.4482
uk15,dhci,1,8,        41489.79,  12.3756
uk15,dhci,1,9,        51919.44,  15.0221
uk15,dhci,1,10,               .,  24.5757
uk15,mi,1,1,          432.22,   0.0108
uk15,mi,1,2,         6505.45,   1.1236
uk15,mi,1,3,        12510.17,   3.0484
uk15,mi,1,4,        18536.71,   4.9796
uk15,mi,1,5,        24957.55,   6.9459
uk15,mi,1,6,        31477.73,   9.0159
uk15,mi,1,7,        38985.68,  11.2369
uk15,mi,1,8,        48868.79,  13.9873
uk15,mi,1,9,        64498.73,  17.8844
uk15,mi,1,10,               .,  31.7673
uk15,hcexp,1,1,.,.
uk15,hcexp,1,2,.,.
uk15,hcexp,1,3,.,.
uk15,hcexp,1,4,.,.
uk15,hcexp,1,5,.,.
uk15,hcexp,1,6,.,.
uk15,hcexp,1,7,.,.
uk15,hcexp,1,8,.,.
uk15,hcexp,1,9,.,.
uk15,hcexp,1,10,.,.
uk16,dhi,1,1,        13420.72,   3.1752
uk16,dhi,1,2,        16842.87,   4.9169
uk16,dhi,1,3,        19703.43,   5.9047
uk16,dhi,1,4,        22773.23,   6.8653
uk16,dhi,1,5,        26260.00,   7.9270
uk16,dhi,1,6,        30251.19,   9.1306
uk16,dhi,1,7,        35140.20,  10.5806
uk16,dhi,1,8,        41506.71,  12.3471
uk16,dhi,1,9,        52493.78,  14.9401
uk16,dhi,1,10,               .,  24.2125
uk16,dhci,1,1,        13348.40,   3.1572
uk16,dhci,1,2,        16768.29,   4.8960
uk16,dhci,1,3,        19675.70,   5.8934
uk16,dhci,1,4,        22738.99,   6.8614
uk16,dhci,1,5,        26210.68,   7.9217
uk16,dhci,1,6,        30228.61,   9.1326
uk16,dhci,1,7,        35132.75,  10.5901
uk16,dhci,1,8,        41490.16,  12.3485
uk16,dhci,1,9,        52397.91,  14.9434
uk16,dhci,1,10,               .,  24.2558
uk16,mi,1,1,          779.96,   0.0216
uk16,mi,1,2,         6778.23,   1.2479
uk16,mi,1,3,        13096.10,   3.1585
uk16,mi,1,4,        19499.02,   5.1836
uk16,mi,1,5,        25394.78,   7.1014
uk16,mi,1,6,        31926.84,   9.0975
uk16,mi,1,7,        39321.37,  11.2795
uk16,mi,1,8,        47948.12,  13.7993
uk16,mi,1,9,        64001.68,  17.4405
uk16,mi,1,10,               .,  31.6701
uk16,hcexp,1,1,.,.
uk16,hcexp,1,2,.,.
uk16,hcexp,1,3,.,.
uk16,hcexp,1,4,.,.
uk16,hcexp,1,5,.,.
uk16,hcexp,1,6,.,.
uk16,hcexp,1,7,.,.
uk16,hcexp,1,8,.,.
uk16,hcexp,1,9,.,.
uk16,hcexp,1,10,.,.
uk17,dhi,1,1,        13384.03,   3.1892
uk17,dhi,1,2,        16782.13,   4.8826
uk17,dhi,1,3,        19846.43,   5.9012
uk17,dhi,1,4,        22935.32,   6.8855
uk17,dhi,1,5,        26525.32,   7.9629
uk17,dhi,1,6,        30446.89,   9.1393
