dataset,grossnet,n_dhi,n_dhci,n_mi,n_hcexp
at94,320,3367,3367,3367,0
at95,320,3281,3281,3281,0
at96,320,3130,3130,3130,0
at97,320,2951,2951,2951,0
at98,320,2808,2808,2808,0
at99,320,2633,2633,2633,0
at00,320,2522,2522,2522,0
at03,110,4518,4518,4518,0
at04,110,5147,5147,5147,0
at05,110,6028,6028,6028,0
at06,110,6805,6805,6805,0
at07,110,5707,5707,5707,0
at08,110,5874,5874,5874,0
at09,110,6188,6188,6188,0
at10,110,6187,6187,6187,0
at11,110,6232,6232,6232,0
at12,110,5962,5962,5962,0
at13,110,5901,5901,5901,0
at14,110,6040,6040,6040,0
at15,110,6000,6000,6000,0
at16,110,6078,6078,6078,0
at17,110,6090,6090,6090,0
at18,110,5980,5980,5980,0
at19,110,5994,5994,5994,0
au81,120,14755,14755,14755,0
au85,120,7563,7563,7563,0
au89,120,14450,14450,14450,0
au95,120,6819,6819,6819,0
au01,120,6786,6786,6786,0
au03,120,10210,10210,10210,0
au04,120,6957,6957,6957,6957
au08,120,9345,9345,9345,0
au10,120,9745,9745,9745,9745
au14,120,14115,14115,14115,0
au16,120,10046,10046,10046,10046
au18,120,14060,14060,14060,0
be85,200,6471,6471,6471,0
be88,200,3779,3779,3779,0
be92,120,3821,3821,3821,0
be95,200,2639,2639,2639,0
be97,120,4632,4632,4632,0
be00,200,2085,2085,2085,0
be03,100,5112,5112,5112,0
be04,100,4965,4965,4965,0
be05,100,5859,5859,5859,0
be06,100,6348,6348,6348,0
be07,100,6300,6300,6300,0
be08,100,6135,6135,6135,0
be09,100,6132,6132,6132,0
be10,100,5910,5910,5910,0
be11,100,5817,5817,5817,0
be12,100,6159,6159,6159,0
be13,100,6021,6021,6021,0
be14,100,6006,6006,6006,0
be15,100,5905,5905,5905,0
be16,100,6053,6053,6053,0
be17,100,5946,5946,5946,0
br06,120,116145,116145,116145,0
br09,120,117824,117824,117824,0
br11,120,106408,106408,106408,0
br13,120,110888,110888,110888,0
br16,120,148199,148199,148199,0
ca71,100,25927,25927,25927,0
ca75,100,26569,26569,26569,0
ca81,100,15136,15136,15136,0
ca87,100,10999,10999,10999,0
ca91,100,20035,20035,20035,0
ca94,100,37475,37475,37475,0
ca96,110,30501,30501,30501,0
ca97,110,30764,30764,30764,0
ca98,110,31218,31218,31218,0
ca99,110,29266,29266,29266,0
ca00,110,28970,28970,28970,0
ca01,110,29578,29578,29578,0
ca02,110,28196,28196,28196,0
ca03,110,28589,28589,28589,0
ca04,110,27820,27820,27820,0
ca05,110,27079,27079,27079,0
ca06,110,27381,27381,27381,0
ca07,110,26745,26745,26745,0
ca08,110,25135,25135,25135,0
ca09,110,25690,25690,25690,0
ca10,110,25019,25019,25019,0
ca11,110,24231,24231,24231,0
ca12,110,24311,24311,24311,0
ca13,110,23014,23014,23014,0
ca14,110,23437,23437,23437,0
ca15,110,25825,25825,25825,0
ca16,110,26675,26675,26675,0
ca17,110,39768,39768,39768,0
ca18,110,40857,40857,40857,0
ch82,100,7036,7036,7036,0
ch92,100,6301,6301,6301,0
ch00,100,3642,3642,3642,3642
ch02,100,3726,3726,3726,3726
ch04,100,3270,3270,3270,3270
ch06,110,6612,6612,6612,0
ch07,110,6778,6778,6778,0
ch08,110,7372,7372,7372,0
ch09,110,7513,7513,7513,0
ch10,110,7502,7502,7502,0
ch11,110,7529,7529,7529,0
ch12,110,7341,7341,7341,0
ch13,110,6792,6792,6792,0
ch14,110,7468,7468,7468,0
ch15,110,7762,7762,7762,0
ch16,110,8122,8122,8122,0
ch17,110,6680,6680,6680,0
ch18,110,7341,7341,7341,0
ci02,200,10697,10697,10697,10697
ci08,200,12442,12442,12442,12442
ci15,200,12064,12064,12064,12064
cl90,200,25793,25793,25793,0
cl92,200,35948,35948,35948,0
