dataset,variable,eq,povline,fgt0,fgt1,fgt2,meanpoor,meangap
uk15,mi,1,3000,    27.48,    18.26,   0.1522,  3673.42,  7276.58
uk15,mi,1,4000,    33.43,    21.30,   0.1725,  5298.11,  9301.89
uk15,hcexp,1,100,.,.,.,.,.
uk15,hcexp,1,215,.,.,.,.,.
uk15,hcexp,1,365,.,.,.,.,.
uk15,hcexp,1,685,.,.,.,.,.
uk15,hcexp,1,1000,.,.,.,.,.
uk15,hcexp,1,2000,.,.,.,.,.
uk15,hcexp,1,3000,.,.,.,.,.
uk15,hcexp,1,4000,.,.,.,.,.
uk16,dhi,1,100,     0.00,     0.00,   0.0000,        .,        .
uk16,dhi,1,215,     0.06,     0.01,   0.0000,   679.23,   105.52
uk16,dhi,1,365,     0.24,     0.08,   0.0003,   902.32,   429.93
uk16,dhi,1,685,     0.56,     0.26,   0.0014,  1333.70,  1166.55
uk16,dhi,1,1000,     0.75,     0.38,   0.0024,  1788.96,  1861.04
uk16,dhi,1,2000,     1.93,     0.82,   0.0051,  4201.20,  3098.80
uk16,dhi,1,3000,     5.19,     1.63,   0.0089,  7518.11,  3431.89
uk16,dhi,1,4000,    13.24,     3.40,   0.0157, 10848.74,  3751.26
uk16,dhci,1,100,     0.00,     0.00,   0.0000,        .,        .
uk16,dhci,1,215,     0.06,     0.01,   0.0000,   674.69,   110.06
uk16,dhci,1,365,     0.25,     0.08,   0.0003,   895.04,   437.21
uk16,dhci,1,685,     0.57,     0.27,   0.0014,  1328.79,  1171.46
uk16,dhci,1,1000,     0.75,     0.39,   0.0024,  1769.47,  1880.53
uk16,dhci,1,2000,     1.95,     0.83,   0.0052,  4199.25,  3100.75
uk16,dhci,1,3000,     5.29,     1.65,   0.0090,  7544.50,  3405.50
uk16,dhci,1,4000,    13.45,     3.47,   0.0160, 10837.24,  3762.76
uk16,mi,1,100,     9.40,     8.51,   0.0788,    34.42,   330.58
uk16,mi,1,215,    10.04,     9.15,   0.0869,    69.85,   714.90
uk16,mi,1,365,    10.76,     9.67,   0.0918,   135.06,  1197.19
uk16,mi,1,685,    12.67,    10.63,   0.0991,   402.41,  2097.84
uk16,mi,1,1000,    14.35,    11.52,   0.1054,   719.74,  2930.26
uk16,mi,1,2000,    20.84,    14.56,   0.1252,  2197.56,  5102.44
uk16,mi,1,3000,    26.49,    17.61,   0.1457,  3668.80,  7281.20
uk16,mi,1,4000,    32.42,    20.57,   0.1658,  5334.32,  9265.68
uk16,hcexp,1,100,.,.,.,.,.
uk16,hcexp,1,215,.,.,.,.,.
uk16,hcexp,1,365,.,.,.,.,.
uk16,hcexp,1,685,.,.,.,.,.
uk16,hcexp,1,1000,.,.,.,.,.
uk16,hcexp,1,2000,.,.,.,.,.
uk16,hcexp,1,3000,.,.,.,.,.
uk16,hcexp,1,4000,.,.,.,.,.
uk17,dhi,1,100,     0.00,     0.00,   0.0000,        .,        .
uk17,dhi,1,215,     0.08,     0.01,   0.0000,   648.68,   136.07
uk17,dhi,1,365,     0.25,     0.08,   0.0003,   911.58,   420.67
uk17,dhi,1,685,     0.58,     0.28,   0.0015,  1302.28,  1197.97
uk17,dhi,1,1000,     0.76,     0.39,   0.0025,  1757.93,  1892.07
uk17,dhi,1,2000,     1.70,     0.78,   0.0051,  3981.27,  3318.73
uk17,dhi,1,3000,     5.20,     1.55,   0.0085,  7694.06,  3255.94
uk17,dhi,1,4000,    13.36,     3.37,   0.0153, 10916.53,  3683.47
uk17,dhci,1,100,     0.00,     0.00,   0.0000,        .,        .
uk17,dhci,1,215,     0.09,     0.02,   0.0000,   643.42,   141.33
uk17,dhci,1,365,     0.25,     0.08,   0.0003,   895.71,   436.54
uk17,dhci,1,685,     0.59,     0.28,   0.0015,  1314.64,  1185.61
uk17,dhci,1,1000,     0.76,     0.40,   0.0026,  1739.61,  1910.39
uk17,dhci,1,2000,     1.71,     0.78,   0.0052,  3975.57,  3324.43
uk17,dhci,1,3000,     5.33,     1.57,   0.0086,  7725.44,  3224.56
uk17,dhci,1,4000,    13.56,     3.44,   0.0155, 10900.05,  3699.95
uk17,mi,1,100,     9.45,     8.60,   0.0802,    32.67,   332.33
uk17,mi,1,215,     9.96,     9.19,   0.0877,    60.91,   723.84
uk17,mi,1,365,    10.81,     9.69,   0.0922,   138.72,  1193.53
uk17,mi,1,685,    12.52,    10.63,   0.0994,   377.30,  2122.95
uk17,mi,1,1000,    14.23,    11.51,   0.1055,   699.63,  2950.37
uk17,mi,1,2000,    20.48,    14.47,   0.1248,  2143.54,  5156.46
uk17,mi,1,3000,    26.17,    17.44,   0.1447,  3650.89,  7299.11
uk17,mi,1,4000,    32.22,    20.37,   0.1644,  5367.80,  9232.20
uk17,hcexp,1,100,.,.,.,.,.
uk17,hcexp,1,215,.,.,.,.,.
uk17,hcexp,1,365,.,.,.,.,.
uk17,hcexp,1,685,.,.,.,.,.
uk17,hcexp,1,1000,.,.,.,.,.
uk17,hcexp,1,2000,.,.,.,.,.
uk17,hcexp,1,3000,.,.,.,.,.
uk17,hcexp,1,4000,.,.,.,.,.
uk18,dhi,1,100,     0.00,     0.00,   0.0000,        .,        .
uk18,dhi,1,215,     0.07,     0.01,   0.0000,   682.60,   102.15
uk18,dhi,1,365,     0.30,     0.10,   0.0003,   910.51,   421.74
uk18,dhi,1,685,     0.59,     0.30,   0.0017,  1228.29,  1271.96
uk18,dhi,1,1000,     0.71,     0.41,   0.0027,  1524.77,  2125.23
uk18,dhi,1,2000,     1.79,     0.78,   0.0052,  4098.10,  3201.90
uk18,dhi,1,3000,     5.10,     1.60,   0.0087,  7522.40,  3427.60
uk18,dhi,1,4000,    12.90,     3.36,   0.0155, 10796.65,  3803.35
uk18,dhci,1,100,     0.00,     0.00,   0.0000,        .,        .
uk18,dhci,1,215,     0.07,     0.01,   0.0000,   682.03,   102.72
uk18,dhci,1,365,     0.30,     0.10,   0.0004,   903.87,   428.38
uk18,dhci,1,685,     0.59,     0.30,   0.0017,  1224.51,  1275.74
uk18,dhci,1,1000,     0.71,     0.41,   0.0027,  1521.60,  2128.40
uk18,dhci,1,2000,     1.81,     0.79,   0.0052,  4106.56,  3193.44
uk18,dhci,1,3000,     5.25,     1.62,   0.0088,  7575.65,  3374.35
uk18,dhci,1,4000,    13.15,     3.42,   0.0157, 10802.79,  3797.21
uk18,mi,1,100,     9.49,     8.57,   0.0791,    35.37,   329.63
uk18,mi,1,215,    10.17,     9.24,   0.0875,    72.34,   712.41
uk18,mi,1,365,    11.00,     9.80,   0.0927,   146.23,  1186.02
uk18,mi,1,685,    12.47,    10.70,   0.1002,   353.11,  2147.14
uk18,mi,1,1000,    13.94,    11.49,   0.1061,   640.49,  3009.51
uk18,mi,1,2000,    20.11,    14.26,   0.1239,  2124.77,  5175.23
uk18,mi,1,3000,    25.48,    17.09,   0.1427,  3606.22,  7343.78
uk18,mi,1,4000,    31.17,    19.90,   0.1615,  5281.11,  9318.89
uk18,hcexp,1,100,.,.,.,.,.
uk18,hcexp,1,215,.,.,.,.,.
uk18,hcexp,1,365,.,.,.,.,.
uk18,hcexp,1,685,.,.,.,.,.
uk18,hcexp,1,1000,.,.,.,.,.
uk18,hcexp,1,2000,.,.,.,.,.
uk18,hcexp,1,3000,.,.,.,.,.
uk18,hcexp,1,4000,.,.,.,.,.
uk19,dhi,1,100,     0.00,     0.00,   0.0000,        .,        .
uk19,dhi,1,215,     0.01,     0.00,   0.0000,   724.64,    60.11
uk19,dhi,1,365,     0.25,     0.06,   0.0002,   997.67,   334.58
uk19,dhi,1,685,     0.62,     0.28,   0.0014,  1376.75,  1123.50
uk19,dhi,1,1000,     0.80,     0.42,   0.0025,  1760.82,  1889.18
uk19,dhi,1,2000,     1.90,     0.86,   0.0055,  4007.92,  3292.08
uk19,dhi,1,3000,     4.96,     1.62,   0.0092,  7369.43,  3580.57
uk19,dhi,1,4000,    12.40,     3.31,   0.0157, 10703.04,  3896.96
uk19,dhci,1,100,     0.00,     0.00,   0.0000,        .,        .
uk19,dhci,1,215,     0.01,     0.00,   0.0000,   720.43,    64.32
uk19,dhci,1,365,     0.25,     0.06,   0.0002,   993.22,   339.03
uk19,dhci,1,685,     0.63,     0.29,   0.0014,  1374.69,  1125.56
uk19,dhci,1,1000,     0.80,     0.42,   0.0026,  1733.04,  1916.96
uk19,dhci,1,2000,     1.95,     0.87,   0.0055,  4045.63,  3254.37
uk19,dhci,1,3000,     5.16,     1.65,   0.0093,  7439.48,  3510.52
uk19,dhci,1,4000,    12.55,     3.38,   0.0160, 10663.28,  3936.72
uk19,mi,1,100,     9.01,     8.13,   0.0747,    35.94,   329.06
uk19,mi,1,215,     9.65,     8.76,   0.0830,    71.96,   712.79
uk19,mi,1,365,    10.42,     9.29,   0.0879,   144.71,  1187.54
uk19,mi,1,685,    11.99,    10.19,   0.0951,   374.74,  2125.51
uk19,mi,1,1000,    13.49,    10.99,   0.1010,   674.70,  2975.30
uk19,mi,1,2000,    19.31,    13.71,   0.1188,  2119.02,  5180.98
uk19,mi,1,3000,    24.57,    16.48,   0.1373,  3604.85,  7345.15
uk19,mi,1,4000,    29.82,    19.15,   0.1554,  5223.49,  9376.51
uk19,hcexp,1,100,.,.,.,.,.
uk19,hcexp,1,215,.,.,.,.,.
uk19,hcexp,1,365,.,.,.,.,.
uk19,hcexp,1,685,.,.,.,.,.
uk19,hcexp,1,1000,.,.,.,.,.
uk19,hcexp,1,2000,.,.,.,.,.
uk19,hcexp,1,3000,.,.,.,.,.
uk19,hcexp,1,4000,.,.,.,.,.
uk20,dhi,1,100,     0.00,     0.00,   0.0000,        .,        .
uk20,dhi,1,215,     0.06,     0.01,   0.0000,   704.87,    79.88
uk20,dhi,1,365,     0.41,     0.11,   0.0004,   964.04,   368.21
uk20,dhi,1,685,     0.83,     0.39,   0.0021,  1322.28,  1177.97
uk20,dhi,1,1000,     1.06,     0.58,   0.0036,  1636.25,  2013.75
uk20,dhi,1,2000,     1.87,     0.98,   0.0070,  3450.47,  3849.53
uk20,dhi,1,3000,     4.57,     1.64,   0.0103,  7016.99,  3933.01
uk20,dhi,1,4000,    10.96,     3.08,   0.0159, 10497.30,  4102.70
uk20,dhci,1,100,     0.00,     0.00,   0.0000,        .,        .
uk20,dhci,1,215,     0.06,     0.01,   0.0000,   704.26,    80.49
uk20,dhci,1,365,     0.46,     0.12,   0.0004,   979.14,   353.11
uk20,dhci,1,685,     0.83,     0.40,   0.0021,  1297.26,  1202.99
uk20,dhci,1,1000,     1.06,     0.59,   0.0037,  1616.50,  2033.50
uk20,dhci,1,2000,     1.87,     0.99,   0.0070,  3439.05,  3860.95
uk20,dhci,1,3000,     4.67,     1.66,   0.0103,  7065.49,  3884.51
uk20,dhci,1,4000,    11.11,     3.11,   0.0160, 10514.11,  4085.89
uk20,mi,1,100,     9.70,     8.66,   0.0788,    39.15,   325.85
uk20,mi,1,215,    10.21,     9.32,   0.0882,    68.65,   716.10
uk20,mi,1,365,    10.86,     9.83,   0.0934,   127.07,  1205.18
uk20,mi,1,685,    12.51,    10.69,   0.1003,   362.73,  2137.52
uk20,mi,1,1000,    14.25,    11.49,   0.1061,   706.05,  2943.95
uk20,mi,1,2000,    19.93,    14.28,   0.1242,  2071.29,  5228.71
uk20,mi,1,3000,    25.83,    17.11,   0.1428,  3698.86,  7251.14
uk20,mi,1,4000,    31.73,    19.97,   0.1617,  5409.71,  9190.29
uk20,hcexp,1,100,.,.,.,.,.
uk20,hcexp,1,215,.,.,.,.,.
uk20,hcexp,1,365,.,.,.,.,.
uk20,hcexp,1,685,.,.,.,.,.
uk20,hcexp,1,1000,.,.,.,.,.
uk20,hcexp,1,2000,.,.,.,.,.
uk20,hcexp,1,3000,.,.,.,.,.
uk20,hcexp,1,4000,.,.,.,.,.
