dataset,variable,eq,percentile,thr,share
at94,dhi,0,10,         8317.57,   3.0607
at94,dhi,0,20,        10618.47,   4.9951
at94,dhi,0,30,        12566.88,   6.0631
at94,dhi,0,40,        14417.48,   7.0298
at94,dhi,0,50,        16170.28,   7.9614
at94,dhi,0,60,        18650.96,   9.0864
at94,dhi,0,70,        21591.01,  10.5037
at94,dhi,0,80,        25725.45,  12.3356
at94,dhi,0,90,        32678.15,  14.9612
at94,dhi,0,100,               .,  24.0030
at94,dhci,0,10,         8317.57,   3.0607
at94,dhci,0,20,        10618.47,   4.9951
at94,dhci,0,30,        12566.88,   6.0631
at94,dhci,0,40,        14417.48,   7.0298
at94,dhci,0,50,        16170.28,   7.9614
at94,dhci,0,60,        18650.96,   9.0864
at94,dhci,0,70,        21591.01,  10.5037
at94,dhci,0,80,        25725.45,  12.3356
at94,dhci,0,90,        32678.15,  14.9612
at94,dhci,0,100,               .,  24.0030
at94,mi,0,10,.,.
at94,mi,0,20,.,.
at94,mi,0,30,.,.
at94,mi,0,40,.,.
at94,mi,0,50,.,.
at94,mi,0,60,.,.
at94,mi,0,70,.,.
at94,mi,0,80,.,.
at94,mi,0,90,.,.
at94,mi,0,100,.,.
at94,hcexp,0,10,.,.
at94,hcexp,0,20,.,.
at94,hcexp,0,30,.,.
at94,hcexp,0,40,.,.
at94,hcexp,0,50,.,.
at94,hcexp,0,60,.,.
at94,hcexp,0,70,.,.
at94,hcexp,0,80,.,.
at94,hcexp,0,90,.,.
at94,hcexp,0,100,.,.
at95,dhi,0,10,         8162.84,   3.1894
at95,dhi,0,20,        10651.29,   5.0550
at95,dhi,0,30,        12570.23,   6.1993
at95,dhi,0,40,        14118.72,   7.1343
at95,dhi,0,50,        16164.98,   8.0578
at95,dhi,0,60,        18553.09,   9.2305
at95,dhi,0,70,        21313.23,  10.5757
at95,dhi,0,80,        25161.00,  12.4215
at95,dhi,0,90,        31525.06,  14.7950
at95,dhi,0,100,               .,  23.3414
at95,dhci,0,10,         8162.84,   3.1894
at95,dhci,0,20,        10651.29,   5.0550
at95,dhci,0,30,        12570.23,   6.1993
at95,dhci,0,40,        14118.72,   7.1343
at95,dhci,0,50,        16164.98,   8.0578
at95,dhci,0,60,        18553.09,   9.2305
at95,dhci,0,70,        21313.23,  10.5757
at95,dhci,0,80,        25161.00,  12.4215
at95,dhci,0,90,        31525.06,  14.7950
at95,dhci,0,100,               .,  23.3414
at95,mi,0,10,.,.
at95,mi,0,20,.,.
at95,mi,0,30,.,.
at95,mi,0,40,.,.
at95,mi,0,50,.,.
at95,mi,0,60,.,.
at95,mi,0,70,.,.
at95,mi,0,80,.,.
at95,mi,0,90,.,.
at95,mi,0,100,.,.
at95,hcexp,0,10,.,.
at95,hcexp,0,20,.,.
at95,hcexp,0,30,.,.
at95,hcexp,0,40,.,.
at95,hcexp,0,50,.,.
at95,hcexp,0,60,.,.
at95,hcexp,0,70,.,.
at95,hcexp,0,80,.,.
at95,hcexp,0,90,.,.
at95,hcexp,0,100,.,.
at96,dhi,0,10,         8036.37,   3.4060
at96,dhi,0,20,        10129.98,   5.1302
at96,dhi,0,30,        12069.73,   6.1952
at96,dhi,0,40,        13814.63,   7.2244
at96,dhi,0,50,        15510.31,   8.1397
at96,dhi,0,60,        17638.50,   9.2248
at96,dhi,0,70,        20246.26,  10.4854
at96,dhi,0,80,        24070.80,  12.2256
at96,dhi,0,90,        30104.48,  14.8410
at96,dhi,0,100,               .,  23.1278
at96,dhci,0,10,         8036.37,   3.4060
at96,dhci,0,20,        10129.98,   5.1302
at96,dhci,0,30,        12069.73,   6.1952
at96,dhci,0,40,        13814.63,   7.2244
at96,dhci,0,50,        15510.31,   8.1397
at96,dhci,0,60,        17638.50,   9.2248
at96,dhci,0,70,        20246.26,  10.4854
at96,dhci,0,80,        24070.80,  12.2256
at96,dhci,0,90,        30104.48,  14.8410
at96,dhci,0,100,               .,  23.1278
at96,mi,0,10,.,.
at96,mi,0,20,.,.
at96,mi,0,30,.,.
at96,mi,0,40,.,.
at96,mi,0,50,.,.
at96,mi,0,60,.,.
at96,mi,0,70,.,.
at96,mi,0,80,.,.
at96,mi,0,90,.,.
at96,mi,0,100,.,.
at96,hcexp,0,10,.,.
at96,hcexp,0,20,.,.
at96,hcexp,0,30,.,.
at96,hcexp,0,40,.,.
at96,hcexp,0,50,.,.
at96,hcexp,0,60,.,.
at96,hcexp,0,70,.,.
at96,hcexp,0,80,.,.
at96,hcexp,0,90,.,.
at96,hcexp,0,100,.,.
at97,dhi,0,10,         8016.37,   3.2664
at97,dhi,0,20,        10325.40,   5.1558
at97,dhi,0,30,        12073.54,   6.2825
at97,dhi,0,40,        13831.49,   7.2231
at97,dhi,0,50,        15659.81,   8.4538
at97,dhi,0,60,        17875.08,   9.1081
at97,dhi,0,70,        20380.73,  10.6456
at97,dhi,0,80,        23933.04,  12.2674
at97,dhi,0,90,        30497.95,  14.9532
at97,dhi,0,100,               .,  22.6440
at97,dhci,0,10,         8016.37,   3.2664
at97,dhci,0,20,        10325.40,   5.1558
at97,dhci,0,30,        12073.54,   6.2825
at97,dhci,0,40,        13831.49,   7.2231
at97,dhci,0,50,        15659.81,   8.4538
at97,dhci,0,60,        17875.08,   9.1081
at97,dhci,0,70,        20380.73,  10.6456
at97,dhci,0,80,        23933.04,  12.2674
at97,dhci,0,90,        30497.95,  14.9532
at97,dhci,0,100,               .,  22.6440
at97,mi,0,10,.,.
at97,mi,0,20,.,.
at97,mi,0,30,.,.
at97,mi,0,40,.,.
at97,mi,0,50,.,.
at97,mi,0,60,.,.
at97,mi,0,70,.,.
at97,mi,0,80,.,.
at97,mi,0,90,.,.
at97,mi,0,100,.,.
at97,hcexp,0,10,.,.
at97,hcexp,0,20,.,.
at97,hcexp,0,30,.,.
at97,hcexp,0,40,.,.
at97,hcexp,0,50,.,.
at97,hcexp,0,60,.,.
at97,hcexp,0,70,.,.
