dataset,variable,eq,povline,fgt0,fgt1,fgt2,meanpoor,meangap
at94,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at94,dhi,0,215,     0.06,     0.01,   0.0000,   633.88,   150.87
at94,dhi,0,365,     0.17,     0.05,   0.0002,   898.92,   433.33
at94,dhi,0,685,     0.92,     0.28,   0.0012,  1725.64,   774.61
at94,dhi,0,1000,     1.74,     0.62,   0.0030,  2349.07,  1300.93
at94,dhi,0,2000,     6.84,     2.26,   0.0113,  4891.65,  2408.35
at94,dhi,0,3000,    21.81,     5.99,   0.0272,  7944.92,  3005.08
at94,dhi,0,4000,    41.34,    12.32,   0.0553, 10247.45,  4352.55
at94,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at94,dhci,0,215,     0.06,     0.01,   0.0000,   633.88,   150.87
at94,dhci,0,365,     0.17,     0.05,   0.0002,   898.92,   433.33
at94,dhci,0,685,     0.92,     0.28,   0.0012,  1725.64,   774.61
at94,dhci,0,1000,     1.74,     0.62,   0.0030,  2349.07,  1300.93
at94,dhci,0,2000,     6.84,     2.26,   0.0113,  4891.65,  2408.35
at94,dhci,0,3000,    21.81,     5.99,   0.0272,  7944.92,  3005.08
at94,dhci,0,4000,    41.34,    12.32,   0.0553, 10247.45,  4352.55
at94,mi,0,100,.,.,.,.,.
at94,mi,0,215,.,.,.,.,.
at94,mi,0,365,.,.,.,.,.
at94,mi,0,685,.,.,.,.,.
at94,mi,0,1000,.,.,.,.,.
at94,mi,0,2000,.,.,.,.,.
at94,mi,0,3000,.,.,.,.,.
at94,mi,0,4000,.,.,.,.,.
at94,hcexp,0,100,.,.,.,.,.
at94,hcexp,0,215,.,.,.,.,.
at94,hcexp,0,365,.,.,.,.,.
at94,hcexp,0,685,.,.,.,.,.
at94,hcexp,0,1000,.,.,.,.,.
at94,hcexp,0,2000,.,.,.,.,.
at94,hcexp,0,3000,.,.,.,.,.
at94,hcexp,0,4000,.,.,.,.,.
at95,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at95,dhi,0,215,     0.01,     0.00,   0.0000,   759.37,    25.38
at95,dhi,0,365,     0.08,     0.02,   0.0000,  1050.60,   281.65
at95,dhi,0,685,     0.92,     0.20,   0.0006,  1951.95,   548.30
at95,dhi,0,1000,     1.55,     0.49,   0.0022,  2493.46,  1156.54
at95,dhi,0,2000,     6.91,     2.02,   0.0096,  5162.48,  2137.52
at95,dhi,0,3000,    21.70,     5.97,   0.0260,  7936.73,  3013.27
at95,dhi,0,4000,    42.81,    12.40,   0.0546, 10369.74,  4230.26
at95,dhci,0,100,     0.00,     0.00,   0.0000,        .,        .
at95,dhci,0,215,     0.01,     0.00,   0.0000,   759.37,    25.38
at95,dhci,0,365,     0.08,     0.02,   0.0000,  1050.60,   281.65
at95,dhci,0,685,     0.92,     0.20,   0.0006,  1951.95,   548.30
at95,dhci,0,1000,     1.55,     0.49,   0.0022,  2493.46,  1156.54
at95,dhci,0,2000,     6.91,     2.02,   0.0096,  5162.48,  2137.52
at95,dhci,0,3000,    21.70,     5.97,   0.0260,  7936.73,  3013.27
at95,dhci,0,4000,    42.81,    12.40,   0.0546, 10369.74,  4230.26
at95,mi,0,100,.,.,.,.,.
at95,mi,0,215,.,.,.,.,.
at95,mi,0,365,.,.,.,.,.
at95,mi,0,685,.,.,.,.,.
at95,mi,0,1000,.,.,.,.,.
at95,mi,0,2000,.,.,.,.,.
at95,mi,0,3000,.,.,.,.,.
at95,mi,0,4000,.,.,.,.,.
at95,hcexp,0,100,.,.,.,.,.
at95,hcexp,0,215,.,.,.,.,.
at95,hcexp,0,365,.,.,.,.,.
at95,hcexp,0,685,.,.,.,.,.
at95,hcexp,0,1000,.,.,.,.,.
at95,hcexp,0,2000,.,.,.,.,.
at95,hcexp,0,3000,.,.,.,.,.
at95,hcexp,0,4000,.,.,.,.,.
at96,dhi,0,100,     0.00,     0.00,   0.0000,        .,        .
at96,dhi,0,215,     0.00,     0.00,   0.0000,        .,        .
at96,dhi,0,365,     0.10,     0.02,   0.0000,  1105.52,   226.73
at96,dhi,0,685,     0.42,     0.13,   0.0005,  1740.64,   759.61
at96,dhi,0,1000,     0.96,     0.31,   0.0014,  2476.85,  1173.15
at96,dhi,0,2000,     6.68,     1.82,   0.0077,  5312.38,  1987.62
