country_name,year,nuclear_weapons_depl_strat,nuclear_weapons_depl_nonstrat,nuclear_weapons_retired,nuclear_weapons_reserve_nondepl,nuclear_weapons_inventory
China,2022,0,0,0,350,350
China,2023,0,0,0,410,410
France,2022,280,0,0,10,290
France,2023,280,0,0,10,290
India,2022,0,0,0,160,160
India,2023,0,0,0,164,164
Israel,2022,0,0,0,90,90
Israel,2023,0,0,0,90,90
North Korea,2022,0,0,0,20,20
North Korea,2023,0,0,0,30,30
Pakistan,2022,0,0,0,165,165
Pakistan,2023,0,0,0,170,170
Russia,2022,1588,0,1500,2889,5977
Russia,2023,1674,0,1400,2815,5889
United Kingdom,2022,120,0,45,60,225
United Kingdom,2023,120,0,0,105,225
United States,2022,1644,100,1720,1964,5428
United States,2023,1670,100,1536,1938,5244
