varname,varlabel
country_name,Country name
year,Year
nuclear_weapons_depl_strat,Deployed strategic nuclear warheads (Federation of American Scientists 2022)
nuclear_weapons_depl_nonstrat,Deployed nonstrategic nuclear warheads (Federation of American Scientists 2022)
nuclear_weapons_retired,Retired nuclear warheads (Federation of American Scientists 2022)
nuclear_weapons_reserve_nondepl,Nondeployed reserve nuclear warheads (Federation of American Scientists 2022)
nuclear_weapons_inventory,Nuclear warheads inventory (Federation of American Scientists 2022)
