Country Name,Entity
Albania,Albania
Algeria,Algeria
Angola,Angola
Anguilla,Anguilla
Antigua and Barbuda,Antigua and Barbuda
Argentina,Argentina
Armenia,Armenia
Aruba,Aruba
Australia,Australia
Austria,Austria
Azerbaijan,Azerbaijan
"Bahamas, The",Bahamas
Bahrain,Bahrain
Bangladesh,Bangladesh
Barbados,Barbados
Belarus,Belarus
Belgium,Belgium
Belize,Belize
Benin,Benin
Bermuda,Bermuda
Bhutan,Bhutan
Bolivia,Bolivia
Bonaire,Bonaire
Bosnia and Herzegovina,Bosnia and Herzegovina
Botswana,Botswana
Brazil,Brazil
British Virgin Islands,British Virgin Islands
Brunei Darussalam,Brunei
Bulgaria,Bulgaria
Burkina Faso,Burkina Faso
Burundi,Burundi
Cabo Verde,Cabo Verde
Cambodia,Cambodia
Cameroon,Cameroon
Canada,Canada
Cayman Islands,Cayman Islands
Central African Republic,Central African Republic
Chad,Chad
Chile,Chile
China,China
Colombia,Colombia
Comoros,Comoros
"Congo, Dem. Rep.",Democratic Republic of Congo
"Congo, Rep.",Congo
Costa Rica,Costa Rica
C™te d'Ivoire,Cote d'Ivoire
Croatia,Croatia
Curacao,Curacao
Cyprus,Cyprus
Czech Republic,Czechia
Denmark,Denmark
Djibouti,Djibouti
Dominica,Dominica
Dominican Republic,Dominican Republic
East Asia & Pacific,East Asia and Pacific
Ecuador,Ecuador
"Egypt, Arab Rep.",Egypt
El Salvador,El Salvador
Equatorial Guinea,Equatorial Guinea
Estonia,Estonia
Eswatini,Eswatini
Ethiopia,Ethiopia
Europe & Central Asia,Europe and Central Asia
Fiji,Fiji
Finland,Finland
France,France
Gabon,Gabon
"Gambia, The",Gambia
Germany,Germany
Ghana,Ghana
Greece,Greece
Grenada,Grenada
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Guyana,Guyana
Haiti,Haiti
High income,High income
Honduras,Honduras
"Hong Kong SAR, China",Hong Kong
Hungary,Hungary
Iceland,Iceland
India,India
Indonesia,Indonesia
"Iran, Islamic Rep.",Iran
Iraq,Iraq
Ireland,Ireland
Israel,Israel
Italy,Italy
Jamaica,Jamaica
Japan,Japan
Jordan,Jordan
Kazakhstan,Kazakhstan
Kenya,Kenya
"Korea, Rep.",South Korea
Kuwait,Kuwait
Kyrgyz Republic,Kyrgyzstan
Lao PDR,Laos
Latin America & Caribbean,Latin America and the Caribbean
Latvia,Latvia
Lesotho,Lesotho
Liberia,Liberia
Lithuania,Lithuania
Low income,Low income
Lower middle income,Lower-middle income
Luxembourg,Luxembourg
Madagascar,Madagascar
Malawi,Malawi
Malaysia,Malaysia
Maldives,Maldives
Mali,Mali
Malta,Malta
Mauritania,Mauritania
Mauritius,Mauritius
Mexico,Mexico
Middle East & North Africa,Middle East and North Africa
Moldova,Moldova
Mongolia,Mongolia
Montenegro,Montenegro
Montserrat,Montserrat
Morocco,Morocco
Mozambique,Mozambique
Myanmar,Myanmar
Namibia,Namibia
Nepal,Nepal
Netherlands,Netherlands
New Zealand,New Zealand
Nicaragua,Nicaragua
Niger,Niger
Nigeria,Nigeria
North America,North America
North Macedonia,North Macedonia
Norway,Norway
Oman,Oman
Pakistan,Pakistan
Panama,Panama
Paraguay,Paraguay
Peru,Peru
Philippines,Philippines
Poland,Poland
Portugal,Portugal
Qatar,Qatar
Romania,Romania
Russian Federation,Russia
Rwanda,Rwanda
Sao Tome and Principe,Sao Tome and Principe
Saudi Arabia,Saudi Arabia
Senegal,Senegal
Serbia,Serbia
Seychelles,Seychelles
Sierra Leone,Sierra Leone
Singapore,Singapore
Sint Maarten (Dutch part),Sint Maarten (Dutch part)
Slovak Republic,Slovakia
Slovenia,Slovenia
South Africa,South Africa
South Asia,South Asia
Spain,Spain
Sri Lanka,Sri Lanka
St. Kitts and Nevis,Saint Kitts and Nevis
St. Lucia,Saint Lucia
St. Vincent and the Grenadines,Saint Vincent and the Grenadines
Sub-Saharan Africa,Sub-Saharan Africa
Sudan,Sudan
Suriname,Suriname
Sweden,Sweden
Switzerland,Switzerland
"Taiwan, China",Taiwan
Tajikistan,Tajikistan
Tanzania,Tanzania
Thailand,Thailand
Togo,Togo
Trinidad and Tobago,Trinidad and Tobago
Tunisia,Tunisia
TŸrkiye,Turkey
Turks and Caicos Islands,Turks and Caicos Islands
Uganda,Uganda
United Arab Emirates,United Arab Emirates
United Kingdom,United Kingdom
United States,United States
Upper middle income,Upper-middle income
Uruguay,Uruguay
Vietnam,Vietnam
West Bank and Gaza,Palestine
World,World
Zambia,Zambia
Zimbabwe,Zimbabwe
