country_name,year,nuclear_warheads_stockpile,nuclear_warheads_firststrike,nuclwarh_firststr_yield,nuclwarh_firststr_area
China,1964,1,1,.1169607117772102,6.0468688
China,1965,5,5,.584803581237793,30.234344
China,1966,20,20,2.122813701629639,109.74947
China,1967,25,25,2.491216897964478,128.79591
China,1968,35,34,34.01417541503906,1758.5328
China,1969,50,44,43.04283142089844,2225.3145
China,1970,75,61,55.90399551391602,2890.2366
China,1971,100,81,74.38400268554688,3845.6528
China,1972,130,117,129.2913818359375,6684.3643
China,1973,150,144,176.4794464111328,9123.9873
China,1974,170,170,213.6436157226563,11045.375
China,1975,180,180,231.3868255615234,11962.699
China,1976,180,180,231.3868103027344,11962.698
China,1977,180,180,231.3868103027344,11962.698
China,1978,190,190,249.5527191162109,12901.876
China,1979,195,195,267.3502197265625,13822.007
China,1980,205,205,285.51611328125,14761.183
China,1981,210,210,296.7061157226563,15339.706
China,1982,216,216,307.9438171386719,15920.695
China,1983,218,218,320.545166015625,16572.186
China,1984,220,220,334.3236389160156,17284.531
China,1985,222,222,330.2499389648438,17073.922
China,1986,224,224,333.0377502441406,17218.051
China,1987,226,226,352.8319091796875,18241.41
China,1988,228,228,349.9384155273438,18091.816
China,1989,230,230,362.4518432617188,18738.76
China,1990,232,232,348.9873046875,18042.645
China,1991,234,234,336.1990966796875,17381.494
China,1992,234,234,336.1990966796875,17381.494
China,1993,234,234,336.1990966796875,17381.494
China,1994,234,234,336.1990966796875,17381.494
China,1995,234,234,336.1990966796875,17381.494
China,1996,234,234,353.1180725097656,18256.205
China,1997,232,232,349.6539611816406,18077.109
China,1998,232,232,349.6539611816406,18077.109
China,1999,232,232,339.953857421875,17575.615
China,2000,232,232,339.953857421875,17575.615
China,2001,235,235,345.1500244140625,17844.256
China,2002,235,235,344.4736938476563,17809.289
China,2003,235,235,344.4736938476563,17809.289
China,2004,235,235,344.4736938476563,17809.289
China,2005,235,235,344.4736938476563,17809.289
China,2006,235,111,163.1814422607422,8436.4805
China,2007,235,125,169.4554138183594,8760.8447
China,2008,235,153,175.9140625,9094.7568
China,2009,240,158,178.1547546386719,9210.6006
China,2010,240,166,167.1321563720703,8640.7324
France,1960,0,0,0,0
France,1961,0,0,0,0
France,1962,0,0,0,0
France,1963,0,0,0,0
France,1964,4,4,.6130475401878357,31.694557
France,1965,32,32,4.904380321502686,253.55646
France,1966,36,36,5.517427921295166,285.25104
France,1967,36,36,5.517427921295166,285.25104
France,1968,36,36,5.517427921295166,285.25104
France,1969,36,36,5.517427921295166,285.25104
France,1970,36,36,5.517427921295166,285.25104
France,1971,45,45,7.70702075958252,398.45297
France,1972,70,70,19.97598266601563,1032.7583
France,1973,116,86,30.05535125732422,1553.8617
France,1974,145,86,30.05535125732422,1553.8617
France,1975,188,86,30.05535125732422,1553.8617
France,1976,212,82,29.44230270385742,1522.167
France,1977,228,98,45.44230270385742,2349.3669
France,1978,235,105,59.25270843505859,3063.365
France,1979,235,105,59.25270843505859,3063.365
France,1980,250,105,77.90438079833984,4027.6565
France,1981,274,105,77.90438079833984,4027.6565
France,1982,274,105,77.90438079833984,4027.6565
France,1983,279,110,86.29133605957031,4461.2622
France,1984,280,110,86.29133605957031,4461.2622
France,1985,360,190,97.39317321777344,5035.2271
France,1986,355,186,98.54939270019531,5095.0034
France,1987,420,266,111.4205017089844,5760.4399
France,1988,410,260,112.2702026367188,5804.3696
France,1989,410,260,112.2702026367188,5804.3696
France,1990,505,340,123.3720397949219,6378.3345
France,1991,540,420,134.473876953125,6952.2993
France,1992,540,420,134.473876953125,6952.2993
France,1993,525,420,134.473876953125,6952.2993
France,1994,510,420,134.473876953125,6952.2993
France,1995,500,420,134.473876953125,6952.2993
France,1996,450,420,128.0546112060547,6620.4233
France,1997,450,429,122.1544036865234,6315.3828
France,1998,450,429,122.1544036865234,6315.3828
France,1999,450,429,122.1544036865234,6315.3828
France,2000,470,429,115.7351379394531,5983.5068
France,2001,350,338,90.87400817871094,4698.186
France,2002,350,338,90.87400817871094,4698.186
France,2003,350,338,90.87400817871094,4698.186
France,2004,350,338,90.87400817871094,4698.186
France,2005,350,338,84.45474243164063,4366.3101
France,2006,350,338,84.45474243164063,4366.3101
France,2007,350,338,84.45474243164063,4366.3101
France,2008,348,290,74.11345672607422,3831.6658
France,2009,300,290,74.11345672607422,3831.6658
France,2010,300,290,74.11345672607422,3831.6658
India,1988,0,0,0,0
India,1989,0,0,0,0
India,1990,0,0,0,0
India,1991,0,0,0,0
India,1992,0,0,0,0
India,1993,0,0,0,0
India,1994,3,3,.182466059923172,9.4334955
India,1995,3,3,.182466059923172,9.4334955
India,1996,3,3,.182466059923172,9.4334955
India,1997,3,3,.182466059923172,9.4334955
India,1998,3,3,.182466059923172,9.4334955
India,1999,8,8,.4865761697292328,25.155989
India,2000,13,13,.7906862497329712,40.878479
India,2001,18,18,1.094796299934387,56.600967
India,2002,23,23,1.398906469345093,72.323463
India,2003,28,28,1.900430798530579,98.252274
India,2004,33,33,2.204540729522705,113.97475
India,2005,38,38,3.051539897918701,157.76462
India,2006,43,43,3.355649948120117,173.48711
India,2007,50,50,4.028172016143799,208.2565
India,2008,60,60,4.636392116546631,239.70148
India,2009,70,70,5.293965816497803,273.69803
India,2010,80,80,5.902186393737793,305.14304
Israel,1967,2,,,
Israel,1968,4,,,
Israel,1969,6,,,
Israel,1970,8,,,
Israel,1971,11,,,
Israel,1972,13,,,
Israel,1973,15,,,
Israel,1974,17,,,
Israel,1975,20,,,
Israel,1976,22,,,
Israel,1977,24,,,
Israel,1978,26,,,
Israel,1979,29,,,
Israel,1980,31,,,
Israel,1981,33,,,
Israel,1982,35,,,
Israel,1983,38,,,
Israel,1984,40,,,
Israel,1985,42,,,
Israel,1986,44,,,
Israel,1987,47,,,
Israel,1988,49,,,
Israel,1989,51,,,
Israel,1990,53,,,
Israel,1991,56,,,
Israel,1992,58,,,
Israel,1993,60,,,
Israel,1994,62,,,
Israel,1995,63,,,
Israel,1996,64,,,
Israel,1997,66,,,
Israel,1998,68,,,
Israel,1999,70,,,
Israel,2000,72,,,
Israel,2001,74,,,
Israel,2002,76,,,
Israel,2003,78,,,
Israel,2004,80,,,
Israel,2005,80,,,
Israel,2006,80,,,
Israel,2007,80,,,
Israel,2008,80,,,
Israel,2009,80,,,
Israel,2010,80,,,
Pakistan,1990,0,0,0,0
Pakistan,1991,0,0,0,0
Pakistan,1992,0,0,0,0
Pakistan,1993,0,0,0,0
Pakistan,1994,0,0,0,0
Pakistan,1995,2,2,.1048296540975571,5.419693
Pakistan,1996,2,2,.1048296540975571,5.419693
Pakistan,1997,2,2,.1048296540975571,5.419693
Pakistan,1998,2,2,.1048296540975571,5.419693
Pakistan,1999,8,8,.4193186163902283,21.678772
Pakistan,2000,14,14,.7338075637817383,37.937851
Pakistan,2001,20,20,1.048296570777893,54.196934
Pakistan,2002,26,26,1.362785577774048,70.456017
Pakistan,2003,32,32,3.118223667144775,161.21216
Pakistan,2004,38,38,5.405400276184082,279.4592
Pakistan,2005,44,44,6.565327167510986,339.42743
Pakistan,2006,50,50,7.725254058837891,399.39563
Pakistan,2007,60,60,9.658464431762695,499.34262
Pakistan,2008,70,70,11.59167575836182,599.28961
Pakistan,2009,80,80,12.74561786651611,658.94843
Pakistan,2010,90,90,13.99881076812744,723.73853
Russia,1949,1,0,0,0
Russia,1950,5,0,0,0
Russia,1951,25,0,0,0
Russia,1952,50,0,0,0
Russia,1953,120,0,0,0
Russia,1954,150,0,0,0
Russia,1955,200,0,0,0
Russia,1956,426,130,123.9635467529297,6408.9155
Russia,1957,660,164,161.8909149169922,8369.7607
Russia,1958,863,236,324.5698547363281,16780.262
Russia,1959,1048,303,419.6874084472656,21697.84
Russia,1960,1627,490,729.334228515625,37706.578
Russia,1961,2492,771,1148.77978515625,59391.914
Russia,1962,3346,918,1390.087036132813,71867.5
Russia,1963,4259,1125,1764.310302734375,91214.844
Russia,1964,5242,1277,2083.839111328125,107734.48
Russia,1965,6144,1358,2201.888916015625,113837.66
Russia,1966,7091,1441,2314.541259765625,119661.78
Russia,1967,8400,1833,2879.303955078125,148860.02
Russia,1968,9490,2064,3240.127197265625,167514.58
Russia,1969,10671,2368,3639.677734375,188171.34
Russia,1970,11736,2627,4011.2294921875,207380.56
Russia,1971,13279,2734,4172.94970703125,215741.5
Russia,1972,14600,2813,4248.216796875,219632.81
Russia,1973,15878,2863,4311.26611328125,222892.45
Russia,1974,17286,2852,4261.03076171875,220295.3
Russia,1975,19235,3446,4615.72265625,238632.86
Russia,1976,22165,3980,4791.96630859375,247744.66
Russia,1977,24281,4534,4736.81884765625,244893.53
Russia,1978,26169,5663,4994.19482421875,258199.88
Russia,1979,28258,6909,5668.6396484375,293068.66
Russia,1980,30665,7741,5974.12841796875,308862.44
Russia,1981,32146,8576,6185.01220703125,319765.13
Russia,1982,33486,9163,6348.3154296875,328207.91
Russia,1983,35130,9500,6306.87939453125,326065.66
Russia,1984,36825,9909,6446.69140625,333293.94
Russia,1985,38582,10440,6598.60546875,341147.91
Russia,1986,40159,10715,6673.248046875,345006.94
Russia,1987,38107,11158,6757.8359375,349380.13
Russia,1988,36538,11397,6807.80126953125,351963.31
Russia,1989,35078,11536,6775.1650390625,350276.03
Russia,1990,32980,10673,6317.7373046875,326627.03
Russia,1991,29154,9992,5619.310546875,290518.34
Russia,1992,26734,9458,5307.30224609375,274387.53
Russia,1993,24403,8827,4867.275390625,251638.14
Russia,1994,21339,7950,4246.11962890625,219524.39
Russia,1995,18179,7361,3764.598876953125,194629.77
Russia,1996,15942,7250,3690.2529296875,190786.08
Russia,1997,15442,6792,3583.69140625,185276.84
Russia,1998,14368,6554,3532.8046875,182646
Russia,1999,13188,6478,3498.53125,180874.06
Russia,2000,12188,6478,3498.53125,180874.06
Russia,2001,11152,5263,2850.7734375,147384.98
Russia,2002,10114,4951,2777.48046875,143595.73
Russia,2003,9076,4852,2701.942138671875,139690.41
Russia,2004,8038,4422,2408.81298828125,124535.63
Russia,2005,7000,3814,2150.64501953125,111188.34
Russia,2006,6643,3503,1937.823974609375,100185.5
Russia,2007,6286,3339,1798.624633789063,92988.891
Russia,2008,5929,3113,1649.84619140625,85297.047
Russia,2009,5527,2787,1469.063598632813,75950.586
Russia,2010,5215,2504,1260.757080078125,65181.141
South Africa,1982,3,3,.1742635667324066,9.0094261
South Africa,1983,3,3,.1742635667324066,9.0094261
South Africa,1984,4,4,.2323514223098755,12.012568
South Africa,1985,5,5,.2904392778873444,15.015711
South Africa,1986,5,5,.2904392778873444,15.015711
South Africa,1987,6,5,.2904392778873444,15.015711
South Africa,1988,6,5,.2904392778873444,15.015711
South Africa,1989,6,5,.2904392778873444,15.015711
South Africa,1990,6,5,.2904392778873444,15.015711
United Kingdom,1952,0,0,0,0
United Kingdom,1953,1,0,0,0
United Kingdom,1954,5,0,0,0
United Kingdom,1955,10,8,2.35778021812439,121.89724
United Kingdom,1956,50,48,14.14668083190918,731.38342
United Kingdom,1957,58,58,17.09390640258789,883.75494
United Kingdom,1958,60,60,18.17967414855957,939.88916
United Kingdom,1959,78,78,27.95157623291016,1445.0964
United Kingdom,1960,105,95,37.18059539794922,1922.2368
United Kingdom,1961,155,145,87.18059539794922,4507.2368
United Kingdom,1962,211,136,125.1031188964844,6467.8311
United Kingdom,1963,256,126,136.596435546875,7062.0356
United Kingdom,1964,271,126,136.596435546875,7062.0356
United Kingdom,1965,271,126,136.596435546875,7062.0356
United Kingdom,1966,281,136,142.0252838134766,7342.707
United Kingdom,1967,355,156,152.8829498291016,7904.0483
United Kingdom,1968,317,88,67.66442108154297,3498.2505
United Kingdom,1969,306,116,59.10807037353516,3055.8872
United Kingdom,1970,375,144,65.31837463378906,3376.96
United Kingdom,1971,412,156,71.83297729492188,3713.7649
United Kingdom,1972,423,174,81.60487365722656,4218.9722
United Kingdom,1973,500,256,126.1213226318359,6520.4722
United Kingdom,1974,500,256,126.1213226318359,6520.4722
United Kingdom,1975,500,256,126.1213226318359,6520.4722
United Kingdom,1976,500,256,126.1213226318359,6520.4722
United Kingdom,1977,500,256,126.1213226318359,6520.4722
United Kingdom,1978,500,256,126.1213226318359,6520.4722
United Kingdom,1979,500,256,126.1213226318359,6520.4722
United Kingdom,1980,500,256,126.1213226318359,6520.4722
United Kingdom,1981,500,256,126.1213226318359,6520.4722
United Kingdom,1982,385,224,105.1485061645508,5436.1777
United Kingdom,1983,380,64,18.28714179992676,945.44525
United Kingdom,1984,350,64,14.68658828735352,759.29663
United Kingdom,1985,350,64,11.08603668212891,573.14807
United Kingdom,1986,350,64,11.08603668212891,573.14807
United Kingdom,1987,350,64,7.485485553741455,386.9996
United Kingdom,1988,350,64,7.485485553741455,386.9996
United Kingdom,1989,350,64,7.485485553741455,386.9996
United Kingdom,1990,350,64,7.485485553741455,386.9996
United Kingdom,1991,350,64,7.485485553741455,386.9996
United Kingdom,1992,250,64,7.485485553741455,386.9996
United Kingdom,1993,250,48,7.485485553741455,386.9996
United Kingdom,1994,250,48,7.485485553741455,386.9996
United Kingdom,1995,234,96,15.95540046691895,824.89423
United Kingdom,1996,203,96,20.68257331848145,1069.2891
United Kingdom,1997,203,96,20.68257331848145,1069.2891
United Kingdom,1998,240,144,31.02385902404785,1603.9335
United Kingdom,1999,240,144,31.02385902404785,1603.9335
United Kingdom,2000,280,144,31.02385902404785,1603.9335
United Kingdom,2001,280,144,31.02385902404785,1603.9335
United Kingdom,2002,280,144,31.02385902404785,1603.9335
United Kingdom,2003,280,144,31.02385902404785,1603.9335
United Kingdom,2004,280,144,31.02385902404785,1603.9335
United Kingdom,2005,280,144,31.02385902404785,1603.9335
United Kingdom,2006,225,144,31.02385902404785,1603.9335
United Kingdom,2007,225,144,31.02385902404785,1603.9335
United Kingdom,2008,225,144,31.02385902404785,1603.9335
United Kingdom,2009,225,144,31.02385902404785,1603.9335
United Kingdom,2010,225,144,31.02385902404785,1603.9335
United States,1945,2,2,.1522332578897476,7.8704596
United States,1946,9,9,.6850496530532837,35.417068
United States,1947,13,13,.9895161390304565,51.157986
United States,1948,50,50,3.805831432342529,196.76149
United States,1949,170,121,11.94060897827148,617.32947
United States,1950,299,225,22.20361328125,1147.9268
United States,1951,438,438,129.0884704589844,6673.874
United States,1952,841,660,194.5168609619141,10056.521
United States,1953,1169,878,166.03955078125,8584.2451
United States,1954,1703,1418,834.500244140625,43143.664
United States,1955,2422,1755,3783.91015625,195628.16
United States,1956,3692,2123,9027.59375,466726.59
United States,1957,5543,2460,9591.146484375,495862.28
