varname,varlabel
country_name,
year,year
nuclear_warheads_stockpile,Stockpiled nuclear warheads
nuclear_warheads_firststrike,Strategic nuclear warheads deliverable in first strike
nuclwarh_firststr_yield,Megatons of nuclear warheads deliverable in first strike
nuclwarh_firststr_area,Destroyable area by nuclear weapons deliverable in first strike (in km2)
