Country/territory,Entity
South Africa,South Africa
Cameroon,Cameroon
Central African Republic,Central African Republic
"Congo, DR",Democratic Republic of Congo
"Congo, Republic",Congo
Equatorial Guinea,Equatorial Guinea
Gabon,Gabon
Sao Tome and Principe,Sao Tome and Principe
Burundi,Burundi
Kenya,Kenya
Rwanda,Rwanda
Seychelles,Seychelles
Tanzania,Tanzania
Uganda,Uganda
Djibouti,Djibouti
Eritrea,Eritrea
Ethiopia,Ethiopia
"Ethiopia, former",
Somalia,Somalia
"Sudan, former",Sudan (former)
Burkina Faso,Burkina Faso
Cape Verde,Cape Verde
Chad,Chad
Gambia,Gambia
Mali,Mali
Mauritania,Mauritania
Niger,Niger
Senegal,Senegal
Angola,Angola
Botswana,Botswana
Comoros,Comoros
Lesotho,Lesotho
Madagascar,Madagascar
Malawi,Malawi
Mauritius,Mauritius
Mozambique,Mozambique
Namibia,Namibia
Réunion (France),Reunion
Swaziland,Eswatini
Zambia,Zambia
Zimbabwe,Zimbabwe
Benin,Benin
Côte d'Ivoire,Cote d'Ivoire
Ghana,Ghana
Guinea,Guinea
Guinea-Bissau,Guinea-Bissau
Liberia,Liberia
Nigeria,Nigeria
Sierra Leone,Sierra Leone
Togo,Togo
Bahamas,Bahamas
Cuba,Cuba
Dominican Republic,Dominican Republic
Haiti,Haiti
Jamaica,Jamaica
Lesser Antilles,Netherlands Antilles
Puerto Rico (USA),Puerto Rico
Trinidad and Tobago,Trinidad and Tobago
Belize,Belize
Costa Rica,Costa Rica
El Salvador,El Salvador
Guatemala,Guatemala
Honduras,Honduras
Mexico,Mexico
Nicaragua,Nicaragua
Panama,Panama
Bolivia,Bolivia
Colombia,Colombia
Ecuador,Ecuador
Peru,Peru
Venezuela,Venezuela
Brazil,Brazil
French Guiana (France),French Guiana
Guyana,Guyana
Suriname,Suriname
Argentina,Argentina
Chile,Chile
Paraguay,Paraguay
Uruguay,Uruguay
Canada,Canada
United States,United States
Japan,Japan
"Korea, Republic",South Korea
Singapore,Singapore
Taiwan,Taiwan
China,China
"Korea, DPR",North Korea
Mongolia,Mongolia
Brunei Darussalam,Brunei
Cambodia,Cambodia
Indonesia,Indonesia
Laos,Laos
Malaysia,Malaysia
Myanmar,Myanmar
Philippines,Philippines
Thailand,Thailand
Timor-Leste,Timor
Viet Nam,Vietnam
Fiji,Fiji
Micronesia,Micronesia
New Caledonia (France),New Caledonia
Papua New Guinea,Papua New Guinea
Polynesia,Polynesia
Solomon Islands,Solomon Islands
Vanuatu,Vanuatu
Afghanistan,Afghanistan
Bangladesh,Bangladesh
Bhutan,Bhutan
India,India
Nepal,Nepal
Pakistan,Pakistan
Sri Lanka,Sri Lanka
Austria,Austria
Belgium,Belgium
Luxembourg,Luxembourg
Belgium-Luxembourg,Belgium-Luxembourg
Denmark,Denmark
Finland,Finland
France,France
Germany,Germany
Iceland,Iceland
Ireland,Ireland
Netherlands,Netherlands
Norway,Norway
Sweden,Sweden
Switzerland,Switzerland
United Kingdom,United Kingdom
Cyprus,Cyprus
Greece,Greece
Italy,Italy
Malta,Malta
Portugal,Portugal
Spain,Spain
Albania,Albania
Bulgaria,Bulgaria
Czech Republic,Czechia
Slovakia,Slovakia
"Czechslovakia, former",Czechslovakia
Hungary,Hungary
Poland,Poland
Romania,Romania
Bosnia and Herzegovina,Bosnia and Herzegovina
Croatia,Croatia
Macedonia,North Macedonia
Slovenia,Slovenia
Montenegro,Montenegro
Serbia,Serbia
Serbia and Montenegro,Serbia and Montenegro
"Yugoslavia, former",Yugoslavia
Algeria,Algeria
Egypt,Egypt
Libya,Libya
Morocco,Morocco
Tunisia,Tunisia
Bahrain,Bahrain
Iran,Iran
Iraq,Iraq
Israel,Israel
West Bank and Gaza,Palestine
Jordan,Jordan
Kuwait,Kuwait
Lebanon,Lebanon
Oman,Oman
Qatar,Qatar
Saudi Arabia,Saudi Arabia
Syria,Syria
Turkey,Turkey
United Arab Emirates,United Arab Emirates
Yemen,Yemen
Australia,Australia
New Zealand,New Zealand
Estonia,Estonia
Latvia,Latvia
Lithuania,Lithuania
Armenia,Armenia
Azerbaijan,Azerbaijan
Georgia,Georgia
Kyrgyzstan,Kyrgyzstan
Tajikistan,Tajikistan
Turkmenistan,Turkmenistan
Uzbekistan,Uzbekistan
Belarus,Belarus
Kazakhstan,Kazakhstan
Moldova,Moldova
Russian Federation,Russia
Ukraine,Ukraine
"USSR, former",USSR (former)
"SSA, Central",Central Africa
"SSA, Eastern",East Africa
"SSA, Horn",Horn of Africa
"SSA, Southern",Southern Africa
"SSA, Sahel",Sahel
"SSA, Western",West Africa
"SSA, Nigeria",
"AFRICA, SUB-SAHARA (except South Africa)",Sub-Saharan Africa (excl. South Africa)
Caribbean,Caribbean
Central America,Central America
"SA, Andean",Andean
"SA, NE",
"SA, Southern Cone",
"AMERICA, LAC",Latin America
"AMERICA, NORTH",North America
"Asia, Developed",Developed Asia
NE Asia,North-east Asia
SE Asia,South-east Asia
Pacific,Pacific
South Asia,South Asia
ASIA (except West Asia),Asia (excl. West Asia)
"Europe, Northwest",Northwest Europe
"Europe, Southern",Southern Europe
"Europe, Transition",
EUROPE (except USSR),Europe (excl. USSR)
North Africa,North Africa
