entity,year,crater_diameter
Araguainha (Brazil),-254700000,40
Chesapeake Bay (U.S.A.),-35500000,40
Mjølnir (Norway),-142000000,40
Puchezh-Katunki (Russia),-167000000,40
Saint Martin (Canada),-220000000,40
Woodleigh (Western Australia),-364000000,40
Montagnais (Canada),-50500000,45
Kara-Kul (Tajikistan),-5000000,52
Siljan (Sweden),-376800000,52
Charlevoix (Canada),-342000000,54
Tookoonooka (Queensland),-128000000,55
Beaverhead (U.S.A.),-600000000,60
Kara (Russia),-70300000,65
Morokweng (South Africa),-145000000,70
Manicouagan (Canada),-214000000,85
Acraman (South Australia),-590000000,90
Popigai (Russia),-35700000,90
Sudbury (Canada),-1850000000,130
Chicxulub (Mexico),-64980000,150
Vredefort (South Africa),-2023000000,160
