IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
LEADCONTROL,Legally-binding controls on lead paint,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,EUR,Europe,Country,AND,Andorra,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AFR,Africa,Country,AGO,Angola,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,EUR,Europe,Country,AZE,Azerbaijan,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AMR,Americas,Country,BRB,Barbados,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AMR,Americas,Country,BLZ,Belize,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AFR,Africa,Country,BEN,Benin,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,SEAR,South-East Asia,Country,BTN,Bhutan,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AFR,Africa,Country,BFA,Burkina Faso,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AFR,Africa,Country,BDI,Burundi,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,WPR,Western Pacific,Country,KHM,Cambodia,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AFR,Africa,Country,CAF,Central African Republic,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AFR,Africa,Country,TCD,Chad,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
LEADCONTROL,Legally-binding controls on lead paint,text,AFR,Africa,Country,COM,Comoros,Year,2023,true,,,,,,,,,,,,,,,,,,,No,823,,EN,2023-04-16T23:00:00.000Z
