dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
at94,dhi,0,   6338423, 24190.56, 21461.46,    0.282,     4.96,     8.05,    13.12,     1.76,     2.68,     3.94,   0.0092,   0.0138,   0.0197,  5533.87,  7153.21,  9012.28,  3050.72,  3577.52,  3864.60
at94,dhci,0,   6338423, 24190.56, 21461.46,    0.282,     4.96,     8.05,    13.12,     1.76,     2.68,     3.94,   0.0092,   0.0138,   0.0197,  5533.87,  7153.21,  9012.28,  3050.72,  3577.52,  3864.60
at94,mi,0,   6338423,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at95,dhi,0,   6302565, 23900.81, 21554.25,    0.266,     4.04,     7.13,    12.82,     1.43,     2.23,     3.51,   0.0077,   0.0114,   0.0166,  5570.51,  7403.12,  9395.71,  3051.18,  3374.00,  3536.84
at95,dhci,0,   6302565, 23900.81, 21554.25,    0.266,     4.04,     7.13,    12.82,     1.43,     2.23,     3.51,   0.0077,   0.0114,   0.0166,  5570.51,  7403.12,  9395.71,  3051.18,  3374.00,  3536.84
at95,mi,0,   6302565,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at96,dhi,0,   6326217, 22880.32, 20499.07,    0.261,     3.98,     6.45,    12.62,     1.18,     1.97,     3.17,   0.0059,   0.0095,   0.0143,  5765.74,  7123.15,  9204.81,  2433.89,  3126.38,  3094.63
at96,dhci,0,   6326217, 22880.32, 20499.07,    0.261,     3.98,     6.45,    12.62,     1.18,     1.97,     3.17,   0.0059,   0.0095,   0.0143,  5765.74,  7123.15,  9204.81,  2433.89,  3126.38,  3094.63
at96,mi,0,   6326217,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at97,dhi,0,   6370700, 22723.43, 20869.84,    0.254,     4.02,     7.38,    13.39,     1.26,     2.13,     3.45,   0.0061,   0.0099,   0.0153,  5734.68,  7419.69,  9295.37,  2613.25,  3015.23,  3226.53
at97,dhci,0,   6370700, 22723.43, 20869.84,    0.254,     4.02,     7.38,    13.39,     1.26,     2.13,     3.45,   0.0061,   0.0099,   0.0153,  5734.68,  7419.69,  9295.37,  2613.25,  3015.23,  3226.53
at97,mi,0,   6370700,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at98,dhi,0,   6427934, 23644.78, 21082.57,    0.278,     4.31,     7.63,    13.42,     1.61,     2.47,     3.77,   0.0086,   0.0128,   0.0183,  5274.64,  7134.52,  9093.01,  3158.39,  3406.76,  3556.53
at98,dhci,0,   6427934, 23644.78, 21082.57,    0.278,     4.31,     7.63,    13.42,     1.61,     2.47,     3.77,   0.0086,   0.0128,   0.0183,  5274.64,  7134.52,  9093.01,  3158.39,  3406.76,  3556.53
at98,mi,0,   6427934,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at99,dhi,0,   6518012, 24066.76, 21936.15,    0.263,     3.99,     7.86,    13.85,     1.22,     2.12,     3.58,   0.0064,   0.0100,   0.0156,  6085.67,  8005.30,  9753.80,  2688.79,  2962.78,  3407.89
at99,dhci,0,   6518012, 24066.76, 21936.15,    0.263,     3.99,     7.86,    13.85,     1.22,     2.12,     3.58,   0.0064,   0.0100,   0.0156,  6085.67,  8005.30,  9753.80,  2688.79,  2962.78,  3407.89
at99,mi,0,   6518012,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
