dataset,variable,eq,pop,mean,median,gini,fgt0_40,fgt0_50,fgt0_60,fgt1_40,fgt1_50,fgt1_60,fgt2_40,fgt2_50,fgt2_60,meanpoor_40,meanpoor_50,meanpoor_60,meangap_40,meangap_50,meangap_60
at94,dhi,0,   8027539, 19122.38, 16170.28,    0.308,     5.28,     9.12,    15.77,     1.76,     2.79,     4.36,   0.0089,   0.0139,   0.0205,  4317.45,  5610.38,  7020.65,  2150.66,  2474.76,  2681.52
at94,dhci,0,   8027539, 19122.38, 16170.28,    0.308,     5.28,     9.12,    15.77,     1.76,     2.79,     4.36,   0.0089,   0.0139,   0.0205,  4317.45,  5610.38,  7020.65,  2150.66,  2474.76,  2681.52
at94,mi,0,   8027539,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at95,dhi,0,   8047432, 18715.91, 16164.98,    0.299,     5.10,     9.58,    16.27,     1.51,     2.62,     4.32,   0.0074,   0.0121,   0.0190,  4546.58,  5869.35,  7121.76,  1919.41,  2213.14,  2577.23
at95,dhci,0,   8047432, 18715.91, 16164.98,    0.299,     5.10,     9.58,    16.27,     1.51,     2.62,     4.32,   0.0074,   0.0121,   0.0190,  4546.58,  5869.35,  7121.76,  1919.41,  2213.14,  2577.23
at95,mi,0,   8047432,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at96,dhi,0,   8060850, 17956.15, 15510.31,    0.293,     4.31,     8.54,    15.52,     1.15,     2.16,     3.77,   0.0050,   0.0091,   0.0153,  4547.24,  5797.66,  7045.29,  1656.89,  1957.49,  2260.90
at96,dhci,0,   8060850, 17956.15, 15510.31,    0.293,     4.31,     8.54,    15.52,     1.15,     2.16,     3.77,   0.0050,   0.0091,   0.0153,  4547.24,  5797.66,  7045.29,  1656.89,  1957.49,  2260.90
at96,mi,0,   8060850,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at97,dhi,0,   8069875, 17939.02, 15659.81,    0.291,     5.24,     9.15,    15.86,     1.45,     2.53,     4.14,   0.0069,   0.0116,   0.0182,  4527.77,  5661.03,  6941.88,  1736.16,  2168.88,  2454.00
at97,dhci,0,   8069875, 17939.02, 15659.81,    0.291,     5.24,     9.15,    15.86,     1.45,     2.53,     4.14,   0.0069,   0.0116,   0.0182,  4527.77,  5661.03,  6941.88,  1736.16,  2168.88,  2454.00
at97,mi,0,   8069875,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
at98,dhi,0,   8078621, 18811.62, 15844.78,    0.313,     4.39,     8.59,    15.41,     1.44,     2.42,     3.99,   0.0078,   0.0119,   0.0179,  4262.10,  5694.39,  7047.31,  2075.81,  2228.00,  2459.56
at98,dhci,0,   8078621, 18811.62, 15844.78,    0.313,     4.39,     8.59,    15.41,     1.44,     2.42,     3.99,   0.0078,   0.0119,   0.0179,  4262.10,  5694.39,  7047.31,  2075.81,  2228.00,  2459.56
at98,mi,0,   8078621,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
