country_name,year,bioweapons_status_current,bioweapons_status_current_num,bioweapons_status_hist,bioweapons_status_hist_num,chemweapons_status_current,chemweapons_status_current_num,chemweapons_status_hist,chemweapons_status_hist_num,num_bioweapons_curr_neither,num_bioweapons_curr_allepur,num_bioweapons_hist_neither,num_bioweapons_hist_allepur,num_bioweapons_hist_pur,num_bioweapons_hist_alleposs,num_bioweapons_hist_poss,num_bioweapons_hist_use,num_chemweapons_curr_neither,num_chemweapons_curr_allepur,num_chemweapons_curr_poss,num_chemweapons_curr_alleuse,num_chemweapons_curr_use,num_chemweapons_hist_neither,num_chemweapons_hist_pur,num_chemweapons_hist_alleposs,num_chemweapons_hist_poss,num_chemweapons_hist_alleuse,num_chemweapons_hist_use
Slovakia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Slovenia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Solomon Islands,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Somalia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
South Africa,2022,neither pursues nor possesses,0,used,5,neither pursues nor possesses,0,allegedly used,4,,,,,,,,,,,,,,,,,,,
South Korea,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,possessed,3,,,,,,,,,,,,,,,,,,,
South Sudan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Spain,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
Sri Lanka,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Sudan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Suriname,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Sweden,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Switzerland,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Syria,2022,neither pursues nor possesses,0,possessed,4,recently used,4,used,5,,,,,,,,,,,,,,,,,,,
Tajikistan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Tanzania,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Thailand,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Timor-Leste,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Togo,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Tonga,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Tunisia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Turkey,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Turkmenistan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Tuvalu,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Uganda,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Ukraine,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
United Arab Emirates,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
United Kingdom,2022,neither pursues nor possesses,0,possessed,4,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
United States,2022,allegedly pursues,1,possessed,4,possesses,2,used,5,,,,,,,,,,,,,,,,,,,
Uruguay,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Uzbekistan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Vanuatu,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Venezuela,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Vietnam,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Yemen,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Zambia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Zimbabwe,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
World,2022,,,,,,,,,193,4,181,4,2,1,6,3,192,1,1,2,1,173,2,1,6,3,12
