country_name,year,bioweapons_status_current,bioweapons_status_current_num,bioweapons_status_hist,bioweapons_status_hist_num,chemweapons_status_current,chemweapons_status_current_num,chemweapons_status_hist,chemweapons_status_hist_num,num_bioweapons_curr_neither,num_bioweapons_curr_allepur,num_bioweapons_hist_neither,num_bioweapons_hist_allepur,num_bioweapons_hist_pur,num_bioweapons_hist_alleposs,num_bioweapons_hist_poss,num_bioweapons_hist_use,num_chemweapons_curr_neither,num_chemweapons_curr_allepur,num_chemweapons_curr_poss,num_chemweapons_curr_alleuse,num_chemweapons_curr_use,num_chemweapons_hist_neither,num_chemweapons_hist_pur,num_chemweapons_hist_alleposs,num_chemweapons_hist_poss,num_chemweapons_hist_alleuse,num_chemweapons_hist_use
Belgium,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Belize,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Benin,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Bhutan,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Bolivia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Botswana,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Brazil,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Brunei,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Bulgaria,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Burkina Faso,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Burundi,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Cabo Verde,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Cambodia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Cameroon,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Canada,2022,neither pursues nor possesses,0,possessed,4,neither pursues nor possesses,0,possessed,3,,,,,,,,,,,,,,,,,,,
Central African Republic,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Chad,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Chile,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
China,2022,neither pursues nor possesses,0,allegedly pursued,1,neither pursues nor possesses,0,pursued,1,,,,,,,,,,,,,,,,,,,
Colombia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Comoros,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Congo,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Cook Islands,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Costa Rica,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Cote d'Ivoire,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Croatia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Cuba,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Cyprus,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Czechia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Democratic Republic of Congo,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Denmark,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Djibouti,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Dominica,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Dominican Republic,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Ecuador,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Egypt,2022,neither pursues nor possesses,0,allegedly possessed,3,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
El Salvador,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Equatorial Guinea,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Eritrea,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Estonia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Eswatini,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Ethiopia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Fiji,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Finland,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
France,2022,neither pursues nor possesses,0,pursued,2,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
Gabon,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Gambia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Georgia,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Germany,2022,neither pursues nor possesses,0,used,5,neither pursues nor possesses,0,used,5,,,,,,,,,,,,,,,,,,,
Ghana,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Greece,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Grenada,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Guatemala,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Guinea,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
Guinea-Bissau,2022,neither pursues nor possesses,0,neither pursued nor possessed,0,neither pursues nor possesses,0,neither pursued nor possessed,0,,,,,,,,,,,,,,,,,,,
