"Data Source","World Development Indicators",

"Last Updated Date","2024-05-30",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.33250929068028","1.34939134730787","1.36045268088827","1.39036898324002","1.44055465679405","1.4483451718239","1.45248322514696","1.4618826836397","1.46644903102013","1.46777422463721","1.47724681074554","1.47807192158481","1.50323191979016","1.5236082133036","1.52141047805239","1.52148463999115","1.52711625996027","1.56482763307525","1.64193775601414","1.61260891639224","1.61955971599788","1.63776314258575","1.55025098131036","1.52672989778388","1.52969408421963","1.55508330771884","1.53047502128129","1.52054727077484","1.55188751220703","1.60569787025452","1.55517828464508","1.51344382762909","","",
"Africa Eastern and Southern","AFE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11.3593671618153","12.3804110013373","12.8072182378051","13.5329083306492","16.4756068610165","15.4082100528706","15.4898435276216","16.7883129958098","16.8752289188581","17.2150769490479","17.0917754157421","16.3462098993311","16.241791821791","16.0915565490723","15.5537950639985","15.3789969399374","15.7871930848428","15.9897813796997","","",
"Africa Western and Central","AFW","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0303891751807534","0.0947795215944975","0.193460515043192","0.659198151334087","2.71005677166779","6.6564251275205","13.6880053329839","26.5306601721104","37.0896897625753","44.1066498676293","48.413344891512","52.8374258959271","57.2321338484333","65.322520105646","73.5679185537289","80.9318008422852","79.6492243362518","81.6210790267229","80.5284676827596","81.9079068249815","97.7372324767148","115.911148071289","130.894119262695","145.398910522461","171.145370483398","203.688735961914","","",
"Albania","ALB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.89107642080261","15.4764213928494","27.811222997455","33.2206315571049","34.8323931583648","38.1468204177487","49.6435283315169","58.0874069388767","58.4071090653369","57.3543897125516","57.4283228302556","57.858699585153","57.6217985587171","56.7289900417171","56.6844499306706","57.1999429381802","57.6860861766949","57.6517696113308","57.9858011514328","56.7572949621802","55.5877509658623","53.8626069052898","54.1700805308494","54.2520987616147","52.5251896518187","52.8859859271648","52.7655378247045","52.6385025712157","51.0129500498079","51.6260989762769","51.3478902736293","48.6752142447788","",
"Andorra","AND","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.708549678325653","0.692338632460356","0.677545433056514","0.663957057856095","0.639068841934204","","",
"Arab World","ARB","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"United Arab Emirates","ARE","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2.24116408196908","2.4227059876281","2.46932371720141","2.45080962424425","2.396653175354","2.38386570329162","2.45069629875758","2.70283712057273","2.80114253057665","2.81884687939118","2.79005455970764","2.60171103477478","2.44597697257996","2.55114936828613","2.7276017665863","2.64741964649961","",
"Argentina","ARG","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.1611635684967","3.67949267389715","4.60033908621503","6.44004902362577","8.08415934218224","11.0386320070118","11.0821228027344","14.6225633621216","22.1622180938721","29.9992446899414","42.9862403869629","","",
"Armenia","ARM","PPP conversion factor, private consumption (LCU per international $)","PA.NUS.PRVT.PP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.1069177783439","37.4745342626538","100.589515950622","115.981184799787","129.153828385528","138.209282681406","136.126728651715","130.638643903581","131.044859111766","130.36634770984","133.49128542796","139.060971347091","135.357145547728","134.919722098123","136.959125876679","143.700112317771","149.125851471335","158.715910129592","165.629043579102","158.07637990224","178.738644694131","183.601570718517","185.209493906761","173.029463726364","166.479019165039","166.170257568359","162.582122802734","158.377838134766","164.226486206055","165.19678301064","",
