country,year,percentile,thr
World,2024,1,0.92
World,2024,2,1.28
World,2024,3,1.56
World,2024,4,1.81
World,2024,5,2.04
World,2024,6,2.24
World,2024,7,2.44
World,2024,8,2.62
World,2024,9,2.78
World,2024,10,2.94
World,2024,11,3.1
World,2024,12,3.26
World,2024,13,3.4
World,2024,14,3.54
World,2024,15,3.68
World,2024,16,3.82
World,2024,17,3.96
World,2024,18,4.08
World,2024,19,4.22
World,2024,20,4.34
World,2024,21,4.46
World,2024,22,4.58
World,2024,23,4.7
World,2024,24,4.84
World,2024,25,4.96
World,2024,26,5.1
World,2024,27,5.2
World,2024,28,5.35
World,2024,29,5.45
World,2024,30,5.6
World,2024,31,5.7
World,2024,32,5.85
World,2024,33,6.0
World,2024,34,6.15
World,2024,35,6.3
World,2024,36,6.45
World,2024,37,6.6
World,2024,38,6.75
World,2024,39,6.9
World,2024,40,7.1
World,2024,41,7.25
World,2024,42,7.45
World,2024,43,7.65
World,2024,44,7.85
World,2024,45,8.05
World,2024,46,8.25
World,2024,47,8.45
World,2024,48,8.7
World,2024,49,8.95
World,2024,50,9.2
World,2024,51,9.45
World,2024,52,9.75
World,2024,53,10.0
World,2024,54,10.3
World,2024,55,10.6
World,2024,56,11.0
World,2024,57,11.3
World,2024,58,11.7
World,2024,59,12.1
World,2024,60,12.5
World,2024,61,12.9
World,2024,62,13.4
World,2024,63,13.8
World,2024,64,14.3
World,2024,65,14.9
World,2024,66,15.4
World,2024,67,16.0
World,2024,68,16.6
World,2024,69,17.3
World,2024,70,18.0
World,2024,71,18.7
World,2024,72,19.6
World,2024,73,20.4
World,2024,74,21.3
World,2024,75,22.3
World,2024,76,23.4
World,2024,77,24.6
World,2024,78,25.9
World,2024,79,27.3
World,2024,80,28.8
World,2024,81,30.4
World,2024,82,32.2
World,2024,83,34.2
World,2024,84,36.3
World,2024,85,38.7
World,2024,86,41.2
World,2024,87,44.0
World,2024,88,47.0
World,2024,89,50.3
World,2024,90,54.1
World,2024,91,58.2
World,2024,92,62.9
World,2024,93,68.3
World,2024,94,74.7
World,2024,95,82.4
World,2024,96,92.3
World,2024,97,105.1
World,2024,98,124.7
World,2024,99,162.6
