Entity,Year,New_CS_PhDs_Artificial_Intelligence_Machine_Learning,New_CS_PhDs_Computing_Education,New_CS_PhDs_Databases_Information_Retrieval,New_CS_PhDs_Graphics_Visualization,New_CS_PhDs_Hardware_Architecture,New_CS_PhDs_High_Performance_Computing,New_CS_PhDs_Human-Computer_Interaction,New_CS_PhDs_Informatics:_Biomedical_Other_Science,New_CS_PhDs_Information_Science,New_CS_PhDs_Information_Systems,New_CS_PhDs_Networks,New_CS_PhDs_Operating_Systems,New_CS_PhDs_Other,New_CS_PhDs_Programming_Languages_Compilers,New_CS_PhDs_Robotics_Vision,New_CS_PhDs_Scientific_Numerical_Computing,New_CS_PhDs_Security_Information_Assurance,New_CS_PhDs_Social_Computing_Social_Informatics_CSCW,New_CS_PhDs_Software_Engineering,New_CS_PhDs_Theory_and_Algorithms
United States,2010,0.142,NA,0.064,0.064,0.041,0.023,0.028,0.049,0.005,0.012,0.102,0.049,0.063,0.054,0.049,0.024,0.05,0.021,0.085,0.076
United States,2011,0.137,NA,0.057,0.08,0.038,0.029,0.046,0.044,0.002,0.014,0.097,0.045,0.051,0.036,0.04,0.018,0.062,0.018,0.098,0.088
United States,2012,0.127,NA,0.074,0.057,0.042,0.031,0.039,0.062,0.007,0.02,0.082,0.048,0.079,0.045,0.051,0.017,0.04,0.013,0.087,0.077
United States,2013,0.113,NA,0.074,0.065,0.046,0.041,0.044,0.037,0.013,0.012,0.095,0.042,0.077,0.041,0.053,0.02,0.048,0.023,0.084,0.071
United States,2014,0.109,NA,0.086,0.066,0.052,0.029,0.028,0.042,0.004,0.028,0.108,0.045,0.066,0.048,0.056,0.01,0.055,0.017,0.093,0.059
United States,2015,0.11,NA,0.075,0.065,0.045,0.035,0.043,0.053,0.005,0.016,0.062,0.032,0.076,0.054,0.061,0.017,0.05,0.034,0.11,0.057
United States,2016,0.176,0.012,0.066,0.063,0.041,0.032,0.031,0.039,0.006,0.008,0.065,0.038,0.084,0.046,0.054,0.014,0.069,0.01,0.084,0.063
United States,2017,0.175,0.01,0.069,0.063,0.045,0.045,0.047,0.026,0.002,0.014,0.072,0.035,0.056,0.036,0.06,0.008,0.081,0.011,0.082,0.061
United States,2018,0.213,0.007,0.067,0.067,0.03,0.032,0.034,0.031,0.009,0.014,0.075,0.04,0.053,0.034,0.053,0.014,0.078,0.014,0.072,0.062
United States,2019,0.228,0.012,0.069,0.054,0.03,0.028,0.047,0.037,0.008,0.011,0.054,0.042,0.053,0.024,0.073,0.012,0.068,0.022,0.049,0.08
United States,2020,0.21,0.007,0.065,0.049,0.024,0.028999999999999998,0.053,0.033,0.005,0.027000000000000003,0.061,0.043,0.057999999999999996,0.034,0.063,0.005,0.071,0.02,0.073,0.07
