Entity,Year,Top-1 Accuracy
Without extra training data,2012,0.633
Without extra training data,2013,0.663
Without extra training data,2014,0.745
Without extra training data,2015,0.788
Without extra training data,2016,0.823
Without extra training data,2017,0.829
Without extra training data,2018,0.844
Without extra training data,2019,0.855
Without extra training data,2020,0.858
Without extra training data,2021,0.878
With extra training data,2012,0.633
With extra training data,2014,0.745
With extra training data,2015,0.788
With extra training data,2017,0.792
With extra training data,2018,0.854
With extra training data,2019,0.8754
With extra training data,2020,0.8861
With extra training data,2021,0.9088
